
[00:00:00.000 --> 00:00:03.500]  在今天當我看到這個主題「愛的走動」
[00:00:03.500 --> 00:00:06.500]  我很想在這個主題裏面
[00:00:06.500 --> 00:00:09.000]  來講及到我個人
[00:00:09.000 --> 00:00:14.500]  怎樣被主首先是祂走動
[00:00:14.500 --> 00:00:16.500]  來激動我
[00:00:16.500 --> 00:00:19.000]  是讓我都能夠走動
[00:00:19.000 --> 00:00:22.000]  第二亦都講及到我們教會
[00:00:22.000 --> 00:00:25.000]  怎樣來被主的愛去激動
[00:00:25.000 --> 00:00:29.500]  以致到我們被激動了之後
[00:00:29.500 --> 00:00:32.000]  能夠又被聖靈推動
[00:00:32.000 --> 00:00:36.000]  去走動來去侍奉祂
[00:00:36.000 --> 00:00:37.500]  我知道在座中
[00:00:37.500 --> 00:00:39.500]  有些可能是未信主的
[00:00:39.500 --> 00:00:42.000]  或者你未受洗的一些朋友
[00:00:42.000 --> 00:00:44.000]  有多少個是親友帶你來
[00:00:44.000 --> 00:00:45.000]  你還未信的
[00:00:45.000 --> 00:00:47.000]  我都請你舉舉手好不好
[00:00:47.000 --> 00:00:49.000]  有沒有這樣的朋友
[00:00:49.000 --> 00:00:50.500]  多少個啊
[00:00:50.500 --> 00:00:53.000]  我們見到有一些
[00:00:53.000 --> 00:00:56.500]  不多
[00:00:56.500 --> 00:01:00.500]  我都很想用很短的時間給大家來略知一下
[00:01:00.500 --> 00:01:05.000]  我自己是首先被主的愛走動
[00:01:05.000 --> 00:01:08.000]  以致改變了我的人生
[00:01:08.000 --> 00:01:10.500]  其實我是中國大陸出生的
[00:01:10.500 --> 00:01:13.000]  我爸爸是國民黨的官
[00:01:13.000 --> 00:01:16.000]  在廣州未解放前
[00:01:16.000 --> 00:01:17.500]  我們一家六口
[00:01:17.500 --> 00:01:20.500]  我姐姐、我哥哥、我和我的妹妹
[00:01:20.500 --> 00:01:24.000]  加上爸爸媽媽已經下來香港
[00:01:24.000 --> 00:01:26.000]  但是那時候下來的時候
[00:01:26.000 --> 00:01:28.000]  是臨急臨亡
[00:01:28.000 --> 00:01:31.000]  非常非常倉促的情形下
[00:01:31.000 --> 00:01:33.000]  來到這裡來的
[00:01:33.000 --> 00:01:34.500]  沒什麼大事
[00:01:34.500 --> 00:01:38.000]  那時候以為很快我會回到香港
[00:01:38.000 --> 00:01:39.500]  所以下來之後
[00:01:39.500 --> 00:01:41.000]  當時聽到
[00:01:41.000 --> 00:01:43.000]  國民黨那邊就說
[00:01:43.000 --> 00:01:45.000]  一個星期就要反攻了
[00:01:45.000 --> 00:01:48.000]  所以就期待一個星期後就回到香港
[00:01:48.000 --> 00:01:49.500]  誰知道沒有回到香港
[00:01:49.500 --> 00:01:52.000]  後來說一個月反攻又沒有回到香港
[00:01:52.000 --> 00:01:54.500]  然後三個月反攻又沒有回到香港
[00:01:54.500 --> 00:01:55.500]  又沒有回到香港
[00:01:55.500 --> 00:01:57.000]  又沒有攻
[00:01:57.000 --> 00:02:00.500]  接著又說半年反攻了
[00:02:00.500 --> 00:02:02.500]  大家都知道
[00:02:02.500 --> 00:02:05.000]  半年過了又一年
[00:02:05.000 --> 00:02:07.500]  又沒有反又沒有攻
[00:02:07.500 --> 00:02:10.500]  帶來的結果就是我們帶下來的東西用盡了
