
[00:00:00.000 --> 00:00:07.400]  我們上次是講到以色列人是攻打艾城
[00:00:07.400 --> 00:00:09.600]  結果是大敗而回
[00:00:09.600 --> 00:00:10.600]  為什麼呢?
[00:00:10.600 --> 00:00:13.400]  因為有人拿了當滅之物
[00:00:13.400 --> 00:00:14.600]  就是阿乾
[00:00:14.600 --> 00:00:18.200]  阿乾整家人因為拿了不應該拿的東西
[00:00:18.200 --> 00:00:19.800]  應該是屬於神
[00:00:19.800 --> 00:00:21.200]  他們據為己有
[00:00:21.200 --> 00:00:23.400]  以致他們是大敗而回
[00:00:23.400 --> 00:00:25.600]  今天我們是會講
[00:00:25.600 --> 00:00:28.000]  如何能夠反敗為勝
[00:00:28.000 --> 00:00:30.200]  所以對我們基督徒很重要
[00:00:30.200 --> 00:00:32.200]  我們時時都會犯罪
[00:00:32.200 --> 00:00:34.200]  但當我們犯罪的時候不重要
[00:00:34.200 --> 00:00:37.600]  最重要是懂得如何回到神那裡
[00:00:37.600 --> 00:00:42.200]  再次被神帶領我們能夠得勝
[00:00:42.200 --> 00:00:47.800]  今天會跟大家一共講四點
[00:00:47.800 --> 00:00:51.800]  如何能夠靠主神反敗為勝
[00:00:51.800 --> 00:00:56.600]  第一點就是要與神復和
[00:00:56.600 --> 00:00:58.200]  當我們犯了罪
[00:00:58.200 --> 00:01:00.200]  神離開我們
[00:01:00.200 --> 00:01:03.800]  或者我們沒有與神同在
[00:01:03.800 --> 00:01:07.200]  我們要回到神那裡與神復和
[00:01:07.200 --> 00:01:11.400]  其實在第七章和第八章都很有趣
[00:01:11.400 --> 00:01:15.200]  一開始已經將結果告訴我們
[00:01:15.200 --> 00:01:17.200]  第七章一開始就說
[00:01:17.200 --> 00:01:20.800]  以色列人第一次攻打艾城是在輸的
[00:01:20.800 --> 00:01:22.000]  是輸定的
[00:01:22.000 --> 00:01:23.400]  因為他們犯了罪
[00:01:23.400 --> 00:01:25.600]  因為他們拿了當滅之物
[00:01:26.200 --> 00:01:29.200]  但是第八章也很有趣
[00:01:29.200 --> 00:01:31.600]  一開始就告訴我們結果
[00:01:31.600 --> 00:01:33.200]  八章一節
[00:01:33.200 --> 00:01:35.200]  耶和華對若舒雅說
[00:01:35.200 --> 00:01:38.000]  不要懼怕也不要驚慌
[00:01:38.000 --> 00:01:42.200]  你起來率領一切兵丁上艾城去
[00:01:42.200 --> 00:01:44.200]  我已經把艾城的王
[00:01:44.200 --> 00:01:45.400]  他們的民
[00:01:45.400 --> 00:01:46.400]  他的城
[00:01:46.400 --> 00:01:48.000]  並他的地
[00:01:48.000 --> 00:01:50.400]  都交在你的手裡
[00:01:50.400 --> 00:01:51.800]  不用怕
[00:01:51.800 --> 00:01:54.000]  我會帶領你們得勝
[00:01:54.600 --> 00:01:58.400]  所以我們見到處理罪是很重要
[00:01:58.400 --> 00:02:00.400]  當我們犯了罪的時候
[00:02:00.400 --> 00:02:04.600]  我們要懂得如何處理與神復和
[00:02:04.600 --> 00:02:08.600]  當以色列人他們犯了罪
[00:02:08.600 --> 00:02:12.600]  那一刻我們見到他在艾城打輸仗
[00:02:12.600 --> 00:02:14.800]  但是有人說不是的
[00:02:14.800 --> 00:02:18.000]  牧師我仍然犯罪
[00:02:18.000 --> 00:02:20.600]  犯罪後我又沒有去認罪悔改
[00:02:20.600 --> 00:02:23.600]  神一樣祝福我
[00:02:23.600 --> 00:02:25.600]  如果真的這樣
[00:02:25.600 --> 00:02:27.600]  那時候可能有兩個原因
