
[00:00:00.000 --> 00:00:05.200]  好高興來到大家當中
[00:00:05.200 --> 00:00:08.800]  和大家分享關於愛這個問題
[00:00:08.800 --> 00:00:11.800]  晚上四堂到 早上三堂到
[00:00:11.800 --> 00:00:16.000]  再加上靈修 再加上經文
[00:00:16.000 --> 00:00:22.000]  還有些茶經 我想可能這幾個禮拜愛到你暈
[00:00:22.000 --> 00:00:26.500]  不過希望當中真的對大家有些幫助
[00:00:26.500 --> 00:00:30.000]  說愛這個題目從某個角度來看
[00:00:30.000 --> 00:00:33.000]  很多東西可以說
[00:00:33.000 --> 00:00:39.000]  無數詩人 無數故事都寫關於愛這個問題
[00:00:39.000 --> 00:00:42.500]  我自己都喜歡看文學作品
[00:00:42.500 --> 00:00:46.000]  剛才和阿金 因為她在英國讀過書
[00:00:46.000 --> 00:00:49.000]  講開有個英國作家叫Daphne du Maurier
[00:00:49.000 --> 00:00:51.000]  我好奇有沒有人看過她的書
[00:00:51.000 --> 00:00:53.000]  Rebecca蝴蝶夢
[00:00:53.000 --> 00:00:55.000]  沒有人看過 正常現象
[00:00:55.000 --> 00:00:57.000]  表示大家都好年輕
[00:00:57.000 --> 00:01:01.000]  譬如我小時候都喜歡看愛情小說
[00:01:01.000 --> 00:01:04.000]  雖然我是個男人 我喜歡看文系小說
[00:01:04.000 --> 00:01:08.000]  所以某個程度來說 愛很多東西可以說
[00:01:08.000 --> 00:01:11.000]  無數的人著墨過形容這件事
[00:01:11.000 --> 00:01:13.000]  但從另一個角度來看
[00:01:13.000 --> 00:01:17.000]  某個程度來說 愛講來都是多餘的
[00:01:17.000 --> 00:01:20.000]  好像剛才師母所說
[00:01:20.000 --> 00:01:23.000]  希望不是單單投入知識
[00:01:23.000 --> 00:01:25.000]  是那種享受
[00:01:25.000 --> 00:01:29.000]  享受的東西 越講越不享受
[00:01:29.000 --> 00:01:34.000]  愛就很享受 聽雷敬業講四個小時的道
[00:01:34.000 --> 00:01:36.000]  怎樣享受呢
[00:01:36.000 --> 00:01:38.000]  所以很多東西是講不到的
[00:01:38.000 --> 00:01:40.000]  不過講不到的東西都要講
[00:01:40.000 --> 00:01:43.000]  所以這四晚嘗試和大家
[00:01:43.000 --> 00:01:45.000]  言下不可言的
[00:01:45.000 --> 00:01:47.000]  講四堂
[00:01:47.000 --> 00:01:50.000]  我們先看第一章
[00:01:50.000 --> 00:01:53.000]  第一句拋光光開始其實是一個介紹
[00:01:53.000 --> 00:01:55.000]  愛是一個方言
[00:01:55.000 --> 00:01:57.000]  我想告訴你
[00:01:57.000 --> 00:01:59.000]  這四個晚上
[00:01:59.000 --> 00:02:02.000]  其中一樣東西我要特別和你分享的
[00:02:02.000 --> 00:02:06.000]  就是世人怎樣看愛
[00:02:06.000 --> 00:02:08.000]  和聖經怎樣看愛
[00:02:08.000 --> 00:02:12.000]  我覺得有些東西是需要重新思考的
[00:02:12.000 --> 00:02:14.000]  這個世代其實
[00:02:14.000 --> 00:02:19.000]  對愛其實有一種悲觀的
[00:02:19.000 --> 00:02:21.000]  這個世代的人好像
[00:02:21.000 --> 00:02:23.000]  有些人說西方的文化
[00:02:23.000 --> 00:02:27.000]  十九世紀是一個比較浪漫的文化
[00:02:27.000 --> 00:02:29.000]  寫了很多愛情小說
[00:02:29.000 --> 00:02:31.000]  Romantic music 如果你喜歡聽音樂
[00:02:31.000 --> 00:02:33.000]  好像我這樣
[00:02:33.000 --> 00:02:35.000]  你會聽過Tchaikovsky
[00:02:35.000 --> 00:02:37.000]  Swan Lake 有沒有聽過
[00:02:37.000 --> 00:02:40.000]  Latino那些 很浪漫的音樂
[00:02:40.000 --> 00:02:42.000]  Rachmaninoff 我最喜歡
[00:02:42.000 --> 00:02:44.000]  浪漫派音樂
[00:02:44.000 --> 00:02:47.000]  你去到21世紀的音樂
[00:02:47.000 --> 00:02:49.000]  一點都不浪漫的
[00:02:49.000 --> 00:02:52.000]  大家有沒有聽過Philip Glass的音樂
[00:02:52.000 --> 00:02:55.000]  對不起 我讀文化那些東西
[00:02:55.000 --> 00:02:57.000]  如果有機會你去YouTube
[00:02:57.000 --> 00:02:59.000]  打一下Philip Glass
[00:02:59.000 --> 00:03:01.000]  找一下聽一下他的音樂
[00:03:01.000 --> 00:03:03.000]  聽到你呆了
