
[00:00:00.000 --> 00:00:05.380]  各位電視節目的各位朋友你們好
[00:00:05.380 --> 00:00:08.220]  歡迎大家參加我們三藩市播道會
[00:00:08.220 --> 00:00:10.220]  網上的五堂崇拜
[00:00:10.220 --> 00:00:14.200]  我們今天繼續思想大衛新評的訊息
[00:00:14.200 --> 00:00:19.360]  我們來到三號耳機下第12章至14章
[00:00:19.360 --> 00:00:23.000]  題目叫做《家家有本難念的經》
[00:00:23.000 --> 00:00:26.840]  在開始思想這段聖經之前
[00:00:26.840 --> 00:00:29.320]  請我們阻止同心 我們一同禱告
[00:00:29.320 --> 00:00:31.320]  慈悲和天賦
[00:00:31.320 --> 00:00:34.320]  我們懇求你 藉著你的話語
[00:00:34.320 --> 00:00:38.800]  去提醒 勸勉 教導 督責我們
[00:00:38.800 --> 00:00:41.300]  讓我們能夠用得下你的話語
[00:00:41.300 --> 00:00:43.300]  作為我們生命的指引
[00:00:43.300 --> 00:00:45.300]  去改變我們
[00:00:45.300 --> 00:00:48.020]  我們這樣禱告 那是奉耶穌基督的命求
[00:00:48.020 --> 00:00:53.520]  在南加州一個中產階級聚居的小鎮
[00:00:53.520 --> 00:00:56.520]  有一個五年級的老師
[00:00:56.520 --> 00:01:00.520]  被學生做了一篇作文的作業
[00:01:00.520 --> 00:01:04.160]  題目叫做《我好想得到》
[00:01:04.160 --> 00:01:07.160]  他以為這些天真萬難的小孩子
[00:01:07.160 --> 00:01:09.880]  一定是學會得到超人的玩具
[00:01:09.880 --> 00:01:15.400]  打機 電腦 單車 寵物
[00:01:15.400 --> 00:01:17.800]  甚至是夏威夷旅行
[00:01:17.800 --> 00:01:20.300]  但是他看完這些雜作的時候
[00:01:20.300 --> 00:01:23.800]  他看到心裡都寒 非常的震驚
[00:01:23.800 --> 00:01:27.800]  原來在30位學生當中 竟然變成了20位
[00:01:27.800 --> 00:01:31.800]  是很渴望得到家庭的溫暖
[00:01:31.800 --> 00:01:34.300]  其中有些學生更加是這樣寫
[00:01:34.300 --> 00:01:38.300]  我真的希望我爸爸媽媽不要再吵架了
[00:01:38.300 --> 00:01:42.300]  有些人說我多麼想我爸爸回家
[00:01:42.300 --> 00:01:44.300]  我們一家團聚
[00:01:44.300 --> 00:01:46.300]  也有些人說我還很希望我媽媽
[00:01:46.300 --> 00:01:49.300]  不要再和她男朋友在家裡一起
[00:01:49.300 --> 00:01:53.300]  我心裡很不舒服 也很生氣
