
[00:00:00.000 --> 00:00:02.800]  我們打開剛才所讀的聖經
[00:00:02.800 --> 00:00:04.800]  在事錄的第三章
[00:00:04.800 --> 00:00:06.800]  如果你是用唐用聖經的話
[00:00:06.800 --> 00:00:10.400]  是我們的聖經的1873頁
[00:00:10.400 --> 00:00:13.600]  1873頁
[00:00:13.600 --> 00:00:16.200]  我們今天看
[00:00:16.200 --> 00:00:21.600]  神對老弟家教會所說的訊息和說話
[00:00:21.600 --> 00:00:26.000]  今天是2015年的第一個主日
[00:00:26.000 --> 00:00:29.400]  我預備這篇講道的時候
[00:00:29.400 --> 00:00:31.200]  都有點為難
[00:00:31.200 --> 00:00:33.200]  因為這篇由頭罵到尾
[00:00:33.200 --> 00:00:37.200]  不要怪我,不關我的事
[00:00:37.200 --> 00:00:40.200]  我是根據神的話語這樣說
[00:00:40.200 --> 00:00:42.200]  就這樣說,我不可以改變的
[00:00:42.200 --> 00:00:45.200]  好,不如我們一起看老弟家教會
[00:00:45.200 --> 00:00:46.200]  對很多基督徒來說
[00:00:46.200 --> 00:00:48.200]  老弟家教會都很熟悉
[00:00:48.200 --> 00:00:50.200]  在七間教會當中
[00:00:50.200 --> 00:00:52.200]  神所寫的信裡
[00:00:52.200 --> 00:00:53.800]  這一間是大家最熟的
[00:00:53.800 --> 00:00:55.400]  一想起老弟家教會
[00:00:55.400 --> 00:00:58.600]  大家就知道是一個不冷不熱的教會
[00:00:58.600 --> 00:01:02.600]  我們就來看看教會的問題在哪裡
[00:01:02.600 --> 00:01:04.600]  首先我們當然要看不冷不熱
[00:01:04.600 --> 00:01:06.600]  神給他一個總括的評價
[00:01:06.600 --> 00:01:07.600]  就是不冷不熱
[00:01:07.600 --> 00:01:09.600]  這裡用了三次
[00:01:09.600 --> 00:01:11.600]  神說了三次,兩句話裡說了三次
[00:01:11.600 --> 00:01:13.600]  你不冷不熱
[00:01:13.600 --> 00:01:16.600]  接著我巴不得你滑冷滑熱
[00:01:16.600 --> 00:01:18.600]  接著不熱不冷
[00:01:18.600 --> 00:01:20.600]  所以我把你推出來
[00:01:20.600 --> 00:01:21.600]  大家都很熟悉
[00:01:21.600 --> 00:01:23.600]  你想起老弟家教會的時候
[00:01:23.600 --> 00:01:24.600]  就想起那些不冷不熱的人
[00:01:24.600 --> 00:01:26.600]  那些不冷不熱的教會
[00:01:26.600 --> 00:01:28.600]  今天不只是想著
[00:01:28.600 --> 00:01:30.600]  哪間教會是這樣的呢?
[00:01:30.600 --> 00:01:32.600]  你不是幫人聽道
[00:01:32.600 --> 00:01:34.600]  聖經每一次
[00:01:34.600 --> 00:01:36.600]  七間教會最後都這樣說
[00:01:36.600 --> 00:01:40.600]  凡有耳的就應當聽
[00:01:40.600 --> 00:01:41.600]  你有耳嗎?
[00:01:41.600 --> 00:01:43.600]  有,那就給你聽
[00:01:43.600 --> 00:01:45.600]  你不要幫人聽
[00:01:45.600 --> 00:01:47.600]  神沒有感動他來
[00:01:47.600 --> 00:01:49.600]  誰來聽就好了
[00:01:49.600 --> 00:01:52.600]  感動你來就給你聽
[00:01:52.600 --> 00:01:54.600]  我們一起在神面前聽
[00:01:54.600 --> 00:01:56.600]  這些話可以對一間教會說
[00:01:56.600 --> 00:01:58.600]  也可以對一個人說
[00:01:58.600 --> 00:02:00.600]  對你說,對我說
[00:02:00.600 --> 00:02:02.600]  我們一起帶著這個
[00:02:02.600 --> 00:02:04.600]  恭敬謙卑,賤敬的心
[00:02:04.600 --> 00:02:06.600]  來聽一聽神要跟我們說什麼
[00:02:06.600 --> 00:02:09.600]  好了,說回老弟家教會
[00:02:09.600 --> 00:02:10.600]  不冷不熱
[00:02:10.600 --> 00:02:12.600]  我們一想起老弟家教會
[00:02:12.600 --> 00:02:13.600]  這種情況裡
[00:02:13.600 --> 00:02:15.600]  通常我們基督徒都會馬上
[00:02:15.600 --> 00:02:17.600]  出現一幅圖畫
[00:02:17.600 --> 00:02:19.600]  就是那個人很敷衍
[00:02:19.600 --> 00:02:21.600]  就是懶懶走
[00:02:21.600 --> 00:02:22.600]  搞你不成
[00:02:22.600 --> 00:02:24.600]  不扔不掉
[00:02:24.600 --> 00:02:26.600]  不冷不熱的基督徒
[00:02:26.600 --> 00:02:28.600]  不冷不熱的教會
[00:02:28.600 --> 00:02:29.600]  究竟是不是這個意思呢?
[00:02:29.600 --> 00:02:31.600]  我覺得應該不是
[00:02:31.600 --> 00:02:34.600]  我不是要標奇立異
[00:02:34.600 --> 00:02:36.600]  因為我相信當日
[00:02:36.600 --> 00:02:39.600]  看這本書的第一世紀信徒
[00:02:39.600 --> 00:02:41.600]  看的時候沒有我們這樣的想法
[00:02:41.600 --> 00:02:43.600]  我們的想法通常是
[00:02:43.600 --> 00:02:45.600]  基於什麼呢?
[00:02:45.600 --> 00:02:48.600]  用水的冷和熱這個比喻
[00:02:48.600 --> 00:02:51.600]  去我們靈性上的人的
[00:02:51.600 --> 00:02:52.600]  冷和熱
