
[00:00:00.000 --> 00:00:07.220]  各位大兄姐妹 平安 新年蒙恩
[00:00:07.220 --> 00:00:13.120]  今天是2022年1月2日 全年的第一個主日
[00:00:13.120 --> 00:00:20.480]  亦都很感恩 我今天在木恩堂成為木恩堂的目者
[00:00:20.480 --> 00:00:25.520]  當我和一班執事來談 究竟今年的主題
[00:00:25.520 --> 00:00:30.040]  大家很想向著哪一個目標來進發呢?
[00:00:30.040 --> 00:00:33.160]  我們經過好幾次的分享討告
[00:00:33.160 --> 00:00:39.280]  我們定了這個主題 與神同行 共建神家
[00:00:39.280 --> 00:00:44.440]  如果大家看到這幅圖 你會想起什麼聖經事蹟呢?
[00:00:44.440 --> 00:00:47.760]  你會說 哦 傳到羅亞方舟
[00:00:47.760 --> 00:00:51.920]  那麼你心目中的羅亞方舟 是不是這樣的呢?
[00:00:51.920 --> 00:00:54.120]  你說 差不多吧
[00:00:54.120 --> 00:00:57.440]  你心目中的羅亞方舟有多大呢?
[00:00:57.440 --> 00:01:00.000]  有沒有這麼大的呢?
[00:01:00.000 --> 00:01:03.040]  你說 哇 這是Titanic
[00:01:03.040 --> 00:01:06.280]  究竟有沒有這麼大呢?
[00:01:06.280 --> 00:01:11.120]  如果有一個聖經羅亞方舟的博物館
[00:01:11.120 --> 00:01:14.080]  它就做了這麼大的方舟
[00:01:14.080 --> 00:01:16.760]  究竟方舟是不是這樣的呢?
[00:01:16.760 --> 00:01:19.720]  可能你說 是的 是的 應該是這樣的
[00:01:19.720 --> 00:01:21.560]  不要這麼快下決定
[00:01:21.560 --> 00:01:25.000]  我們今天透過《創世紀》這段經文
[00:01:25.000 --> 00:01:26.640]  我們一起思考
[00:01:26.640 --> 00:01:31.600]  究竟我們如何學習羅亞與神同行
[00:01:31.600 --> 00:01:34.000]  《創世紀》六章五節這樣說
[00:01:34.000 --> 00:01:38.200]  耶和華見人在地上罪大惡極
[00:01:38.200 --> 00:01:41.440]  終日心裡所想的盡都是惡
[00:01:41.440 --> 00:01:48.080]  耶和華就因做人在地上感到遺憾 心中憂傷
[00:01:48.080 --> 00:01:51.080]  原來當日上帝真的看到這個世界
[00:01:51.080 --> 00:01:54.160]  人們已經壞到極點
[00:01:54.160 --> 00:01:59.000]  上帝做了一些行動
[00:01:59.000 --> 00:02:03.040]  在六章七節這樣說
[00:02:03.040 --> 00:02:04.160]  耶和華說
[00:02:04.160 --> 00:02:08.480]  我要把所做的人和走獸 爬行動物
[00:02:08.480 --> 00:02:13.000]  以及天空的飛鳥都從地面上除滅
[00:02:13.000 --> 00:02:16.840]  因為做了他們感到遺憾
[00:02:16.840 --> 00:02:23.520]  但是感恩只有羅亞在耶和華眼前蒙恩
[00:02:23.520 --> 00:02:28.600]  為何他在上帝的眼前蒙恩呢?
[00:02:28.600 --> 00:02:29.600]  在第九節說
[00:02:29.600 --> 00:02:31.680]  這是羅亞的後代
[00:02:31.680 --> 00:02:34.160]  羅亞是個異人
[00:02:34.160 --> 00:02:38.400]  在他的世代中是個完全人
[00:02:38.400 --> 00:02:41.000]  羅亞與神同行
[00:02:41.000 --> 00:02:43.040]  我們今天就一起去思考
[00:02:43.040 --> 00:02:48.040]  究竟當上帝說他與神同行的時候
[00:02:48.040 --> 00:02:52.480]  其實有甚麼特徵我們可以學習呢?
[00:02:52.480 --> 00:02:54.040]  在六章十節繼續說
[00:02:54.040 --> 00:02:55.920]  羅亞生了三個兒子
[00:02:55.920 --> 00:02:58.560]  就是閃 含 和 亞忽
[00:02:58.560 --> 00:02:59.960]  大家先記住
[00:02:59.960 --> 00:03:04.160]  有三個兒子
[00:03:04.160 --> 00:03:07.960]  然後上帝開始吩咐羅亞做一系列的行動
[00:03:07.960 --> 00:03:12.040]  他說你要為自己用歌飛木做一首方舟
[00:03:12.040 --> 00:03:15.560]  並在方舟內做房間
[00:03:15.560 --> 00:03:18.320]  內外都要抹上液青
[00:03:18.320 --> 00:03:20.760]  其實就是用一隻特別的木
[00:03:20.760 --> 00:03:22.960]  就是當時羅亞找到的木
[00:03:22.960 --> 00:03:24.880]  然後抹上液青
[00:03:24.880 --> 00:03:27.840]  如果研究的學者說
[00:03:27.840 --> 00:03:29.520]  因為這是用來做甚麼呢?
[00:03:29.520 --> 00:03:31.040]  是用來做防水的
[00:03:31.040 --> 00:03:34.760]  因為將來會有一個很大的洪水
[00:03:34.760 --> 00:03:36.440]  那麼方舟是怎樣的呢?
[00:03:36.440 --> 00:03:38.760]  我們可以一起看看
[00:03:38.760 --> 00:03:40.040]  在六章十五節說
[00:03:40.040 --> 00:03:41.720]  方舟的做法是這樣的
[00:03:41.720 --> 00:03:43.880]  要長三百爪
[00:03:43.880 --> 00:03:45.640]  寬五十爪
[00:03:45.640 --> 00:03:47.200]  高三十爪
[00:03:47.200 --> 00:03:48.840]  你說這是甚麼意思呢?
[00:03:48.840 --> 00:03:50.400]  因為今天有很多
[00:03:50.400 --> 00:03:53.520]  我知道是暫時未信耶穌的朋友
[00:03:53.520 --> 00:03:55.680]  正在看這篇講道
[00:03:55.680 --> 00:03:58.560]  我想告訴你甚麼是爪呢?
[00:03:58.560 --> 00:04:02.880]  原來一爪就等於1.5英呎
[00:04:02.880 --> 00:04:05.400]  那你馬上可以換算了
[00:04:05.400 --> 00:04:07.520]  1.5英呎究竟是多少呢?
[00:04:07.520 --> 00:04:09.920]  剛才說過Titanic
[00:04:09.920 --> 00:04:13.360]  讓你看看誰大
[00:04:13.360 --> 00:04:14.960]  Titanic是這樣的
[00:04:14.960 --> 00:04:17.600]  現在會放大給大家看
[00:04:17.600 --> 00:04:23.520]  Titanic原來全長是882呎
[00:04:23.520 --> 00:04:25.840]  那麼羅亞方舟有多長呢?
[00:04:25.840 --> 00:04:28.920]  開估了
