
[00:00:00.000 --> 00:00:05.000]  各位弟子們早安
[00:00:05.000 --> 00:00:12.000]  多謝魏牧師賢過其神來介紹我
[00:00:12.000 --> 00:00:14.000]  實在不敢當
[00:00:14.000 --> 00:00:18.000]  魏牧師曾經是我們博路神學院的同工
[00:00:18.000 --> 00:00:20.000]  所以在這樣的情況下
[00:00:20.000 --> 00:00:24.000]  他有機會讓我今天和大家分享神的說話
[00:00:24.000 --> 00:00:28.000]  我也很想在這裡將博路神學院的文案帶給大家
[00:00:28.000 --> 00:00:30.000]  如果大家有機會回香港的話
[00:00:30.000 --> 00:00:32.000]  歡迎你們來博路神學院參觀
[00:00:32.000 --> 00:00:35.000]  今天在聚會的時間裡
[00:00:35.000 --> 00:00:37.000]  我很想在有限的時間裡
[00:00:37.000 --> 00:00:40.000]  分享一個我覺得很重要的訊息
[00:00:40.000 --> 00:00:44.000]  特別對我們中國人對華僑來說
[00:00:44.000 --> 00:00:47.000]  可能這個訊息我們容易連上關係
[00:00:47.000 --> 00:00:49.000]  我叫他做誰是我王
[00:00:49.000 --> 00:00:52.000]  我知道今天還有聖餐的聚會
[00:00:52.000 --> 00:00:55.000]  過去星期五、六的培靈聚會裡
[00:00:55.000 --> 00:00:57.000]  我講了超過一個小時
[00:00:57.000 --> 00:00:59.000]  魏牧師提醒我
[00:00:59.000 --> 00:01:03.000]  所以我會很精簡地將我要講的東西
[00:01:03.000 --> 00:01:05.000]  盡量和大家分享
[00:01:05.000 --> 00:01:07.000]  因為還有其他的程序
[00:01:07.000 --> 00:01:14.000]  我用時詩記十七章一到十八章的六節和大家分享
[00:01:14.000 --> 00:01:15.000]  如果你有聖經的話
[00:01:15.000 --> 00:01:17.000]  你可以打開聖經一直看著
[00:01:17.000 --> 00:01:21.000]  然後可能會更容易熟習聖經
[00:01:24.000 --> 00:01:29.000]  迪根斯有機會看過他的書
[00:01:29.000 --> 00:01:31.000]  《雙城記》裡是這樣開始的
[00:01:31.000 --> 00:01:33.000]  他說那個是最好的時代
[00:01:33.000 --> 00:01:34.000]  也是最壞的時代
[00:01:34.000 --> 00:01:35.000]  是智慧的時代
[00:01:35.000 --> 00:01:37.000]  也是愚蠢的時代
[00:01:37.000 --> 00:01:38.000]  是信仰的時代
[00:01:38.000 --> 00:01:40.000]  也是懷疑的時代
[00:01:40.000 --> 00:01:42.000]  是光明的季節
[00:01:42.000 --> 00:01:43.000]  也是黑暗的季節
[00:01:43.000 --> 00:01:45.000]  是充滿了希望的春天
[00:01:45.000 --> 00:01:47.000]  也是令人絕望的冬天
[00:01:47.000 --> 00:01:49.000]  我們的前途擁有一切
[00:01:49.000 --> 00:01:52.000]  我們的前途也是一無所有
[00:01:52.000 --> 00:01:54.000]  我們正走向天堂
[00:01:54.000 --> 00:01:56.000]  我們也同樣走向地獄
[00:01:56.000 --> 00:02:02.000]  總之哪個時代和現在是如此的相像
[00:02:02.000 --> 00:02:08.000]  似乎這樣形容一個很矛盾的時代情況
[00:02:08.000 --> 00:02:10.000]  可能放在任何時代都對的
[00:02:10.000 --> 00:02:12.000]  不過放在現在
[00:02:12.000 --> 00:02:16.000]  我覺得會更加的動人共鳴
[00:02:16.000 --> 00:02:17.000]  不知道大家同意嗎
[00:02:17.000 --> 00:02:19.000]  這個時代好像有很多機會
[00:02:19.000 --> 00:02:20.000]  好像有很多希望
[00:02:20.000 --> 00:02:22.000]  好像有很多能夠在物質上
[00:02:22.000 --> 00:02:25.000]  有更好的文明的發展
[00:02:25.000 --> 00:02:27.000]  但同時充滿了危機
[00:02:27.000 --> 00:02:29.000]  甚至是絕望
[00:02:29.000 --> 00:02:30.000]  在這個時代裏
[00:02:30.000 --> 00:02:31.000]  無論你在香港也好
[00:02:31.000 --> 00:02:32.000]  在中國也好
[00:02:32.000 --> 00:02:34.000]  或者在美國也好
[00:02:34.000 --> 00:02:37.000]  可能我們都同樣面對一個這樣的情況
[00:02:37.000 --> 00:02:42.000]  基督徒在一個充滿了挑戰的時代裏
[00:02:42.000 --> 00:02:44.000]  誰是我王
[00:02:44.000 --> 00:02:47.000]  我很想你要傳達這個訊息
[00:02:47.000 --> 00:02:49.000]  今天時間真的很悠閒
[00:02:49.000 --> 00:02:50.000]  所以我很快出去
[00:02:50.000 --> 00:02:52.000]  有些地方可能我要快一點
[00:02:52.000 --> 00:02:55.000]  我想介紹一下時思記的簡單背景
[00:02:55.000 --> 00:02:59.000]  時思記大約在公元前的一千二百年左右
[00:02:59.000 --> 00:03:02.000]  來記載這段時跡
[00:03:02.000 --> 00:03:04.000]  他寫成的書
[00:03:04.000 --> 00:03:07.000]  可能現在距離三千年的時間
[00:03:07.000 --> 00:03:09.000]  因為現在是公元二千
[00:03:09.000 --> 00:03:11.000]  加上公元前的一千年
[00:03:11.000 --> 00:03:13.000]  差不多有三千年的時間
[00:03:13.000 --> 00:03:15.000]  但是他所說的話
[00:03:15.000 --> 00:03:17.000]  因為上帝的默示
[00:03:17.000 --> 00:03:19.000]  所以向整個世代
[00:03:19.000 --> 00:03:21.000]  一直到主宰內的教會時代
[00:03:21.000 --> 00:03:23.000]  宣講的訊息
[00:03:23.000 --> 00:03:25.000]  都和我們息息相關
[00:03:25.000 --> 00:03:30.000]  時思在英文的聖經叫做Judge
