
[00:00:00.000 --> 00:00:05.000]  各位弟兄姊妹 主來平安
[00:00:05.000 --> 00:00:10.000]  願我口中的言語 心裡的意念
[00:00:10.000 --> 00:00:14.000]  在神面前得夢月立 阿們
[00:00:14.000 --> 00:00:20.000]  根據新約聖經的記載
[00:00:20.000 --> 00:00:31.000]  耶穌基督被釘十字架 受死埋葬
[00:00:31.000 --> 00:00:36.000]  第三天從死裡復活
[00:00:36.000 --> 00:00:40.000]  就算是保羅這麼心急也好
[00:00:40.000 --> 00:00:47.000]  他在哥林多前書15章都再三強調
[00:00:47.000 --> 00:00:51.000]  我所領受傳給你們的福音
[00:00:51.000 --> 00:00:55.000]  就是基督按照聖經所說的
[00:00:55.000 --> 00:00:59.000]  受死埋葬第三天復活
[00:00:59.000 --> 00:01:01.000]  如果你計算一下時間
[00:01:01.000 --> 00:01:05.000]  從星期五日落
[00:01:05.000 --> 00:01:09.000]  耶穌從十字架上
[00:01:09.000 --> 00:01:14.000]  祂的身體被埋葬在墳墓裡
[00:01:14.000 --> 00:01:19.000]  一直到星期日的清晨
[00:01:19.000 --> 00:01:24.000]  大概有36個小時
[00:01:24.000 --> 00:01:27.000]  不是醫生on call
[00:01:27.000 --> 00:01:30.000]  是基督在墳墓裡
[00:01:30.000 --> 00:01:33.000]  所以我們每一次來到復活節
[00:01:33.000 --> 00:01:38.000]  可能我們很快就覺得耶穌復活了
[00:01:38.000 --> 00:01:41.000]  其實不快 一點都不快
[00:01:41.000 --> 00:01:46.000]  最快當然是耶穌在十字架上說完
[00:01:46.000 --> 00:01:50.000]  成了 醫生上去
[00:01:50.000 --> 00:01:52.000]  把一支槍放上去
[00:01:52.000 --> 00:01:54.000]  血和水流出來 真是死了
[00:01:54.000 --> 00:01:56.000]  不用打斷他的骨頭
[00:01:56.000 --> 00:01:59.000]  然後耶穌就復活了
[00:01:59.000 --> 00:02:01.000]  眾目睽睽之下
[00:02:01.000 --> 00:02:03.000]  耶穌就氣定神閒
[00:02:03.000 --> 00:02:06.000]  走到十字架的下面
[00:02:06.000 --> 00:02:09.000]  於是萬室都要跪拜
[00:02:09.000 --> 00:02:11.000]  萬口都要清揚
[00:02:11.000 --> 00:02:14.000]  這是你和我最喜歡看到的劇本
[00:02:14.000 --> 00:02:19.000]  但這不是聖經的記載
[00:02:19.000 --> 00:02:25.000]  沒錯 福音書並沒有著墨
[00:02:25.000 --> 00:02:28.000]  在這36個小時
[00:02:28.000 --> 00:02:31.000]  究竟發生什麼事
[00:02:31.000 --> 00:02:33.000]  好像一開始就從
