
[00:00:00.000 --> 00:00:06.000]  多謝你這樣介紹我 我也在想是誰呢
[00:00:06.000 --> 00:00:13.000]  經常笑我就不敢當 因為正常一個快樂的人
[00:00:13.000 --> 00:00:19.000]  應該每天笑256次 但我想我們沒有人做得到
[00:00:19.000 --> 00:00:24.000]  兒童是做得到 我們大人其實是6次而已
[00:00:24.000 --> 00:00:29.000]  平均每天 所以相差差了40多倍
[00:00:29.000 --> 00:00:31.000]  這就解釋為什麼這麼多人抑鬱
[00:00:31.000 --> 00:00:34.000]  基本上他們找不到快樂是什麼
[00:00:34.000 --> 00:00:38.000]  所以今晚其實講錯覺 了解
[00:00:38.000 --> 00:00:41.000]  我不知道你喜歡這個題目
[00:00:41.000 --> 00:00:44.000]  可能你說 哎呀 糟了 娶錯老婆了
[00:00:44.000 --> 00:00:49.000]  可能今天又見錯工了 最慘今晚來錯了
[00:00:49.000 --> 00:00:56.000]  其實你相不相信人生做錯的事
[00:00:56.000 --> 00:00:59.000]  是多於做對的事
[00:00:59.000 --> 00:01:05.000]  人生不懂的事 是多於懂的事 是真的
[00:01:05.000 --> 00:01:08.000]  證明人是很渺小的
[00:01:08.000 --> 00:01:12.000]  人不懂的事是多於懂的事很多倍
[00:01:12.000 --> 00:01:14.000]  只要你去中央圖書館
[00:01:14.000 --> 00:01:18.000]  人家問你看過多少本 你就不可以回答
[00:01:18.000 --> 00:01:22.000]  我最近 我退休很多年了
[00:01:22.000 --> 00:01:26.000]  最近在60歲生日給自己一個要求
[00:01:26.000 --> 00:01:30.000]  在61歲的時候完成一個嘗試
[00:01:30.000 --> 00:01:33.000]  我61歲生日的時候都不成功
[00:01:33.000 --> 00:01:37.000]  但是過了一個月成功了
[00:01:37.000 --> 00:01:40.000]  看了100本書 在一年裡 英文書
[00:01:40.000 --> 00:01:45.000]  最後我在13個月裡看完100本
[00:01:45.000 --> 00:01:47.000]  還寫了筆記
[00:01:47.000 --> 00:01:50.000]  其實這個過程是很挑戰自己的
[00:01:50.000 --> 00:01:54.000]  看自己是不是還是以前那麼快去吸收東西
[00:01:54.000 --> 00:01:56.000]  我在65歲就離開理工大學
[00:01:56.000 --> 00:02:00.000]  我沒有再教大學 自己做研究工作
[00:02:00.000 --> 00:02:03.000]  所以我現在61歲多了
[00:02:03.000 --> 00:02:07.000]  你應該不是很認識我的 所以我懷疑
[00:02:07.000 --> 00:02:10.000]  認識我的人都進了老人院
[00:02:10.000 --> 00:02:14.000]  但是無論如何今晚我都要拼命講這個題目
[00:02:14.000 --> 00:02:18.000]  一個小時內怎麼看幾個錯覺了解的課題是有的
[00:02:18.000 --> 00:02:23.000]  我剛剛完成了幫中國中小學神學院的迎新營
[00:02:23.000 --> 00:02:26.000]  我在神學院做的 我唯一的工作是
[00:02:26.000 --> 00:02:30.000]  做了將近18年 是做輔導主任
[00:02:30.000 --> 00:02:34.000]  每逢一個神學生的夢召
[00:02:34.000 --> 00:02:36.000]  進入神學院最後一關就見我了
