
[00:00:00.000 --> 00:00:05.000]  各位朋友 各位弟兄姊妹 大家早安
[00:00:05.000 --> 00:00:14.000]  小弟是有生以來第一次來到愛城參加指日崇拜
[00:00:14.000 --> 00:00:20.000]  後天就要遁回萬里之外的雪梨了
[00:00:20.000 --> 00:00:23.000]  所以特別向大家致意問好
[00:00:23.000 --> 00:00:29.000]  人生世上 最庸俗的作文開始 人生世上
[00:00:29.000 --> 00:00:36.000]  最重要的是怎樣看世界 怎樣看人生
[00:00:36.000 --> 00:00:40.000]  人生世上有兩個重點 我們怎樣看世界 怎樣看人生呢
[00:00:40.000 --> 00:00:44.000]  首先當然是看實他
[00:00:44.000 --> 00:00:49.000]  他首先自然是我們自己
[00:00:49.000 --> 00:00:54.000]  看實自己最顯而易見的身體
[00:00:54.000 --> 00:00:59.000]  形軀 健康 形貌等等
[00:00:59.000 --> 00:01:04.000]  我們出場之前摔摔太太的Y字正不正
[00:01:04.000 --> 00:01:07.000]  看看頭髮有沒有樹雞毛 眼睛看不出來
[00:01:07.000 --> 00:01:09.000]  看實他 看著鏡中的自己
[00:01:09.000 --> 00:01:14.000]  看著自己的健康 看血壓如何 血糖如何等等
[00:01:14.000 --> 00:01:19.000]  強患加一 排毒 遷體 練氣功 抗氧化等等
[00:01:19.000 --> 00:01:21.000]  都要看實他
[00:01:21.000 --> 00:01:26.000]  要健康就要注意環境 注意植物
[00:01:26.000 --> 00:01:31.000]  又要考究維園因子 又要等等
[00:01:31.000 --> 00:01:33.000]  這一切牽涉到知識
[00:01:33.000 --> 00:01:36.000]  所以就關係到科學
[00:01:36.000 --> 00:01:39.000]  所以又是看實他 看實他的身價
[00:01:39.000 --> 00:01:44.000]  大科學家諾貝爾獎金的威風光榮
[00:01:44.000 --> 00:01:50.000]  享受了半世紀有多的82歲老人
[00:01:50.000 --> 00:01:54.000]  娶到一個28歲的佳人
[00:01:54.000 --> 00:01:58.000]  他仍然高興得像十元錢得到一顆糖
[00:01:58.000 --> 00:02:00.000]  他說上帝送給他最好的禮物
[00:02:00.000 --> 00:02:03.000]  我不知道他是不是教徒 總之說上帝都好
[00:02:03.000 --> 00:02:09.000]  可見一個人一旦遇到理想的對象
[00:02:09.000 --> 00:02:15.000]  就自然眼金金 看實他
[00:02:15.000 --> 00:02:17.000]  大家如果有留意香港新聞
[00:02:17.000 --> 00:02:21.000]  前一個月有個70多歲的白夜工
[00:02:21.000 --> 00:02:25.000]  竟然為了一個50多歲的佳人
[00:02:25.000 --> 00:02:31.000]  大打出手 其中有些人打穿頭 有些人搞出人命
[00:02:31.000 --> 00:02:35.000]  70多歲82歲都常記一禁
[00:02:35.000 --> 00:02:41.000]  何況那些少年15 20歲就更加不用說
[00:02:41.000 --> 00:02:45.000]  所以怎樣看實這個男女關係
[00:02:45.000 --> 00:02:51.000]  避免刀光血影 宜則宜家
[00:02:51.000 --> 00:02:54.000]  所謂夫婦為人倫之子 中國人說
[00:02:54.000 --> 00:02:58.000]  即是什麼五倫 人倫最開始就是夫婦
[00:02:58.000 --> 00:03:00.000]  沒有夫婦根本人類都絕種
[00:03:00.000 --> 00:03:04.000]  什麼君臣 父子 兄弟 朋友全部沒有
[00:03:04.000 --> 00:03:06.000]  最重要是夫婦關係
[00:03:06.000 --> 00:03:12.000]  儒家提倡父慈子孝 兄友弟恭 君義臣忠
[00:03:12.000 --> 00:03:16.000]  一切倫理道德都要看實
[00:03:16.000 --> 00:03:18.000]  看實另外一個人
[00:03:18.000 --> 00:03:20.000]  一旦發生問題
[00:03:20.000 --> 00:03:23.000]  防患於未然之前就所謂禮教
[00:03:23.000 --> 00:03:27.000]  制裁於已然之後就所謂法律
[00:03:27.000 --> 00:03:31.000]  以至到擴大到國家的憲章等等
[00:03:31.000 --> 00:03:33.000]  都是看實他
[00:03:33.000 --> 00:03:39.000]  說到這裡可能大家都留意後半是不是開了
[00:03:39.000 --> 00:03:45.000]  老套 又是說這些廢話
[00:03:45.000 --> 00:03:48.000]  為什麼 健康一百歲不止有新聞聽
[00:03:48.000 --> 00:03:51.000]  聽完新聞就沒有了
[00:03:51.000 --> 00:03:56.000]  練氣功又可能走火入魔
[00:03:56.000 --> 00:03:59.000]  練丹服藥古人都說過
[00:03:59.000 --> 00:04:02.000]  服藉求神先多為藥所用
[00:04:02.000 --> 00:04:03.000]  中毒早死
[00:04:03.000 --> 00:04:06.000]  所以千萬不要信什麼藥什麼藥
[00:04:06.000 --> 00:04:08.000]  大家時時留意新聞都有
[00:04:08.000 --> 00:04:13.000]  宋美齡女士一百零六歲橫跨三世紀
[00:04:13.000 --> 00:04:16.000]  一樣向笑欲滾
[00:04:16.000 --> 00:04:18.000]  魂歸天國
[00:04:18.000 --> 00:04:21.000]  知識莊子稿就說過
[00:04:21.000 --> 00:04:24.000]  生也有涯無涯為志
[00:04:24.000 --> 00:04:29.000]  意思是知識是追求無盡只有涯字
[00:04:29.000 --> 00:04:32.000]  懂得越多就煩惱越多
[00:04:32.000 --> 00:04:36.000]  真的 越讀書多你越覺得自己不懂事
[00:04:36.000 --> 00:04:39.000]  學問越高的人一定是熱獻臂
[00:04:39.000 --> 00:04:41.000]  發覺原來無窮無盡
[00:04:41.000 --> 00:04:45.000]  科學就是因為有科學
[00:04:45.000 --> 00:04:49.000]  所以就有假雞蛋假奶粉假
[00:04:49.000 --> 00:04:53.000]  還有很多東西假
[00:04:53.000 --> 00:04:57.000]  搞一搞中央領導人出巡那個都是假的
[00:04:57.000 --> 00:05:00.000]  真那個在中南海
[00:05:00.000 --> 00:05:02.000]  什麼不能假的這個世界
[00:05:02.000 --> 00:05:05.000]  不過我是真的
[00:05:05.000 --> 00:05:10.000]  我帶著澳洲護照回不了家
[00:05:10.000 --> 00:05:12.000]  孔雀石綠都是科學
[00:05:12.000 --> 00:05:14.000]  你以前哪有孔雀石綠
[00:05:14.000 --> 00:05:17.000]  以前有孔雀有石
[00:05:17.000 --> 00:05:20.000]  加起來現在才有
[00:05:20.000 --> 00:05:22.000]  男歡女愛
[00:05:22.000 --> 00:05:24.000]  古今中外都不知幾多
[00:05:24.000 --> 00:05:26.000]  親家便變冤家
[00:05:26.000 --> 00:05:27.000]  情人便變仇人
[00:05:27.000 --> 00:05:30.000]  不是哪有那麼多小說那麼多戲劇
[00:05:30.000 --> 00:05:33.000]  即使罕有恩愛夫妻
[00:05:33.000 --> 00:05:35.000]  真是掃興那些講句
[00:05:35.000 --> 00:05:39.000]  有幾多真是能夠白頭到老
[00:05:39.000 --> 00:05:40.000]  你說道德
[00:05:40.000 --> 00:05:43.000]  理想越高就越難做到
[00:05:43.000 --> 00:05:45.000]  是不是
[00:05:45.000 --> 00:05:46.000]  這個古今中
[00:05:46.000 --> 00:05:50.000]  中國好像幾千年只有孔子是證人
[00:05:50.000 --> 00:05:54.000]  崇尚君子就有偽君子
[00:05:54.000 --> 00:05:55.000]  是不是
[00:05:55.000 --> 00:05:57.000]  往日就孝親敬長
[00:05:57.000 --> 00:05:59.000]  結果就如忠如孝
[00:05:59.000 --> 00:06:00.000]  什麼我不是講過
[00:06:00.000 --> 00:06:02.000]  胡不歸碧色離婚
[00:06:02.000 --> 00:06:04.000]  那時孔雀東南碧
[00:06:04.000 --> 00:06:06.000]  現代講究人權
[00:06:06.000 --> 00:06:08.000]  又變成無大無細
[00:06:08.000 --> 00:06:10.000]  不忠不孝
[00:06:10.000 --> 00:06:11.000]  我們這些夾心階層
[00:06:11.000 --> 00:06:12.000]  小時候就孝親敬長
[00:06:12.000 --> 00:06:14.000]  長大後兒女都不孝順我們
[00:06:14.000 --> 00:06:15.000]  什麼
[00:06:15.000 --> 00:06:16.000]  哭都無謂
[00:06:16.000 --> 00:06:18.000]  因為法律
[00:06:18.000 --> 00:06:20.000]  法律又只有講字
[00:06:20.000 --> 00:06:22.000]  看你誰出錢請到聰明律師
[00:06:22.000 --> 00:06:24.000]  剛剛碰上最好的終審法官
[00:06:24.000 --> 00:06:25.000]  搞定了
[00:06:25.000 --> 00:06:27.000]  最近香港新聞大家都知道
[00:06:27.000 --> 00:06:28.000]  是非情犯真的很難講
[00:06:28.000 --> 00:06:29.000]  是不是
[00:06:29.000 --> 00:06:30.000]  法律就是法律
[00:06:30.000 --> 00:06:33.000]  成者為王敗者為寇
[00:06:33.000 --> 00:06:34.000]  歷史都是這樣
[00:06:34.000 --> 00:06:38.000]  打贏仗那個人就有權利解釋歷史
[00:06:38.000 --> 00:06:39.000]  所以連孟子都說
[00:06:39.000 --> 00:06:41.000]  紂王不是衰得那麼厲害
[00:06:41.000 --> 00:06:43.000]  誰叫他的商朝亡了
[00:06:43.000 --> 00:06:44.000]  亡了什麼都
[00:06:44.000 --> 00:06:46.000]  砌了生豬肉
[00:06:46.000 --> 00:06:48.000]  原來歷史都是這樣
[00:06:48.000 --> 00:06:51.000]  有時人倫道德是很好的理論
[00:06:51.000 --> 00:06:52.000]  但是有時真的
[00:06:52.000 --> 00:06:54.000]  我們講命運
[00:06:54.000 --> 00:06:55.000]  最無奈的就是
[00:06:55.000 --> 00:06:58.000]  好妻子就未必嫁到好丈夫
[00:06:58.000 --> 00:07:03.000]  慈父賢母又未必教得出孝子賢孫
[00:07:03.000 --> 00:07:06.000]  岳飛就碰上宋高宗
[00:07:06.000 --> 00:07:09.000]  陸君子又生逢西太后
[00:07:09.000 --> 00:07:10.000]  有什麼辦法
[00:07:10.000 --> 00:07:11.000]  是不是
[00:07:11.000 --> 00:07:13.000]  這個就真是儒家思想
[00:07:13.000 --> 00:07:16.000]  以至到一切正面的人倫的文化
[00:07:16.000 --> 00:07:18.000]  那種窮途
[00:07:18.000 --> 00:07:19.000]  不知道怎麼搞
[00:07:19.000 --> 00:07:21.000]  一定會問的這些問題
[00:07:21.000 --> 00:07:24.000]  正面的教條誰都會講
[00:07:24.000 --> 00:07:28.000]  社會上人生就充滿反面的例子
[00:07:28.000 --> 00:07:30.000]  怎麼解釋
[00:07:30.000 --> 00:07:32.000]  你說為下一代
[00:07:32.000 --> 00:07:35.000]  我們這天說來說去都說他劉宇馳
[00:07:35.000 --> 00:07:37.000]  德相能開國生而不丈賢
[00:07:37.000 --> 00:07:38.000]  聽到大家都已經
[00:07:38.000 --> 00:07:39.000]  哎呀我都幾乎適念了
[00:07:39.000 --> 00:07:41.000]  拜託不要說了
[00:07:41.000 --> 00:07:43.000]  英雄就當然生出一個九雄
[00:07:43.000 --> 00:07:45.000]  哭都無謂
[00:07:45.000 --> 00:07:47.000]  所以總結一句
[00:07:47.000 --> 00:07:48.000]  看緊他
[00:07:48.000 --> 00:07:50.000]  就眨眼冤
[00:07:50.000 --> 00:07:51.000]  眼冤
[00:07:51.000 --> 00:07:52.000]  沒眼睛看
[00:07:52.000 --> 00:07:54.000]  No eye see
[00:07:54.000 --> 00:07:57.000]  看緊他就是一種入世的精神
[00:07:57.000 --> 00:07:58.000]  儒家又入世
[00:07:58.000 --> 00:07:59.000]  科學家又入世
[00:07:59.000 --> 00:08:02.000]  法律道德專家全部入世
[00:08:02.000 --> 00:08:04.000]  入世結果不快樂
[00:08:04.000 --> 00:08:07.000]  入世就不樂
[00:08:07.000 --> 00:08:09.000]  理智上我們知道對
[00:08:09.000 --> 00:08:11.000]  但是感情上不安樂
[00:08:11.000 --> 00:08:12.000]  是不是
[00:08:12.000 --> 00:08:14.000]  做不到
[00:08:14.000 --> 00:08:16.000]  所以總結一句就是這樣搞
[00:08:16.000 --> 00:08:19.000]  古代就有一些絕頂聰明的人
[00:08:19.000 --> 00:08:22.000]  就勸自己或者勸他人
[00:08:22.000 --> 00:08:24.000]  你不要看得這麼緊
[00:08:24.000 --> 00:08:26.000]  看開一點
[00:08:26.000 --> 00:08:29.000]  廣東話這個的字
[00:08:29.000 --> 00:08:31.000]  水清則無魚
[00:08:31.000 --> 00:08:33.000]  水至清則無魚
[00:08:33.000 --> 00:08:35.000]  人至差則無友
[00:08:35.000 --> 00:08:37.000]  樣樣精明
[00:08:37.000 --> 00:08:38.000]  只會自己痛苦
[00:08:38.000 --> 00:08:39.000]  人家都痛苦
[00:08:39.000 --> 00:08:41.000]  最好差不多
[00:08:41.000 --> 00:08:44.000]  某個地方不如理想
[00:08:44.000 --> 00:08:46.000]  就在某個地方要看開
