
[00:00:00.000 --> 00:00:04.320]  靜姐妹平安
[00:00:04.320 --> 00:00:07.880]  很高興有機會來到千象城
[00:00:07.880 --> 00:00:10.480]  基督教會和大家分享神話語
[00:00:10.480 --> 00:00:14.120]  今天要講的題目都頗為應時
[00:00:14.120 --> 00:00:16.560]  因為要講伊斯蘭教
[00:00:16.560 --> 00:00:19.680]  我們知道美國正在打伊朗
[00:00:19.680 --> 00:00:24.440]  伊朗成為一個伊斯蘭教的國家
[00:00:24.440 --> 00:00:26.240]  是1979年的事
[00:00:26.240 --> 00:00:27.240]  不是那麼久的
[00:00:27.240 --> 00:00:29.880]  今天要講伊斯蘭教
[00:00:29.880 --> 00:00:34.720]  末世三個徵兆和真假救主
[00:00:34.720 --> 00:00:39.680]  世上有很多宗教和基督教無關
[00:00:39.680 --> 00:00:42.320]  例如佛教、印度教
[00:00:42.320 --> 00:00:45.600]  甚至日本的神道
[00:00:45.600 --> 00:00:47.600]  都是和基督教無關
[00:00:47.600 --> 00:00:53.000]  但有很多宗教好像和基督教很有淵源
[00:00:53.000 --> 00:00:55.680]  例如伊斯蘭教
[00:00:55.680 --> 00:01:01.680]  為何世上有那麼多和基督教有關的宗教呢?
[00:01:01.680 --> 00:01:05.760]  因為撒旦很想用假宗教來迷惑人
[00:01:05.760 --> 00:01:09.600]  很多人說伊斯蘭教的神
[00:01:09.600 --> 00:01:11.840]  就是我們聖經舊約的神
[00:01:11.840 --> 00:01:12.920]  你們有沒有聽過?
[00:01:12.920 --> 00:01:16.600]  他們說伊斯蘭教的阿拉神
[00:01:16.600 --> 00:01:19.520]  就是基督教舊約的耶和華
[00:01:19.520 --> 00:01:22.040]  也有很多人說
[00:01:22.040 --> 00:01:25.680]  其實伊斯蘭教都是相信耶穌基督
[00:01:25.680 --> 00:01:26.880]  接受耶穌基督
[00:01:26.880 --> 00:01:29.520]  所以葛培利甚至說
[00:01:29.520 --> 00:01:33.640]  我認為所有愛基督或認識基督的人
[00:01:33.640 --> 00:01:35.640]  無論他們知不知道
[00:01:35.640 --> 00:01:38.040]  他們都是耶穌基督的身體
[00:01:38.040 --> 00:01:41.880]  然後他說包括莫斯林人
[00:01:41.880 --> 00:01:43.880]  是不是真的這樣呢?
[00:01:43.880 --> 00:01:46.760]  是不是你只要認識耶穌基督
[00:01:46.760 --> 00:01:49.760]  照你自己宗教來認識耶穌基督
[00:01:49.760 --> 00:01:52.280]  都是耶穌基督的肢體呢?
[00:01:52.280 --> 00:01:55.320]  我們來看看究竟
[00:01:55.320 --> 00:01:58.840]  莫斯林人認識的耶穌基督是怎樣
[00:01:58.840 --> 00:02:01.640]  只是一個偉大的先知
[00:02:01.640 --> 00:02:03.640]  不是神的兒子
[00:02:03.640 --> 00:02:06.840]  他們絕對不相信三位一體的神
[00:02:06.840 --> 00:02:10.320]  所以伊斯蘭教所相信的耶穌
[00:02:10.320 --> 00:02:11.600]  是不是我們的耶穌?
[00:02:11.600 --> 00:02:14.000]  絕對不是我們的耶穌基督
[00:02:14.000 --> 00:02:17.760]  我們和伊斯蘭教根本沒有共同點
[00:02:17.760 --> 00:02:20.800]  《西遊記》裏的孫悟空
[00:02:20.800 --> 00:02:23.520]  都有真假美后王
[00:02:23.520 --> 00:02:28.000]  電影裏的包公都有真假包公
[00:02:28.000 --> 00:02:30.000]  雙胞胎鬧出
[00:02:30.000 --> 00:02:34.320]  在《末世》也有真假的救主
[00:02:34.320 --> 00:02:37.680]  在《馬太福音》的24章24節
[00:02:37.680 --> 00:02:40.000]  因為假基督假先知
[00:02:40.000 --> 00:02:43.760]  將要起來顯大神跡大騎士
[00:02:43.760 --> 00:02:48.880]  倘若能行連選民也就被迷惑了
[00:02:48.880 --> 00:02:50.880]  一直在世上
[00:02:50.880 --> 00:02:55.280]  都有很多人冒認自己是耶穌基督
[00:02:55.280 --> 00:02:57.280]  說自己是先知
[00:02:57.280 --> 00:03:00.080]  他們能夠迷惑世上很多的人
[00:03:00.080 --> 00:03:03.520]  但經文說不能夠迷惑我們這些神的子民
[00:03:03.520 --> 00:03:05.520]  或者是選民
[00:03:05.520 --> 00:03:09.680]  到《末世》剛才《馬太福音》的24章24節
[00:03:09.680 --> 00:03:12.720]  就會具體地被實現
