
[00:00:00.000 --> 00:00:12.000]  各位鼎姊妹平安,我們剛才看到一段短片,也看到很多鼎姊妹參與藉堂的生命體驗
[00:00:12.000 --> 00:00:17.000]  不單止是服侍別人,自己的生命也在裡面成長
[00:00:17.000 --> 00:00:26.000]  更加認識人生的路是怎樣走,有時不一定向前走,可能向左向右
[00:00:26.000 --> 00:00:30.000]  有神的帶領就是正路
[00:00:30.000 --> 00:00:34.000]  我相信今天大家知道我們是一個藉堂主人,也是鼓勵我們
[00:00:34.000 --> 00:00:38.000]  不單關心到我們自己的教會裡面,自己的需要
[00:00:38.000 --> 00:00:42.000]  也真的放眼世界,流心周圍的環境
[00:00:42.000 --> 00:00:50.000]  流心的世界,特別香港這個社會裡面,有很多社區裡面,很多人是沒有機會接觸福音
[00:00:50.000 --> 00:00:58.000]  而我們也嘗試投入在裡面,在過程當中讓自己成為神自己的道的一個出口
[00:00:58.000 --> 00:01:04.000]  讓神的道可以從我們身上傳開,可以傳出去
[00:01:04.000 --> 00:01:12.000]  我們今天再一會兒再思想聖經裡面這方面的訊息,我們請大家再一會兒先祈禱我們仰望主自己的帶領
[00:01:12.000 --> 00:01:22.000]  因主我們敬拜你,敬拜你是那位創造天地,有赤霞生命的上帝
[00:01:22.000 --> 00:01:28.000]  主我們感謝你讓我們認識你,主讓你不單止給我們蒙恩
[00:01:28.000 --> 00:01:34.000]  你更加讓我們成為了是賜福的管道
[00:01:34.000 --> 00:01:39.000]  因為你定義讓你的孩子們能夠叫別人蒙福
[00:01:39.000 --> 00:01:44.000]  你有自己親自的允許,施比受更為有福
[00:01:44.000 --> 00:01:49.000]  接著祝求你自己,藉由你的說話,不斷地引導我們
[00:01:49.000 --> 00:01:55.000]  在世上生活的時候,我們靠著你,不會耽誤自己的事情
[00:01:55.000 --> 00:02:04.000]  也真是知道如何,來去關心我們身邊的人,特別將你自己補救的福音帶進他們生命中
[00:02:04.000 --> 00:02:12.000]  求主在今天當我們思想你聖經的話的時候,求你這樣來引導,指教我們
[00:02:12.000 --> 00:02:17.000]  我們仰望祈禱,奉耶穌基督聖明祈求,行門
[00:02:17.000 --> 00:02:22.000]  我們今天會看聖經貼所羅尼加的前書
[00:02:22.000 --> 00:02:28.000]  在讀之前,我也很想再提一些關於我們教會藉堂的事情
[00:02:28.000 --> 00:02:32.000]  大家知道我們其實不是每年都有藉堂主立
[00:02:32.000 --> 00:02:37.000]  但我們希望久不久,我們有機會重新提起這件事情
[00:02:37.000 --> 00:02:42.000]  也提醒我們不要只關心自己的堂會的事
[00:02:42.000 --> 00:02:49.000]  真是懂得學習聖經所教導我們的,真是施予比令受更大的祝福
[00:02:49.000 --> 00:02:55.000]  教會今年已經進入了第幾週年,大家不知道有沒有留意到
[00:02:55.000 --> 00:03:01.000]  65週年,所以今年年底的時候會有特別的慶祝
[00:03:01.000 --> 00:03:05.000]  65年來,神一直把這種感動給教會
[00:03:05.000 --> 00:03:10.000]  是要留心在不同的社區建立福音的基子
[00:03:10.000 --> 00:03:16.000]  所以過去65年來,教會曾經在不同地方建立了25間的分堂
[00:03:16.000 --> 00:03:19.000]  一切都是恩典,我們很感謝神
[00:03:19.000 --> 00:03:25.000]  當然其中也有困難,其中有5間因為不同的緣故結束了
[00:03:25.000 --> 00:03:29.000]  因此有些時候會有一點灰心的感覺
[00:03:29.000 --> 00:03:34.000]  但是這麼多年,神一直感動我們不要放棄,繼續在這方面努力
[00:03:34.000 --> 00:03:39.000]  這20間仍然一直堅定地成長教會
[00:03:39.000 --> 00:03:44.000]  他們同樣領受了在不同地區藉堂的意象
[00:03:44.000 --> 00:03:49.000]  所以看到他們都繼續在不同地方同樣是藉堂
[00:03:49.000 --> 00:03:54.000]  所以可能你未必知道北川家的分堂,有他們的分堂
[00:03:54.000 --> 00:03:57.000]  到今天已經有第四代的分堂
[00:03:57.000 --> 00:04:02.000]  大家可能都知道香港有個海兒半島
[00:04:02.000 --> 00:04:06.000]  在海兒半島裏面有一間宣導會海兒堂
[00:04:06.000 --> 00:04:09.000]  其實是我們第四代的分堂
[00:04:09.000 --> 00:04:13.000]  北川早年前建立了宣導會華基堂
[00:04:13.000 --> 00:04:16.000]  他們再建立了離福堂
[00:04:16.000 --> 00:04:19.000]  離福堂又開設了海兒堂
[00:04:19.000 --> 00:04:25.000]  所以你不會想到在最初開始華基堂的時候是多少的艱難
[00:04:25.000 --> 00:04:30.000]  但是今天他們一步步建立了他們的第三代的分堂
[00:04:30.000 --> 00:04:36.000]  而在英國海兒的地方有很多很重要的科目工作來開始
[00:04:36.000 --> 00:04:41.000]  而且你會看到這個情況不斷不斷正在進行
[00:04:41.000 --> 00:04:46.000]  最新的一間分堂的開始是在調景嶺
[00:04:46.000 --> 00:04:50.000]  大家會知道我們曾經有的分堂現在已經自立了
[00:04:50.000 --> 00:04:52.000]  就是宣外堂
[00:04:52.000 --> 00:04:56.000]  宣外堂最近開始了宣領堂
[00:04:56.000 --> 00:04:58.000]  在調景嶺的地方
[00:04:58.000 --> 00:05:04.000]  也是大家熟悉的一位我們曾經的牧者梁貴常牧師
[00:05:04.000 --> 00:05:09.000]  他帶領一班弟兄姐妹離開宣外堂去到調景嶺
[00:05:09.000 --> 00:05:15.000]  重新開展在當地的宣導會的福音服侍
[00:05:15.000 --> 00:05:18.000]  當說回這些事情的時候
[00:05:18.000 --> 00:05:23.000]  我們很想向神獻上感濟
[00:05:23.000 --> 00:05:25.000]  因為上帝使用我們
[00:05:25.000 --> 00:05:28.000]  給我們機會在不同地區來服侍上帝
[00:05:28.000 --> 00:05:30.000]  也提醒我們
[00:05:30.000 --> 00:05:32.000]  如果你是北川街一份子
[00:05:32.000 --> 00:05:36.000]  你同樣需要領受一份神給的使命
[00:05:36.000 --> 00:05:39.000]  就是不要停留在自己的地方
[00:05:39.000 --> 00:05:44.000]  繼續向不同的社區要作福音的服侍
[00:05:44.000 --> 00:05:48.000]  延展延續福音的使命
[00:05:48.000 --> 00:05:52.000]  當你看回這些歷史的時候
[00:05:52.000 --> 00:05:54.000]  再思想回聖經的時候
[00:05:54.000 --> 00:05:56.000]  你就會發覺在聖經裡面
[00:05:56.000 --> 00:05:58.000]  是不斷地來鼓勵我們
[00:05:58.000 --> 00:06:00.000]  弟兄姐妹
[00:06:00.000 --> 00:06:03.000]  要讓你成為了福音的出口
[00:06:03.000 --> 00:06:09.000]  讓神的道從你的生命可以傳開出去
[00:06:09.000 --> 00:06:11.000]  這正是今天我們讀的聖經
[00:06:11.000 --> 00:06:13.000]  接受來教會
[00:06:13.000 --> 00:06:17.000]  他們的一個很重要的見證和榜樣
[00:06:17.000 --> 00:06:18.000]  大家一起回到聖經
[00:06:18.000 --> 00:06:21.000]  接受我們前書第一章
[00:06:21.000 --> 00:06:24.000]  我們先看其中的第八節
[00:06:24.000 --> 00:06:26.000]  保羅讚賞這間教會
[00:06:26.000 --> 00:06:28.000]  他就這樣說
[00:06:28.000 --> 00:06:29.000]  第八節
[00:06:29.000 --> 00:06:35.000]  因為不單主的道從你們那裏傳遍了馬其頓和阿該亞
[00:06:35.000 --> 00:06:39.000]  就算你們對神的信心也傳遍了各處
[00:06:39.000 --> 00:06:43.000]  我們不用再說什麼了
[00:06:43.000 --> 00:06:44.000]  保羅位道
[00:06:44.000 --> 00:06:47.000]  接受來教會很感謝神
[00:06:47.000 --> 00:06:49.000]  而其中他特別感恩的地方就是
[00:06:49.000 --> 00:06:54.000]  說到神的道從他們中間傳了出去
[00:06:54.000 --> 00:07:01.000]  是他們所身處的地區傳揚到各處的地方
[00:07:01.000 --> 00:07:03.000]  不單止神的道
[00:07:03.000 --> 00:07:05.000]  也是他們的信心
[00:07:05.000 --> 00:07:09.000]  也同時傳遍各處
[00:07:09.000 --> 00:07:13.000]  他們將神的道傳揚出去
[00:07:13.000 --> 00:07:15.000]  也透過他們的信心
[00:07:15.000 --> 00:07:17.000]  或者說他們信心的行為
[00:07:17.000 --> 00:07:21.000]  來承托著所傳的道
[00:07:21.000 --> 00:07:24.000]  而產生很重要的見證
[00:07:24.000 --> 00:07:26.000]  當你去讀這段經文的時候
[00:07:26.000 --> 00:07:28.000]  就會發覺到聖經裏面提及到
[00:07:28.000 --> 00:07:30.000]  主的道從他們當中傳開
[00:07:30.000 --> 00:07:32.000]  有幾個很重要的原因
[00:07:32.000 --> 00:07:35.000]  第一個就是這裡所提及的
[00:07:35.000 --> 00:07:37.000]  是因為這班弟兄姊妹
[00:07:37.000 --> 00:07:40.000]  他們是真實行道
[00:07:40.000 --> 00:07:43.000]  他們領受了神的真理
[00:07:43.000 --> 00:07:45.000]  有行道出來
[00:07:45.000 --> 00:07:49.000]  大家看回前面的第二節第三節
[00:07:49.000 --> 00:07:51.000]  請提及到保羅位道
[00:07:51.000 --> 00:07:54.000]  我為你們常常感謝神
[00:07:54.000 --> 00:07:57.000]  土告的時候提到你們
[00:07:57.000 --> 00:08:00.000]  在我們的父神面前
[00:08:00.000 --> 00:08:02.000]  神自己監察一會兒
[00:08:02.000 --> 00:08:04.000]  他知道他們的實況
[00:08:04.000 --> 00:08:06.000]  他說不住地紀念你們
