
[00:00:00.000 --> 00:00:07.000]  多謝David和May安排今天的聚會
[00:00:07.000 --> 00:00:11.480]  多謝各位在不同地區同時間參與的
[00:00:11.480 --> 00:00:13.480]  下帝兄姐妹和朋友
[00:00:13.480 --> 00:00:16.480]  我之前有四個講座,剛才David也提過
[00:00:16.480 --> 00:00:18.480]  我今天的講座是繼續的
[00:00:18.480 --> 00:00:20.480]  因為我今天講的東西
[00:00:20.480 --> 00:00:24.480]  其實很多時候都會引用之前的四個講座
[00:00:24.480 --> 00:00:26.480]  那些神學原則
[00:00:26.480 --> 00:00:32.480]  我上一次講憑信心不憑眼見多瑪的故事的時候
[00:00:32.480 --> 00:00:34.480]  有人提到一些問題
[00:00:34.480 --> 00:00:36.480]  之後也收到一些問題
[00:00:36.480 --> 00:00:38.480]  所以今次我會繼續解釋
[00:00:38.480 --> 00:00:41.480]  信心在聖經裏面是甚麼意思
[00:00:41.480 --> 00:00:45.480]  和我解釋完一些神學原則之後
[00:00:45.480 --> 00:00:51.480]  我就會用阿伯拉罕的故事去看聖經裏面講的信心
[00:00:51.480 --> 00:00:54.480]  阿伯拉罕是很特別的故事
[00:00:54.480 --> 00:00:58.480]  因為聖經很少有14章
[00:00:58.480 --> 00:01:05.480]  創世紀12到25章去介紹一個人物
[00:01:05.480 --> 00:01:10.480]  所以我第二部分會講阿伯拉罕的故事的時候會比較長一點
[00:01:10.480 --> 00:01:13.480]  但希望大家有忍耐
[00:01:13.480 --> 00:01:16.480]  因為如果你明白整個故事的結構
[00:01:16.480 --> 00:01:21.480]  你就會看到神留下一些很重要很寶貴的功課給我們
[00:01:21.480 --> 00:01:25.480]  我開始的時候會講第一部分
[00:01:25.480 --> 00:01:27.480]  信從何來
[00:01:27.480 --> 00:01:31.480]  上次講完之後我也收到一些訊息
[00:01:31.480 --> 00:01:35.480]  有很多時候我們會聽到很多人問一些問題
[00:01:35.480 --> 00:01:38.480]  例如說我希望有你的信心
[00:01:38.480 --> 00:01:40.480]  或者我不夠信心
[00:01:40.480 --> 00:01:44.480]  有些人問怎樣可以增加信心呢
[00:01:44.480 --> 00:01:48.480]  有些人甚至說我沒有信心的因子
[00:01:48.480 --> 00:01:50.480]  所以信不信神其實和我沒有關係
[00:01:50.480 --> 00:01:53.480]  如果信心是神的因子他不給我
[00:01:53.480 --> 00:01:55.480]  那和我沒有關係
[00:01:55.480 --> 00:01:58.480]  有些人會有這樣的想法
[00:01:58.480 --> 00:02:01.480]  有些人會說如果信心是神的因子
[00:02:01.480 --> 00:02:04.480]  為何耶穌基督會責備人會小信呢
[00:02:04.480 --> 00:02:07.480]  因為如果是因子是你給我的
[00:02:07.480 --> 00:02:09.480]  多與少關我什麼事呢
[00:02:09.480 --> 00:02:11.480]  我們很多時候在教會裏面
[00:02:11.480 --> 00:02:14.480]  就算久也好都會有這些疑問
[00:02:14.480 --> 00:02:17.480]  最後就是信心如果是神的因子
