
[00:00:00.000 --> 00:00:02.000]  (字幕:Sarah)
[00:00:02.000 --> 00:00:05.840]  我們這幾個禮拜在這裡的敬拜
[00:00:05.840 --> 00:00:07.840]  我們都是看《但義理書》
[00:00:07.840 --> 00:00:10.760]  我們今天已經看到第六章了
[00:00:10.760 --> 00:00:12.760]  《但義理書》有十二章
[00:00:12.760 --> 00:00:15.800]  所以今天我們剛剛是半路點
[00:00:15.800 --> 00:00:17.800]  到了一半
[00:00:17.800 --> 00:00:21.080]  《但義理書》當然是講但義理的故事
[00:00:21.080 --> 00:00:23.080]  是但義理自己寫的
[00:00:23.080 --> 00:00:25.560]  但但義理書很奇怪的地方就是
[00:00:25.560 --> 00:00:28.880]  有些時候它說是用第三身
[00:00:28.880 --> 00:00:30.160]  雖然是他寫
[00:00:30.160 --> 00:00:32.160]  他在說他自己的經歷的時候
[00:00:32.160 --> 00:00:34.840]  有時候你看上去好像是別人寫的
[00:00:34.840 --> 00:00:38.520]  甚至第四章是說到
[00:00:38.520 --> 00:00:42.360]  巴比倫王尼布格尼薩的生平
[00:00:42.360 --> 00:00:45.720]  整章都是他自己的見證
[00:00:45.720 --> 00:00:47.320]  他自己的自白
[00:00:47.320 --> 00:00:49.320]  我們不知道為什麼聖靈是
[00:00:49.320 --> 00:00:51.320]  用各種不同的手法
[00:00:51.320 --> 00:00:53.320]  來將這一段歷史
[00:00:53.320 --> 00:00:55.320]  將這一段人物
[00:00:55.320 --> 00:00:57.320]  這樣繪畫出來
[00:00:57.920 --> 00:01:00.440]  但是我們從《但義理書》裡面
[00:01:00.440 --> 00:01:02.440]  是看兩樣很主要的東西
[00:01:02.440 --> 00:01:04.440]  就是我們這個系列的主題
[00:01:04.440 --> 00:01:08.160]  首先我們看《但義理》的為人
[00:01:08.160 --> 00:01:11.360]  聖靈是感動《但義理》
[00:01:11.360 --> 00:01:15.280]  將他的生平很詳盡地寫下來
[00:01:15.280 --> 00:01:16.960]  那是要我們知道
[00:01:16.960 --> 00:01:19.320]  《但義理》這個人到底是怎樣的一個人
[00:01:19.320 --> 00:01:22.160]  原來我們每一個人在神的面前
[00:01:22.160 --> 00:01:24.160]  到底我們是怎樣的一個人
[00:01:24.160 --> 00:01:26.160]  是很重要的
[00:01:26.160 --> 00:01:29.160]  不是說你和我的樣貌怎樣
[00:01:29.160 --> 00:01:30.920]  高矮怎樣
[00:01:30.920 --> 00:01:31.920]  不是
[00:01:31.920 --> 00:01:34.400]  而是看到我們這個人的裡面
[00:01:34.400 --> 00:01:35.400]  我們的心
[00:01:35.400 --> 00:01:37.400]  或者聖經說我們的靈魂
[00:01:37.400 --> 00:01:40.000]  我們到底這個人在神面前
[00:01:40.000 --> 00:01:41.400]  是怎樣的一個人
[00:01:41.400 --> 00:01:42.400]  很重要
[00:01:42.400 --> 00:01:45.160]  這個系列也說到
[00:01:45.160 --> 00:01:47.400]  是洞悉未來
[00:01:47.400 --> 00:01:49.400]  洞悉未來就是看預言
[00:01:49.400 --> 00:01:51.400]  要知道世界將來
[00:01:51.400 --> 00:01:53.400]  有什麼事情會發生
[00:01:54.400 --> 00:01:57.400]  我們在前面這幾章
[00:01:57.400 --> 00:01:59.400]  我記得在第二章的時候
[00:01:59.400 --> 00:02:00.400]  你記得嗎?
[00:02:00.400 --> 00:02:02.400]  這個尼布甲尼薩王是發了一個夢
[00:02:02.400 --> 00:02:04.400]  他忘記了那個夢
[00:02:04.400 --> 00:02:06.400]  是《但義理》幫他說了一個夢
[00:02:06.400 --> 00:02:08.400]  而解釋那個夢
[00:02:08.400 --> 00:02:11.400]  我這幾次都將那個鐵人
[00:02:11.400 --> 00:02:13.400]  很高的人像
[00:02:13.400 --> 00:02:14.400]  金頂
[00:02:14.400 --> 00:02:17.400]  胸和兩臂是銀的
[00:02:17.400 --> 00:02:20.400]  然後下去肚子是銅的
[00:02:20.400 --> 00:02:22.400]  下去腳是鐵的
[00:02:22.400 --> 00:02:25.400]  然後腳趾是鐵和泥混在一起的
[00:02:25.400 --> 00:02:28.400]  那個是預言的開始
[00:02:28.400 --> 00:02:31.400]  就是神透過《但義理》解釋
[00:02:31.400 --> 00:02:35.400]  尼布甲尼薩王的異夢
[00:02:35.400 --> 00:02:37.400]  是將《但義理》的時代
[00:02:37.400 --> 00:02:41.400]  一直到世界的終結都描繪出來
[00:02:41.400 --> 00:02:43.400]  但當然那個不是很詳細
[00:02:43.400 --> 00:02:48.400]  那個只是主要看到有幾個朝代的興衰
[00:02:48.400 --> 00:02:50.400]  但是在第七章開始
[00:02:50.400 --> 00:02:51.400]  一直到十二章
[00:02:51.400 --> 00:02:54.400]  就是神直接給《但義理》
[00:02:54.400 --> 00:02:57.400]  看到以後會發生的事
[00:02:57.400 --> 00:03:02.400]  為什麼神要將這些預言給《但義理》
[00:03:02.400 --> 00:03:07.400]  而透過聖經將這些預言記載下來呢?
[00:03:07.400 --> 00:03:10.400]  當然是和當時的歷史有關
[00:03:10.400 --> 00:03:13.400]  你記得《但義理》是被擄
[00:03:13.400 --> 00:03:16.400]  它是第一批做亡國奴
[00:03:16.400 --> 00:03:18.400]  被擄到巴比倫的地方
[00:03:18.400 --> 00:03:22.400]  由主前六百年開始
[00:03:22.400 --> 00:03:25.400]  以色列人已經沒有自己的國家
[00:03:25.400 --> 00:03:28.400]  一直到幾十年前
[00:03:28.400 --> 00:03:31.400]  1948年才重建以色列國
[00:03:31.400 --> 00:03:35.400]  他們有兩千多年流亡
[00:03:35.400 --> 00:03:37.400]  為什麼他們的歷史會這麼悲慘呢?
[00:03:37.400 --> 00:03:40.400]  就是因為猶太人潑逆神
[00:03:40.400 --> 00:03:43.400]  所以神要懲罰他們的子民
[00:03:43.400 --> 00:03:46.400]  由《但義理》的時代開始
[00:03:46.400 --> 00:03:49.400]  已經是他們沒有自己的國家
[00:03:49.400 --> 00:03:52.400]  去到異國四散
[00:03:52.400 --> 00:03:54.400]  在世界各地去到哪裡
[00:03:54.400 --> 00:03:57.400]  都被那裡的人逼迫
[00:03:57.400 --> 00:03:59.400]  但在這一段日子
[00:03:59.400 --> 00:04:02.400]  其實神在管教他們的選民
