
[00:00:00.000 --> 00:00:06.200]  高等姐妹讓我們在聆聽主的說話以先
[00:00:06.200 --> 00:00:09.240]  我們再次一齊同心低頭仰望主愛的神
[00:00:09.240 --> 00:00:15.680]  父親多謝你讓我們能夠再次回到你寶貴的說話當中
[00:00:15.680 --> 00:00:19.280]  特別是在但以你的啟示裏面
[00:00:19.280 --> 00:00:24.960]  能夠更貼近我們今天時代的需要
[00:00:24.960 --> 00:00:33.600]  能夠有一副熟明的眼睛來參透今天這個時代
[00:00:33.600 --> 00:00:38.400]  我們作為屬神的子民應當如何去面對和處理
[00:00:38.400 --> 00:00:42.680]  在今天這個世代裏罪惡橫行
[00:00:42.680 --> 00:00:45.760]  進入一個沒有理由的狀態
[00:00:45.760 --> 00:00:51.200]  我們再不能用一般的邏輯來推算人的思想的時候
[00:00:51.200 --> 00:00:56.880]  但願我們每因此而進入混亂和惶恐
[00:00:56.880 --> 00:01:02.000]  相反的我們仍然能夠在真理裏面
[00:01:02.000 --> 00:01:09.520]  探索準確我們這位上主如何在時代當中作為總舵手
[00:01:09.520 --> 00:01:15.000]  好想我們能夠站立得穩在這個時代當中
[00:01:15.000 --> 00:01:20.200]  作真正時代洪流當中的一個見證
[00:01:20.200 --> 00:01:23.200]  讓人重新認識你
[00:01:23.200 --> 00:01:25.680]  為生於上主的你當中
[00:01:25.680 --> 00:01:27.480]  我們同心的禱告
[00:01:27.480 --> 00:01:30.920]  奉靠主耶穌基督得勝的明智而求
[00:01:30.920 --> 00:01:31.920]  阿們
[00:01:31.920 --> 00:01:43.040]  在上一個星期我們已經開始了但以你書這本書的研讀
[00:01:43.040 --> 00:01:48.400]  讓我們一起在主日裏面去思想這段聖經
[00:01:48.400 --> 00:01:54.560]  但以你書有很多背景是值得我們留心的
[00:01:54.560 --> 00:02:01.600]  如果大家先前曾經看過我們的講道的話
[00:02:01.600 --> 00:02:15.920]  你會留意到但以你書的背景其實是記載了在烈王紀夏以及歷代之下的部分
[00:02:15.920 --> 00:02:18.560]  我不再重複了
