
[00:00:00.000 --> 00:00:06.760]  上兩堂我們查第四和第五章
[00:00:06.760 --> 00:00:12.800]  是約翰神讓他看到天上敬拜的情景
[00:00:12.800 --> 00:00:17.720]  我們看到有神的寶座 有二十四位長老
[00:00:17.720 --> 00:00:23.240]  我們說這二十四位長老很可能是代表新約的教會
[00:00:23.240 --> 00:00:28.160]  有四活物 四活物我們知道是誰 是天使
[00:00:28.160 --> 00:00:34.280]  也有聖子或高揚 也有千萬的天使
[00:00:34.280 --> 00:00:42.000]  我們看到坐在寶座上的聖父右手拿著一本書卷
[00:00:42.000 --> 00:00:47.440]  這本書卷有七個印封著
[00:00:47.440 --> 00:00:51.040]  這是當時一些重要的文件
[00:00:51.040 --> 00:00:55.840]  用這樣來封著 不讓人隨便打開
[00:00:55.840 --> 00:01:03.440]  我們也看到高揚在聖父的手中接過七印密封的書卷
[00:01:03.440 --> 00:01:13.360]  我相信這書卷是代表了地球或是宇宙的擁有權和統治權
[00:01:13.360 --> 00:01:18.120]  過去地上是魔鬼作王的時候
[00:01:18.120 --> 00:01:27.120]  但現在到了時候 基督要在撒旦的手中把地球拿回來
[00:01:27.120 --> 00:01:29.760]  歸還給他自己
[00:01:29.760 --> 00:01:36.360]  他就拿了這個擁有權或是管治權
[00:01:36.360 --> 00:01:45.000]  透過這七個印被逐個揭開所發出來的災難
[00:01:45.000 --> 00:01:52.680]  令到最後的時候他把統治權收回來
[00:01:52.680 --> 00:01:57.800]  這也是但以來我們以前查過的第九章
[00:01:57.800 --> 00:02:03.960]  它說到七十個七的異象當中最後的七年
[00:02:03.960 --> 00:02:08.280]  因為我們那時候也說了最後的七年是未出現的
[00:02:08.280 --> 00:02:13.400]  最後這七年在中間被教會時代隔開
[00:02:13.400 --> 00:02:16.280]  這在舊約是一個奧秘
[00:02:16.280 --> 00:02:19.400]  但在新約教會被成立
[00:02:19.400 --> 00:02:22.600]  在這段時候是外邦人得救的時候
[00:02:22.600 --> 00:02:27.640]  恩典救恩的門向著我們這些外邦人大開
[00:02:27.640 --> 00:02:31.000]  但有一天這個時期是會結束的
[00:02:31.000 --> 00:02:36.360]  就會到最後的七年了
[00:02:36.360 --> 00:02:46.600]  第六章神系被約翰看到高揚打開前面那六個印的情景
[00:02:46.600 --> 00:02:50.440]  總共是七個印逐個要打開
[00:02:50.440 --> 00:02:53.640]  打開到第七個的時候結束了
[00:02:53.640 --> 00:02:55.880]  這個時間就結束了
[00:02:55.880 --> 00:02:58.440]  基督就會回來掌權
[00:02:58.440 --> 00:03:02.600]  但前面那六個是今晚我們要看的
[00:03:02.600 --> 00:03:05.800]  第七個其實以後我們會看
[00:03:05.800 --> 00:03:07.720]  但第七個是很厲害的
[00:03:07.720 --> 00:03:14.920]  第七個裡面是包含到六個號的災和六個碗的災
[00:03:14.920 --> 00:03:18.760]  全部都在第七個印打開的時候是出來的
[00:03:18.760 --> 00:03:25.000]  但今晚我們只能夠有時間看到第六章這七個印
[00:03:25.000 --> 00:03:27.960]  我們首先要了解一下筆記那裡
[00:03:27.960 --> 00:03:33.080]  A那個部分這七個印的時間性
[00:03:33.080 --> 00:03:38.440]  今晚我們看第六章的時候
[00:03:38.440 --> 00:03:42.040]  裡面似乎是沒有這個狄基督的蹤影的
[00:03:42.040 --> 00:03:44.600]  你沒有看到狄基督這幾個字的
[00:03:44.600 --> 00:03:47.800]  也都好像是沒有直接出現的
