
[00:00:00.000 --> 00:00:04.800]  大家等一下叫他平安
[00:00:04.800 --> 00:00:08.340]  我只是說半個小時 接著休息
[00:00:08.340 --> 00:00:12.800]  然後回來再說的 所以你可以聽一下透一下氣
[00:00:12.800 --> 00:00:17.720]  可能聽這些話題都挺心痛的
[00:00:17.720 --> 00:00:20.120]  因為題目名叫「面臨破裂」
[00:00:20.120 --> 00:00:22.880]  不是破裂了 是面臨破裂
[00:00:22.880 --> 00:00:26.920]  面臨破裂其實是差不多很多夫妻都有
[00:00:26.920 --> 00:00:32.480]  在最先進的美國的研究就說
[00:00:32.480 --> 00:00:35.000]  一對夫妻一輩子結婚
[00:00:35.000 --> 00:00:38.280]  曾經是罵過多少次離婚呢?
[00:00:38.280 --> 00:00:42.500]  平均是200次 200次
[00:00:42.500 --> 00:00:45.560]  所以你父母可能都罵過200次離婚
[00:00:45.560 --> 00:00:48.880]  200次很容易有的 很容易有的
[00:00:48.880 --> 00:00:51.180]  其實一年幾次而已 是吧?
[00:00:51.180 --> 00:00:53.440]  很多夫妻結婚都50年
[00:00:53.440 --> 00:00:57.920]  你一年有4次 春夏秋冬一次已經200次
[00:00:57.920 --> 00:00:59.920]  很容易有的
[00:00:59.920 --> 00:01:03.220]  200次中一次已經可以離婚了
[00:01:03.220 --> 00:01:07.880]  為什麼呢?就是原來最好的夫妻
[00:01:07.880 --> 00:01:13.120]  每5次談得很開心
[00:01:13.120 --> 00:01:16.880]  第6次通常都吵架
[00:01:16.880 --> 00:01:21.760]  就是5比1 就是6局 衰1局
[00:01:21.760 --> 00:01:24.080]  吵架 為什麼呢?
[00:01:24.080 --> 00:01:28.660]  有心理原因的 就是因為疏於防範
[00:01:28.660 --> 00:01:32.260]  當你兩個好談的時候 你就會得意忘形
[00:01:32.260 --> 00:01:36.660]  不經意對對方說一些沒禮貌的話
[00:01:36.660 --> 00:01:39.420]  或者侮辱他家人
[00:01:39.420 --> 00:01:42.480]  搞到突然間本來好好的上午
[00:01:42.480 --> 00:01:44.880]  下午突然間翻臉
[00:01:44.880 --> 00:01:46.480]  得意忘形是很危險的
[00:01:46.480 --> 00:01:49.480]  因為你下棋真的很容易生悲
[00:01:49.480 --> 00:01:53.360]  所以一開始結婚之前拍拖
[00:01:53.360 --> 00:01:56.040]  男孩子通常都是穩打穩紮的
[00:01:56.040 --> 00:01:59.940]  很少得罪女朋友 免得娶不成
[00:01:59.940 --> 00:02:04.400]  但是娶了她之後 你就會說話鬆懈了很多
[00:02:04.400 --> 00:02:06.400]  我想很多太太都明白了
[00:02:06.400 --> 00:02:08.440]  說得出來就說
[00:02:08.440 --> 00:02:11.120]  當然了 太太不會放過他的
[00:02:11.120 --> 00:02:12.820]  你一說得出來就罵他
[00:02:12.820 --> 00:02:15.040]  他一年跟你死過就罵他
[00:02:15.040 --> 00:02:18.720]  所以你住新婚夫妻的隔壁房子
[00:02:18.720 --> 00:02:21.200]  隨時突然間 電視這麼大聲
[00:02:21.200 --> 00:02:25.120]  其實不是真人來的 是吵架
[00:02:25.120 --> 00:02:30.960]  所以今天我們講這個話題都挺值得研究
[00:02:30.960 --> 00:02:36.180]  我做了婚姻輔導30多年左右
[00:02:36.180 --> 00:02:39.680]  婚姻及兒童教育中心開了35年
[00:02:39.680 --> 00:02:41.480]  以前在特科中心
[00:02:41.480 --> 00:02:44.240]  後來我們在中區
[00:02:44.480 --> 00:02:48.400]  臨床心理專家都接近8個
[00:02:48.400 --> 00:02:52.040]  有心理醫生 隔壁還是精神科診所
[00:02:52.040 --> 00:02:54.040]  12個精神科醫生
[00:02:54.040 --> 00:02:59.160]  事實上是惦及婚姻的個案非常多
[00:02:59.160 --> 00:03:03.960]  很多還要刺激過度 要吃藥的
[00:03:03.960 --> 00:03:06.960]  為了這個 我都準備了
[00:03:06.960 --> 00:03:10.560]  寫回30多年的招式是什麼
[00:03:10.560 --> 00:03:12.760]  我就做了一個課程
[00:03:12.760 --> 00:03:16.720]  明年在港福堂教30堂
[00:03:16.720 --> 00:03:22.880]  盡量將30招教會有成功機會高的
[00:03:22.880 --> 00:03:27.120]  介紹給教會的牧師、傳道人、評論家
[00:03:27.120 --> 00:03:30.720]  如果你有興趣 你可以做其中一個研究員
[00:03:30.720 --> 00:03:32.440]  事實上你今天聽我講
[00:03:32.440 --> 00:03:36.620]  我可能講了一個小時都是2%左右的內容
[00:03:36.620 --> 00:03:40.900]  首先講回聖經裡面第一樣你看到的是什麼呢?
[00:03:40.900 --> 00:03:43.300]  就是創世紀
[00:03:43.300 --> 00:03:46.420]  經常聽到一句話就是上帝看事好的
[00:03:46.420 --> 00:03:51.540]  就是你做什麼都說是好的
[00:03:51.540 --> 00:03:55.060]  但是第一個不好
[00:03:55.060 --> 00:04:00.380]  就在亞當那裡 就是這人獨居不好
[00:04:00.380 --> 00:04:02.700]  講這麼多好呢
[00:04:02.700 --> 00:04:08.020]  你的不好已經看到上帝是有意思的
[00:04:08.020 --> 00:04:12.660]  是要建立一個更加完整的好 就是關係
[00:04:12.660 --> 00:04:18.380]  就是為他建議他 給他一個太太
[00:04:18.380 --> 00:04:24.440]  你開始看到好和不好是一種關係
[00:04:24.440 --> 00:04:28.980]  人需要一種關係 是一種親密關係 很有關係
[00:04:28.980 --> 00:04:34.040]  所以後來你看到結婚就是由兩個不同性別的人
[00:04:34.040 --> 00:04:38.500]  甚至不同特徵的人成為長久關係
[00:04:38.500 --> 00:04:40.500]  其實難得不得了
[00:04:40.500 --> 00:04:45.300]  我做心理輔導 我認識很多同行的臨床生育專家
[00:04:45.300 --> 00:04:49.100]  他們都不相信結婚的
[00:04:49.100 --> 00:04:53.160]  他不相信認識了幾個月甚至幾年
[00:04:53.160 --> 00:04:56.640]  一個女孩子或者男孩子就肯定自己適合
[00:04:56.640 --> 00:05:01.200]  一個人起碼40年到60年
[00:05:01.200 --> 00:05:04.580]  他覺得這個機會是不可能的
[00:05:04.580 --> 00:05:08.180]  甚至有些人認識了幾個月就結婚
[00:05:08.180 --> 00:05:13.200]  怎麼可以相信幾個月就推論到幾十年
[00:05:13.200 --> 00:05:16.740]  大家會好好相處呢?
[00:05:16.740 --> 00:05:20.900]  就是子女和媽媽都不行 是吧?
[00:05:20.900 --> 00:05:24.200]  你就想到和媽媽 你出生就認識她
[00:05:24.200 --> 00:05:28.420]  你一樣和她很接近 甚至離家出走
[00:05:28.420 --> 00:05:33.840]  結婚認識了幾個月 當你十出氣
[00:05:33.840 --> 00:05:38.040]  吃過20餐 那又怎麼樣呢?
[00:05:38.040 --> 00:05:41.320]  有時候很多臨床生育專家都說
[00:05:41.320 --> 00:05:45.540]  結婚是人類最危險的事情 很危險
[00:05:45.540 --> 00:05:50.160]  上半場我稍微講一下破裂的原因給大家聽一下
[00:05:50.160 --> 00:05:52.520]  我希望大家都不捨得離開
[00:05:52.520 --> 00:05:56.040]  下半場講解藥 看看有沒有得救
[00:05:56.040 --> 00:06:00.960]  有11個原因是會出事的
[00:06:00.960 --> 00:06:03.920]  是去到破裂階段的
[00:06:03.920 --> 00:06:07.160]  其實第一個原因是大很多人不知道的
[00:06:07.160 --> 00:06:12.080]  其實在行婚禮之前已經看到有破裂原因的
[00:06:12.080 --> 00:06:15.620]  就是當你嫁給一個男人
[00:06:15.620 --> 00:06:17.620]  或者男人娶一個女孩子
[00:06:17.620 --> 00:06:22.760]  而兩邊家裡都不鼓勵他 不鼓勵他
[00:06:22.760 --> 00:06:26.060]  去全心愛這個對象
[00:06:26.060 --> 00:06:28.420]  不鼓勵 不全心
[00:06:28.420 --> 00:06:32.040]  已經駁下了一條線是會破裂的
[00:06:32.040 --> 00:06:33.800]  你記一下你結婚前
[00:06:33.800 --> 00:06:36.000]  我相信今天坐在這裡很多人都結了婚的
[00:06:36.000 --> 00:06:39.620]  樣子都像 希望是吧
[00:06:39.620 --> 00:06:42.820]  你媽媽或者你爸爸會不會跟你講
[00:06:42.820 --> 00:06:46.920]  你現在嫁給別人了 不過不怕的
[00:06:46.920 --> 00:06:49.220]  如果他對你不好 你回到那裡去
[00:06:49.220 --> 00:06:52.440]  我有房間留給你的 不怕的
[00:06:52.440 --> 00:06:54.440]  這句已經出事了
[00:06:54.440 --> 00:06:58.400]  所以很多人就像還有房間在媽媽那裡
[00:06:58.400 --> 00:07:03.440]  所以突然間 啪 馬上就回家了
[00:07:03.440 --> 00:07:05.440]  男孩子都一樣的
[00:07:05.440 --> 00:07:09.160]  爸爸媽媽跟他說 你的脾氣
[00:07:09.160 --> 00:07:11.560]  我都領教了很多年了
[00:07:11.560 --> 00:07:14.120]  我都看不到你能夠頂得住
[00:07:14.120 --> 00:07:17.140]  跟女孩子相處 你現在搞得人家
[00:07:17.140 --> 00:07:19.140]  氣死人了
[00:07:19.140 --> 00:07:23.340]  算了 不行就回家住吧
[00:07:23.340 --> 00:07:26.140]  每次回家住這句話
[00:07:26.140 --> 00:07:28.480]  就成為了撞膽了
[00:07:28.480 --> 00:07:31.600]  走得很容易 走得很快 因為有兩條鎖匙
[00:07:31.600 --> 00:07:34.240]  這條鎖匙和家裡的鎖匙
[00:07:34.240 --> 00:07:37.780]  相反的 如果一個家長說什麼呢
[00:07:37.780 --> 00:07:40.580]  好不好你都不要回來
[00:07:40.580 --> 00:07:43.160]  你睡在街上都不要回來 你嫁給別人的
[00:07:43.160 --> 00:07:46.480]  你是別人家裡的了 你用心做太太
[00:07:46.480 --> 00:07:49.200]  這樣又不同了 這樣又不同了
[00:07:49.200 --> 00:07:51.840]  是撐得久很多的 真的撐得久很多
[00:07:51.840 --> 00:07:53.600]  因為你沒有鎖匙進去的
[00:07:53.600 --> 00:07:55.760]  所以你怎麼會睡在街上呢
[00:07:55.760 --> 00:07:57.760]  所以有時候要小心
[00:07:57.760 --> 00:08:00.440]  你今晚先聽著 如果你的子女結婚
[00:08:00.440 --> 00:08:02.480]  千萬不要叫他們回來 因為不妥了
[00:08:02.480 --> 00:08:05.720]  千萬不要說這句話 否則你會餵死人的
[00:08:05.720 --> 00:08:08.680]  第二件事就是社宅
[00:08:08.680 --> 00:08:10.680]  這個在《聖經》看到
[00:08:10.680 --> 00:08:14.880]  董曉華也是說那條蛇搞得他們做了選擇
[00:08:14.880 --> 00:08:18.880]  一有社宅就說不關我的事 是你的
[00:08:18.880 --> 00:08:20.880]  這樣就出事了
[00:08:20.880 --> 00:08:24.560]  相反的 如果兩個都說
[00:08:24.560 --> 00:08:26.560]  我們兩個都不好
[00:08:26.560 --> 00:08:29.000]  你有建議這樣 我也同意這樣
[00:08:29.000 --> 00:08:31.800]  現在搞成這樣 我們兩個都有責任
[00:08:31.800 --> 00:08:34.560]  我一定自己都有責任
[00:08:34.560 --> 00:08:38.800]  反而沒事的 社宅也是危險的
[00:08:38.800 --> 00:08:43.920]  所以婚姻輔導是要兩個人去戰的
[00:08:43.920 --> 00:08:46.560]  一個人你給多少錢呢
[00:08:46.560 --> 00:08:49.640]  或者肯求什麼都不肯 為什麼呢
[00:08:49.640 --> 00:08:53.080]  因為一個人戰 十乘十
[00:08:53.080 --> 00:08:56.720]  男人來就說 你幫我搞定那個東西
[00:08:56.720 --> 00:08:59.360]  搞定我老婆 女人進來就說
[00:08:59.360 --> 00:09:01.360]  你幫我搞定我老公
[00:09:01.360 --> 00:09:03.360]  他們不想自己改變的
[00:09:03.360 --> 00:09:05.360]  他們想別人幫他搞定那個東西
[00:09:05.360 --> 00:09:08.640]  搞定他改變而已 社宅
[00:09:08.640 --> 00:09:11.520]  這樣的時候一定沒得談
[00:09:11.520 --> 00:09:13.520]  這個關係是完的
[00:09:13.520 --> 00:09:18.160]  第三件事就是忠誠力很脆弱
[00:09:18.160 --> 00:09:23.400]  就是答應了 但是目標很快就放下了
