
[00:00:00.000 --> 00:00:09.440]  感謝主 亦都在2023年最後一天
[00:00:09.440 --> 00:00:12.800]  我們一同回到主的面前
[00:00:12.800 --> 00:00:17.200]  同心敬拜 數算主因
[00:00:17.200 --> 00:00:22.000]  每一次回來希伯頓堂都真的有很多回憶
[00:00:22.000 --> 00:00:26.480]  60年的印象
[00:00:26.480 --> 00:00:31.600]  剛才唱《我曾寫命為你》
[00:00:31.600 --> 00:00:35.440]  這首宣導詩50首
[00:00:35.440 --> 00:00:40.800]  是我學詩琴練習的第一首詩
[00:00:40.800 --> 00:00:42.000]  因為如果你懂得彈琴
[00:00:42.000 --> 00:00:46.960]  你會知道這首是詩大調的盛詩
[00:00:46.960 --> 00:00:49.840]  即是不用上sharp、flat
[00:00:49.840 --> 00:00:51.120]  不用彈那些黑字
[00:00:51.120 --> 00:00:52.720]  只彈白色的字
[00:00:52.720 --> 00:00:56.560]  很小的時候 應該十歲左右
[00:00:56.560 --> 00:00:57.840]  手都不夠大
[00:00:57.840 --> 00:01:04.880]  但這首詩歌就是我學習詩琴的第一首盛詩
[00:01:04.880 --> 00:01:06.480]  當時還在想
[00:01:06.480 --> 00:01:10.400]  「糟了 這麼大本詩歌 何時能彈完呢?」
[00:01:10.400 --> 00:01:11.280]  「懂得彈完?」
[00:01:11.280 --> 00:01:15.760]  「一會兒你會知道以前團契唱短詩」
[00:01:15.760 --> 00:01:18.320]  「喜歡唱哪首就唱哪首」
[00:01:18.320 --> 00:01:19.600]  「哪有今天這麼兇」
[00:01:19.600 --> 00:01:23.680]  「要早兩個星期就給定去練習」
[00:01:23.680 --> 00:01:26.880]  所以這真是很不同
[00:01:26.880 --> 00:01:28.480]  現在民主了很多
[00:01:28.480 --> 00:01:30.000]  感謝神
[00:01:30.000 --> 00:01:32.720]  簡牧師告訴我
[00:01:32.720 --> 00:01:35.520]  每第五個星期
[00:01:35.520 --> 00:01:37.120]  在今年
[00:01:37.120 --> 00:01:40.320]  希伯倫堂會一同來講解
[00:01:40.320 --> 00:01:46.800]  宣導會的四重福音
[00:01:46.800 --> 00:01:48.800]  不是四個福音
[00:01:48.800 --> 00:01:49.840]  不要搞錯
[00:01:49.840 --> 00:01:53.760]  要理解甚麼是四重福音
[00:01:53.760 --> 00:01:56.720]  Fourfold Gospel
[00:01:56.720 --> 00:02:04.080]  這個說法其實可以有不同的英文中文表達
[00:02:04.080 --> 00:02:04.960]  例如
[00:02:04.960 --> 00:02:09.120]  如果你知道香港有一間叫做四方福音會
[00:02:09.120 --> 00:02:10.640]  有沒有印象
[00:02:10.640 --> 00:02:13.360]  Four Square Gospel Church
[00:02:13.360 --> 00:02:15.920]  但不是東南西北的意思
[00:02:15.920 --> 00:02:21.040]  就是宣導會四重福音的意思
[00:02:21.040 --> 00:02:23.520]  很奇怪用了square這個字
[00:02:23.520 --> 00:02:24.960]  內容有點不同
