
[00:00:00.000 --> 00:00:06.820]  我曾經在北美講過一個退休會
[00:00:06.820 --> 00:00:10.620]  我講了尼熙米記 講到第四章
[00:00:10.620 --> 00:00:15.320]  灰土上多 崗台的人已經力氣最大
[00:00:15.320 --> 00:00:21.080]  在那一次的下令會裏面
[00:00:21.080 --> 00:00:26.120]  後來做見證 有位姐妹她聽到這篇的導
[00:00:26.120 --> 00:00:31.240]  她覺得她灰心失意 應該重新再來
[00:00:31.240 --> 00:00:37.280]  所以她在那裏做見證 她說她從小就參加教會
[00:00:37.280 --> 00:00:40.820]  她爸爸是牧師 因為爸爸是牧師
[00:00:40.820 --> 00:00:46.680]  所以她在一個很小的教會 所以從小她就要幫忙
[00:00:46.680 --> 00:00:52.760]  有時要擺聖經 擺詩歌 甚至有時要去洗廁所
[00:00:52.760 --> 00:00:55.560]  做很多雜事的事情
[00:00:55.560 --> 00:01:03.400]  因為沒有什麼人侍奉 所以牧師女很多事情都派上用場
[00:01:03.400 --> 00:01:08.920]  她其實很不甘心 很不情願 但是她一定要做
[00:01:08.920 --> 00:01:13.640]  所以到她讀中學完結之後
[00:01:13.640 --> 00:01:19.400]  她有機會移民 不是移民 去外國讀書 去美國讀書
[00:01:19.400 --> 00:01:24.480]  她去到美國的時候 她感到自己可以放鬆
[00:01:24.480 --> 00:01:28.560]  其實她在壓力的底下差不多精力耗盡
[00:01:28.560 --> 00:01:34.320]  她自己覺得很厭煩 侍奉一些喜樂、一些甘甜都沒有
[00:01:34.320 --> 00:01:42.880]  所以她去到美國的時候 她就隱姓埋名 退出江湖
[00:01:42.880 --> 00:01:49.440]  但是她不敢不去教會 所以她每逢教會開始
[00:01:49.440 --> 00:01:54.720]  差不多可以只要十分十五分鐘 她才偷偷地走進來
[00:01:54.720 --> 00:02:01.400]  然後牧師講完道唱結束詩之前 她就走了
[00:02:01.400 --> 00:02:07.600]  所以回到教會大概兩三年 牧師還以為她是新朋友
[00:02:07.600 --> 00:02:12.800]  她就是要避開 她不要參加侍奉
[00:02:12.800 --> 00:02:17.360]  弟兄姊妹 我不知道你有沒有試過到侍奉到一個地步
[00:02:17.360 --> 00:02:22.480]  沒有喜樂、沒有甘甜、沒有滿足
[00:02:22.480 --> 00:02:28.160]  自己成為一個三尖八角的人 很不想參與
[00:02:28.160 --> 00:02:34.480]  也有時候到一個地步不想見人 我不知道有沒有
[00:02:34.480 --> 00:02:42.440]  這種的生命枯竭 我相信在基督徒裏面是很常見的情況
[00:02:42.440 --> 00:02:45.800]  弟兄姊妹 你不要想有一個情況
[00:02:45.800 --> 00:02:54.280]  就是一個人是愛主熱心 他就一直愛主愛到底 不是的
[00:02:54.280 --> 00:02:57.520]  你不要想著有些人他光光烈烈做了一些
[00:02:57.520 --> 00:03:05.880]  很蒙神使用的大事之後 他一直都是停留在高峰高潮上
[00:03:05.880 --> 00:03:12.000]  有些人他可以升到很高 但是他也可以降到很低
[00:03:12.000 --> 00:03:15.840]  有些人愛主的時候熱切到很厲害
[00:03:15.840 --> 00:03:21.760]  但是當他一放棄 他就放棄得很厲害
[00:03:21.760 --> 00:03:27.560]  而我們看今天 以利亞這個屬靈的偉人
[00:03:27.560 --> 00:03:34.680]  他就是曾經上到屬靈的高峰 他去到加密山的山頂
[00:03:34.680 --> 00:03:39.480]  而他的屬靈的高峰也都比加密山更高
[00:03:39.480 --> 00:03:43.560]  但是當他大戰完畢之後 我們一看
[00:03:43.560 --> 00:03:49.120]  他跌落了屬靈的谷底 他軟弱放屁的時候
[00:03:49.120 --> 00:03:52.800]  也是慘不忍睹的
[00:03:52.800 --> 00:03:58.960]  當我們看以利亞他在加密山風雲 他大勝巴黎先知
[00:03:58.960 --> 00:04:03.880]  如果當時 我昨天和大家說 如果當時有新聞報導
[00:04:03.880 --> 00:04:10.400]  他們一定會上到加密山那個大戰之後的情況
[00:04:10.400 --> 00:04:13.360]  然後在那裡拍攝 然後在那裡訪問
[00:04:13.360 --> 00:04:17.800]  如果找到以利亞的話 他們一定要找以利亞來訪問一下
[00:04:17.800 --> 00:04:22.920]  如果找不到以利亞 我相信他要找當時一個目擊的證人
[00:04:22.920 --> 00:04:28.200]  來講述一下當時大戰的慘況
[00:04:28.200 --> 00:04:30.520]  如果有新聞報導的話
[00:04:30.520 --> 00:04:37.280]  以利亞得勝巴黎先知應該是頭條
[00:04:37.280 --> 00:04:40.040]  以利亞已經成為當時的大英雄
[00:04:40.040 --> 00:04:44.320]  家喻戶曉 然後個個都會說
[00:04:44.320 --> 00:04:46.640]  哇 你知不知道啊 你知不知道啊
[00:04:46.640 --> 00:04:51.080]  如果有些人看見的 就在那裡加鹽加醋
[00:04:51.080 --> 00:04:54.680]  加上辣椒 然後就告訴別人聽
[00:04:54.680 --> 00:04:58.200]  哇 我看見了 很厲害啊
[00:04:58.200 --> 00:05:01.600]  以利亞真的好像一個北島翁一樣
[00:05:01.600 --> 00:05:06.360]  好像一尊的巨人 他屹立不倒
[00:05:06.360 --> 00:05:08.280]  哇 大家都很羨慕
[00:05:08.280 --> 00:05:15.720]  也都很想能夠沾一下以利亞的光輝
[00:05:15.720 --> 00:05:19.320]  但是好景不常
[00:05:19.320 --> 00:05:23.440]  我們看第19章的時候 我們看見一個急轉彎
[00:05:23.440 --> 00:05:26.520]  一個U-turn 180度
[00:05:26.520 --> 00:05:29.920]  本來是這樣去的 現在忽然間掉頭
[00:05:29.920 --> 00:05:33.680]  向背後的方向走
[00:05:33.680 --> 00:05:36.840]  以利亞灰心軟弱
[00:05:36.840 --> 00:05:43.000]  而這是一個急轉彎 峰迴路轉的情況
[00:05:43.000 --> 00:05:45.560]  所以今天我們要從第19章
[00:05:45.560 --> 00:05:48.400]  第1到第21節來看一看
[00:05:48.400 --> 00:05:52.760]  以利亞如何飛越這個灰暗的幽谷
[00:05:52.760 --> 00:05:59.080]  他如何穿越灰暗的幽谷
[00:05:59.080 --> 00:06:01.720]  我們看看第19章的開始
[00:06:01.720 --> 00:06:10.240]  我們看第一段 就是他掉進低谷的原因
[00:06:10.240 --> 00:06:14.640]  他掉進低谷的原因是什麼呢?
[00:06:14.640 --> 00:06:17.880]  我們看看第一個原因
[00:06:17.880 --> 00:06:22.880]  就是他忽視了另類的戰場
[00:06:22.880 --> 00:06:29.680]  阿哈將以利亞一切所行的
[00:06:29.680 --> 00:06:34.480]  和他用刀殺眾先知的事都告訴耶誓別
[00:06:34.480 --> 00:06:36.960]  耶誓別是誰呢?
[00:06:36.960 --> 00:06:38.640]  耶誓別是他太太
[00:06:38.640 --> 00:06:41.400]  耶誓別就差遣人去見以利亞
[00:06:41.400 --> 00:06:44.480]  告訴她說 明日約在這時候
[00:06:44.480 --> 00:06:48.800]  我若不使你的性命像那些人的性命一樣
[00:06:48.800 --> 00:06:54.600]  願神明重重地降伐於我
[00:06:54.600 --> 00:06:58.280]  以利亞在加密山他得勝
[00:06:58.280 --> 00:07:00.880]  他屹立不倒
[00:07:00.880 --> 00:07:04.480]  他在加密山戰場上
[00:07:04.480 --> 00:07:09.040]  他為神打了一場非常漂亮的仗
[00:07:09.040 --> 00:07:12.640]  但是以利亞他沒有想到
[00:07:12.640 --> 00:07:17.760]  原來在這個世界上有另外一種戰場
[00:07:17.760 --> 00:07:20.720]  大家知道另外一種戰場是什麼嗎?
[00:07:20.720 --> 00:07:23.680]  就是心裡面的戰場
[00:07:23.680 --> 00:07:28.480]  心裡面的戰場就是當耶誓別聽到
[00:07:28.480 --> 00:07:33.040]  阿哈和他說以利亞所做的一切事情
[00:07:33.040 --> 00:07:36.760]  他就放出一句恐嚇的說話
[00:07:36.760 --> 00:07:40.920]  這句恐嚇的說話就是明日約在這時候
[00:07:40.920 --> 00:07:45.720]  我若不使你的性命像那些人的性命一樣
[00:07:45.720 --> 00:07:55.000]  願神明重重地降伐於我
[00:07:55.000 --> 00:07:57.240]  如果你聽這句說話
[00:07:57.240 --> 00:08:01.240]  你覺得是不是有實質?
[00:08:01.240 --> 00:08:02.840]  有沒有實質?
[00:08:02.840 --> 00:08:06.520]  這句說話純粹是一種恐嚇
[00:08:06.520 --> 00:08:10.600]  耶誓別的四百五十個先知都死了
[00:08:10.600 --> 00:08:17.000]  現在耶誓別和他前幾天的狀況是差天共地
[00:08:17.000 --> 00:08:19.800]  而他派人來送一個訊息過去
[00:08:19.800 --> 00:08:22.280]  很可能他仍然有些力量
[00:08:22.280 --> 00:08:27.000]  但是他的力量已經大大被削減
[00:08:27.000 --> 00:08:29.400]  大家如果看這節聖經
[00:08:29.400 --> 00:08:33.880]  願神明這樣懲罰我並且加倍的懲罰
[00:08:33.880 --> 00:08:35.560]  這個是呂鎮忠的譯本
[00:08:35.560 --> 00:08:38.920]  呂鎮忠的譯本就將那個重複
[00:08:38.920 --> 00:08:41.720]  那個強調講得很清楚
[00:08:41.720 --> 00:08:45.640]  而NASB和NIV都是這樣翻譯
[00:08:45.640 --> 00:08:48.840]  就是說耶誓別講這句說話的時候
[00:08:48.840 --> 00:08:53.160]  他是重複了說神要懲罰我
[00:08:53.160 --> 00:08:56.600]  而且加倍的懲罰我
[00:08:56.600 --> 00:09:01.000]  他誓要找以利亞來算帳
[00:09:01.000 --> 00:09:04.680]  丙姐妹如果你聽清楚這句話
[00:09:04.680 --> 00:09:07.880]  其實是一種叫做鉗奴之計
[00:09:07.880 --> 00:09:09.800]  就是他已經到一個地步
[00:09:09.800 --> 00:09:15.080]  他沒有其他的辦法就放出一句恐嚇
[00:09:15.080 --> 00:09:16.840]  但是這一句恐嚇
[00:09:16.840 --> 00:09:20.360]  對於以利亞承擔了這麼重的重擔
[00:09:20.360 --> 00:09:23.880]  在過去的那個日子裏面
[00:09:23.880 --> 00:09:29.240]  他自己一個人擔當在加密山上面一切的重擔
[00:09:29.240 --> 00:09:32.280]  他現在身體虛耗沒有力
[00:09:32.280 --> 00:09:34.440]  所以這句話本來沒有什麼力量
[00:09:34.440 --> 00:09:36.920]  就好像稻草好像羽毛一樣
[00:09:36.920 --> 00:09:39.000]  但是壓在他的肩頭
[00:09:39.000 --> 00:09:41.000]  就是英文講叫做
[00:09:41.000 --> 00:09:45.400]  The last straw that breaks the camel's back
[00:09:45.400 --> 00:09:51.640]  就是最後一根稻草壓在駱駝的背上
[00:09:51.640 --> 00:09:54.120]  他已經有很多的擔子了
[00:09:54.120 --> 00:09:56.520]  最後這一根稻草壓下去
[00:09:56.520 --> 00:10:03.560]  整隻駱駝就垮掉了
[00:10:03.560 --> 00:10:09.000]  以利亞見這光景
[00:10:09.000 --> 00:10:12.200]  見這光景這個字
[00:10:12.200 --> 00:10:16.680]  其實在其他四個大譯本
[00:10:16.680 --> 00:10:21.560]  都是講到以利亞海拔
[00:10:21.560 --> 00:10:24.920]  新譯本 呂振中譯本
[00:10:24.920 --> 00:10:29.240]  NIV NASB都講他害怕
[00:10:29.240 --> 00:10:32.840]  所以以利亞害怕就起來逃命
[00:10:32.840 --> 00:10:35.640]  如果我們看這段經文的時候
[00:10:35.640 --> 00:10:40.760]  我們就看見以利亞他不堪一擊
[00:10:40.760 --> 00:10:45.640]  這個心靈當他完全放鬆的時候
[00:10:45.640 --> 00:10:50.120]  當他面對這個大戰過後
[00:10:50.120 --> 00:10:53.560]  而那種承擔力量到一個地步
[00:10:53.560 --> 00:10:55.320]  他已經付出全部
[00:10:55.320 --> 00:10:58.600]  他已經虛耗所有的力量
[00:10:58.600 --> 00:11:03.960]  沒辦法抵擋不住
[00:11:03.960 --> 00:11:08.040]  我的女兒她在美國
[00:11:08.040 --> 00:11:13.400]  在InterVarsity在校園做校園士工
[00:11:13.400 --> 00:11:15.480]  她讀完大學之後她去讀神學
[00:11:15.480 --> 00:11:19.160]  然後在校園士工裡面負責
[00:11:19.160 --> 00:11:24.120]  她生第一個兒子的時候是十年前
[00:11:24.120 --> 00:11:26.840]  她有產後抑鬱
[00:11:26.840 --> 00:11:31.480]  我們跟她說 你不要再生了
[00:11:31.480 --> 00:11:34.440]  產後抑鬱一段時間她好起來了
[00:11:34.440 --> 00:11:36.360]  我說你不要再生了
[00:11:36.360 --> 00:11:40.280]  太令人心驚了
[00:11:40.280 --> 00:11:43.400]  我們在旁邊都替她驚
[00:11:43.400 --> 00:11:46.920]  所以賴斯姆就飛過去看她兩次
[00:11:46.920 --> 00:11:49.480]  一直陪著她
[00:11:49.480 --> 00:11:54.280]  她看見這個大兒子一個人單獨在那裡
[00:11:54.280 --> 00:11:55.880]  自己一個很孤單
[00:11:55.880 --> 00:11:57.480]  所以後來想著想著
[00:11:57.480 --> 00:11:59.480]  又跟先生商量
[00:11:59.480 --> 00:12:01.880]  過了幾年她又想生
[00:12:01.880 --> 00:12:03.880]  然後懷孕
[00:12:03.880 --> 00:12:05.640]  當她懷第二個的時候
[00:12:05.640 --> 00:12:08.920]  我們真的很害怕
[00:12:08.920 --> 00:12:13.080]  然後賴斯姆已經按好她的預產期
[00:12:13.080 --> 00:12:19.000]  就預了時間去跟她坐月
[00:12:19.000 --> 00:12:22.760]  坐完回來
[00:12:22.760 --> 00:12:24.440]  沒事了
[00:12:24.440 --> 00:12:26.200]  我們感謝主
[00:12:26.200 --> 00:12:28.200]  我們心裡面都放鬆
[00:12:28.200 --> 00:12:31.800]  誰知道回來了兩天或三天
[00:12:31.800 --> 00:12:33.800]  我們收到她的電話
