
[00:00:00.000 --> 00:00:06.620]  今天我們進入啟示的第二章
[00:00:06.620 --> 00:00:10.500]  是主耶穌向七個教會的信
[00:00:10.500 --> 00:00:13.620]  本來我在準備的時候
[00:00:13.620 --> 00:00:18.820]  就想可不可以今晚一堂全查七個教會呢?
[00:00:18.820 --> 00:00:22.540]  一堂就查第二和第三章呢?
[00:00:22.540 --> 00:00:26.520]  我想如果我們七個教會
[00:00:26.520 --> 00:00:29.480]  每個教會我們花八分鐘的時間
[00:00:29.480 --> 00:00:33.480]  拍七五十六,這樣就剛剛好
[00:00:33.480 --> 00:00:38.260]  我以前在電台講理財分半鐘
[00:00:38.260 --> 00:00:40.460]  九十秒分半鐘
[00:00:40.460 --> 00:00:43.560]  如果寫出來的話就是三百五十個字
[00:00:43.560 --> 00:00:45.160]  所以我計一計
[00:00:45.160 --> 00:00:49.920]  如果是八分鐘就可以講一千八百六十六個字
[00:00:49.920 --> 00:00:55.460]  一千八百六十六個字可不可以全講呢?
[00:00:55.460 --> 00:00:57.160]  如果我們能夠全講的話
[00:00:57.160 --> 00:01:00.360]  我們下一次就可以進入第四章了
[00:01:00.360 --> 00:01:10.240]  但是我想這次耶穌基督向教會講話是很重要的
[00:01:10.240 --> 00:01:13.480]  我們每一封信都要細心地讀
[00:01:13.480 --> 00:01:17.720]  不應該是隨便按按背
[00:01:17.720 --> 00:01:20.760]  因為這些信是對教會的讚賞
[00:01:20.760 --> 00:01:22.760]  對教會的責備
[00:01:22.760 --> 00:01:25.160]  對教會的勸勉
[00:01:25.160 --> 00:01:27.640]  警告和應許
[00:01:27.640 --> 00:01:30.440]  我們不應該急於完成
[00:01:30.440 --> 00:01:33.960]  也不應該小看這七封信
[00:01:33.960 --> 00:01:39.040]  是由主耶穌直接透過約翰給教會的
[00:01:39.040 --> 00:01:43.720]  所以我們應該逐一思想
[00:01:43.720 --> 00:01:48.640]  不要隨便就算數
[00:01:48.640 --> 00:01:51.320]  最近我為一個教會講道
[00:01:51.320 --> 00:01:56.440]  我知道教會的牧師正在講啟示錄
[00:01:56.440 --> 00:01:58.440]  很奇怪的是
[00:01:58.440 --> 00:02:01.400]  他是由第四章開始講
[00:02:01.400 --> 00:02:03.720]  前面的三章是不講的
[00:02:03.720 --> 00:02:07.320]  我問這位牧師是甚麼原因呢?
[00:02:07.320 --> 00:02:11.400]  他說怕弟兄姊妹沒有興趣聽
[00:02:11.400 --> 00:02:15.520]  因為弟兄姊妹想聽末世的現象
[00:02:15.520 --> 00:02:19.960]  不想聽前面的跟末世無關的事
[00:02:19.960 --> 00:02:24.800]  所以他唯有跳過不講
[00:02:24.800 --> 00:02:31.480]  但是主耶穌是先跟教會講完這番話
[00:02:31.480 --> 00:02:37.160]  然後才開始讓約翰看到末世的現象
[00:02:37.160 --> 00:02:40.320]  這個裏面一定有原因
[00:02:40.320 --> 00:02:45.160]  假如我們沒有跟主先建立一個健康
[00:02:45.160 --> 00:02:47.160]  親密的關係
[00:02:47.160 --> 00:02:49.760]  我們先跟祂相親相愛
[00:02:49.760 --> 00:02:53.680]  不會期望祂早一點來到
[00:02:53.680 --> 00:02:56.840]  我們聽後面的意象時
[00:02:56.840 --> 00:02:59.480]  不過是滿足好奇心
[00:02:59.480 --> 00:03:05.680]  而不是真的熱切地預備自己迎見主
[00:03:05.680 --> 00:03:08.680]  變成是頭腦上的知識
[00:03:08.680 --> 00:03:11.040]  對我們是不會有很大幫助的
[00:03:11.040 --> 00:03:13.360]  所以我希望我們弟兄姊妹
[00:03:13.360 --> 00:03:15.160]  在查考啟示錄時
[00:03:15.160 --> 00:03:16.920]  我們懷著的心態
[00:03:16.920 --> 00:03:21.120]  就好像約翰在第22章對主講的
[00:03:21.120 --> 00:03:26.680]  主耶穌說:我願你來
[00:03:26.680 --> 00:03:33.040]  講這句話不單是很熱切地期望主快點回來
[00:03:33.040 --> 00:03:37.760]  也同時間要預備我們自己是主耶穌回來的
[00:03:37.760 --> 00:03:41.480]  就好像彼得這樣提醒我們
[00:03:41.480 --> 00:03:43.680]  他說:親愛的弟兄
[00:03:43.680 --> 00:03:46.120]  你們既盼望這些時
[00:03:46.120 --> 00:03:50.320]  就當因及使自己沒有煎烏
[00:03:50.320 --> 00:03:51.880]  無可指責
[00:03:51.880 --> 00:03:53.240]  安然見主
[00:03:53.240 --> 00:03:57.440]  這是彼得後書三章十四節的
[00:03:57.440 --> 00:03:59.400]  所以我今晚的講言雖然是
[00:03:59.400 --> 00:04:02.120]  覆蓋第二章和第三章
[00:04:02.120 --> 00:04:05.720]  但是我相信今晚我們只能夠講到第二章
[00:04:05.720 --> 00:04:09.240]  即是講到開頭那四間的教會
[00:04:09.240 --> 00:04:12.480]  下一次我們再講那三間的教會
[00:04:12.480 --> 00:04:16.320]  但我亦會準備第四章的講義給大家
[00:04:16.320 --> 00:04:20.000]  下一次如果我們看完那三個教會還有時間
[00:04:20.000 --> 00:04:23.560]  我們可以開始看第四章
[00:04:23.560 --> 00:04:28.360]  這七個教會我將耶穌所說的話
[00:04:28.360 --> 00:04:32.120]  是徹底地錄製在這裏
[00:04:32.120 --> 00:04:35.320]  很奇怪的是這七個教會
[00:04:35.320 --> 00:04:37.720]  上一次我們看的地圖
[00:04:37.720 --> 00:04:41.320]  這七個教會在土耳其的西部
[00:04:41.320 --> 00:04:43.680]  由以弗所開始
[00:04:43.680 --> 00:04:46.160]  是一個圓圈地下去的
[00:04:46.160 --> 00:04:48.160]  這七個教會
