
[00:00:00.000 --> 00:00:08.000]  剛剛過年沒多久,大家都很想追求福氣
[00:00:08.000 --> 00:00:12.000]  有一次有個弟兄問我一個問題
[00:00:12.000 --> 00:00:18.000]  生活平順無災病無痛苦是不是神的賜福呢?
[00:00:18.000 --> 00:00:21.000]  頂著你玩呢?是不是?
[00:00:21.000 --> 00:00:23.000]  是,是
[00:00:23.000 --> 00:00:27.000]  本來想衝口而出就回答他,是
[00:00:27.000 --> 00:00:35.000]  但我看著這個弟兄教會執事,教主又學了很多年
[00:00:35.000 --> 00:00:38.000]  這麼簡單的問題為何要問我呢?
[00:00:38.000 --> 00:00:41.000]  一定是有QK
[00:00:41.000 --> 00:00:45.000]  我就想到底是不是呢?
[00:00:45.000 --> 00:00:48.000]  想了一會就回答他
[00:00:48.000 --> 00:00:52.000]  我說應該是,不過不一定
[00:00:52.000 --> 00:00:57.000]  加了不一定是因為我想到一個情況
[00:00:57.000 --> 00:01:00.000]  這個情況是甚麼呢?我一會跟大家說
[00:01:00.000 --> 00:01:03.000]  下回分解
[00:01:03.000 --> 00:01:09.000]  其實逃避困難、逃避苦難是我們每個人人性
[00:01:09.000 --> 00:01:12.000]  我們生下來就不想痛苦的
[00:01:12.000 --> 00:01:15.000]  我們不想有災難
[00:01:15.000 --> 00:01:19.000]  有沒有哪一位到現在你會說
[00:01:19.000 --> 00:01:23.000]  苦不要緊,苦難你儘管來吧
[00:01:23.000 --> 00:01:26.000]  我正在預備你來
[00:01:26.000 --> 00:01:28.000]  我想沒有哪一位
[00:01:28.000 --> 00:01:33.000]  除非有一個很特別屬天屬靈的使命
[00:01:33.000 --> 00:01:38.000]  頂姐妹同樣類似一個問題
[00:01:38.000 --> 00:01:42.000]  當我們照神的話語生活和侍奉
[00:01:42.000 --> 00:01:46.000]  我們很期盼我們照神的話語生活侍奉
[00:01:46.000 --> 00:01:49.000]  是神會與我們同在
[00:01:49.000 --> 00:01:52.000]  我們的環境會順暢
[00:01:52.000 --> 00:01:57.000]  我們會平步青雲,花香常蔓走前面的道路
[00:01:57.000 --> 00:02:03.000]  但是當我們遵神的心意來神事侍奉的時候
[00:02:03.000 --> 00:02:06.000]  我們反而看不見神的同在
[00:02:06.000 --> 00:02:10.000]  我們反而會看見更大的困難在我們前面的時候
[00:02:10.000 --> 00:02:13.000]  你會怎樣?
