
[00:00:00.000 --> 00:00:03.000]  我好開心今日再有機會和大家一起敬拜
[00:00:03.000 --> 00:00:10.000]  亦都再見到很多平時沒有機會見到的弟兄姊妹
[00:00:10.000 --> 00:00:14.000]  但是無論在哪個地方 我們都是一個目的
[00:00:14.000 --> 00:00:19.000]  就是同心去稱讚、讚美、敬畏這位請救我們的主
[00:00:19.000 --> 00:00:22.000]  所以這個時候我請大家和我在一起
[00:00:22.000 --> 00:00:25.000]  我們再祈禱 我們都很想這段時間透過聖經
[00:00:25.000 --> 00:00:27.000]  我們再向神表達我們敬拜
[00:00:27.000 --> 00:00:33.000]  親愛的主我們感謝祢 滿有能力、滿有憐憫的上帝
[00:00:33.000 --> 00:00:36.000]  我們今天能夠坦然到祢的面前
[00:00:36.000 --> 00:00:41.000]  是因為祢自己奇妙的、滿有憐憫的請救
[00:00:41.000 --> 00:00:46.000]  主啊 我們本來是活在沒有盼望和活在死亡的路上
[00:00:46.000 --> 00:00:50.000]  但是主啊 今天祢自己透過耶穌基督的救贖
[00:00:50.000 --> 00:00:52.000]  祢給我們有新生命
[00:00:52.000 --> 00:00:55.000]  如今我們一切都去讚美祢
[00:00:55.000 --> 00:00:59.000]  亦都向祢獻上我們心中深深的感情
[00:00:59.000 --> 00:01:02.000]  天父啊 保守我們不單止在崇拜的時候
[00:01:02.000 --> 00:01:06.000]  讓我們每一天我們日常的生活、行為
[00:01:06.000 --> 00:01:11.000]  都成為對祢一首的頌歌 都成為對祢的敬拜
[00:01:11.000 --> 00:01:14.000]  讓我們每一天可以和祢同行
[00:01:14.000 --> 00:01:18.000]  繼續的承受、領受 要被我們豐富的
[00:01:18.000 --> 00:01:21.000]  生命 如今我們一切來到大開聖經
[00:01:21.000 --> 00:01:25.000]  主啊 我們知道祢的說話是靈、是生命
[00:01:25.000 --> 00:01:27.000]  所以主啊 賜下祢的恩賢
[00:01:27.000 --> 00:01:29.000]  讓我們領受生命的飽足
[00:01:29.000 --> 00:01:32.000]  亦都知道我們當怎麼來跟隨祢
[00:01:32.000 --> 00:01:36.000]  求祢施恩 藉著祢自己的聖靈指教我們
[00:01:36.000 --> 00:01:40.000]  明白、又聽從祢自己的說話
[00:01:40.000 --> 00:01:44.000]  我們仰望、祈禱 奉耶穌基督 盛名祈求
[00:01:44.000 --> 00:01:46.000]  阿們
[00:01:46.000 --> 00:01:51.000]  剛才主席提醒我們 今天我們繼續看提多書
[00:01:51.000 --> 00:01:56.000]  大家會記得在過去我們看提多書的時候
[00:01:56.000 --> 00:02:00.000]  第一章我們提及到教會的屬靈的領袖
[00:02:00.000 --> 00:02:05.000]  應該有什麼資格 和他們的生命見證是怎麼樣
[00:02:05.000 --> 00:02:11.000]  第二章提到屬神的人 我們的生命的品格應該怎樣
