
[00:00:00.000 --> 00:00:07.000]  聽姐妹平安,我們就一次祈禱。
[00:00:07.000 --> 00:00:15.000]  耶和華我的盤石,我的救贖主,如我口中的言語,心中的意念,在你面前永遠立,
[00:00:15.000 --> 00:00:33.000]  奉主耶穌基督的聖名,阿們。
[00:00:33.000 --> 00:00:46.000]  在彼得後書的末世審判書信,開始的時候充滿著很多的安慰和鼓勵,願因慰平安,
[00:00:46.000 --> 00:00:53.000]  因著你們認識神和我們的救主耶穌基督,多多地加給你。
[00:00:53.000 --> 00:01:04.000]  神的神能已經將一切關乎生命和虔敬的事賜給我們,他將一個又寶貴又極大的應許賜給我們,
[00:01:04.000 --> 00:01:15.000]  叫我們與神的聖情有份,然後就鼓勵我們有了信心,又加上得幸,加上,加上,加上,加上。
[00:01:15.000 --> 00:01:25.000]  你們充充足足有這幾樣,就必在認識我們主耶穌基督的事實上,不至於懶惰,不結果,
[00:01:25.000 --> 00:01:32.000]  真是很有勉勵的,是很好的訊息,是不是?
[00:01:32.000 --> 00:01:42.000]  就是彼得對教會所說的話,總是要叫他們得到好處,堅固,堅定不移。
[00:01:42.000 --> 00:01:49.000]  當然你也記得他所說的這些話,也像是他臨別的贈言,
[00:01:49.000 --> 00:01:53.000]  「我快要走了,我告訴你。」
[00:01:53.000 --> 00:01:59.000]  那麼去到第二章,就是說這個相當嚴肅的話,
[00:01:59.000 --> 00:02:05.000]  「在你們當中,將來會有一些假教師出來。」
[00:02:05.000 --> 00:02:13.000]  今天我跟大家分享的都是三大點,第一點就是假教師是什麼來的,
[00:02:13.000 --> 00:02:19.000]  第二點就是審判是一定會來的,審判的意義,
[00:02:19.000 --> 00:02:27.000]  第三點就是勉勵異人怎樣繼續有信心,有盼望的生活。
[00:02:27.000 --> 00:02:33.000]  那麼說到第一點的時候,我們不忘記彼得是告訴他們,
[00:02:33.000 --> 00:02:38.000]  在古代有這樣的事,在將來你們中間也會有這樣的事,
[00:02:38.000 --> 00:02:45.000]  就是在你們中間有一些危害人的假教師出來。
[00:02:45.000 --> 00:02:51.000]  那麼在這裡我就想提醒我們親愛的弟兄姊妹,
[00:02:51.000 --> 00:02:56.000]  原來在屬神的群體裡面,不是一定安全的。
[00:02:56.000 --> 00:03:00.000]  有些人以為你去教會OK就很安全,
[00:03:00.000 --> 00:03:06.000]  有些人甚至說你去教會就一定是平安無事,一定是好人。
[00:03:06.000 --> 00:03:13.000]  其實我想告訴你,去教會或者在任何地方,我們都需要大眼識人,
[00:03:13.000 --> 00:03:19.000]  因為就算得救的人,就算得高望重的人,都只不過是人,
[00:03:19.000 --> 00:03:25.000]  都仍然是血肉之軀,而我們不要隨便相信人,
[00:03:25.000 --> 00:03:29.000]  不要放下警覺性。
[00:03:29.000 --> 00:03:35.000]  有些人很浪漫的,覺得我進來這裡,
[00:03:35.000 --> 00:03:39.000]  當然什麼都信得過,什麼都好。
[00:03:39.000 --> 00:03:44.000]  但是我們還有這麼多小組裡面難道沒有問題嗎?
[00:03:44.000 --> 00:03:48.000]  小組裡面難道沒有人是古靈精怪嗎?
[00:03:48.000 --> 00:03:52.000]  小組裡面難道沒有人是意圖不軌嗎?
