
[00:00:00.000 --> 00:00:02.000]  (字幕: 阿彌陀佛)
[00:00:02.000 --> 00:00:05.000]  喂 弟兄姊妹平安
[00:00:05.000 --> 00:00:10.000]  原本今天不是說拉闊愛情2
[00:00:10.000 --> 00:00:12.000]  上一次說完拉闊愛情
[00:00:12.000 --> 00:00:14.000]  不同弟兄姊妹都說
[00:00:14.000 --> 00:00:18.000]  呃 呂全道 你不說下半部嗎?
[00:00:18.000 --> 00:00:21.000]  下半部的意思是上次我們說到
[00:00:21.000 --> 00:00:26.000]  就是路德和南華米準備要回鄉了
[00:00:26.000 --> 00:00:30.000]  南華回到鄉下還有另一段愛情故事
[00:00:30.000 --> 00:00:34.000]  所以今天就和大家一起分享
[00:00:34.000 --> 00:00:36.000]  究竟接下來會發生什麼事
[00:00:36.000 --> 00:00:40.000]  上一次我們說到真正愛情的時候
[00:00:40.000 --> 00:00:46.000]  會包含著等待 接納 承諾
[00:00:46.000 --> 00:00:50.000]  今天當你看波亞斯和路德的愛情故事的時候
[00:00:50.000 --> 00:00:56.000]  你會看到另一個很重要的一點可以加到這三點之上
[00:00:56.000 --> 00:01:00.000]  但因為我們知道有些未信耶穌的朋友
[00:01:00.000 --> 00:01:03.000]  他們從來未看過路德記
[00:01:03.000 --> 00:01:07.000]  我都說了一些背景 因為有些上次都沒有回來
[00:01:07.000 --> 00:01:10.000]  我們說是由一個悲劇開始
[00:01:10.000 --> 00:01:16.000]  就是南華米本來因為在故鄉鄉下有饑荒
[00:01:16.000 --> 00:01:19.000]  所以他們要去摩亞地這個地方
[00:01:19.000 --> 00:01:21.000]  當去到摩亞地的時候
[00:01:21.000 --> 00:01:25.000]  南華米的丈夫就死了
[00:01:25.000 --> 00:01:29.000]  當丈夫死了之後屋漏兼逢連夜雨
[00:01:29.000 --> 00:01:33.000]  他兩個兒子都相繼離世
[00:01:33.000 --> 00:01:36.000]  所以剩下三個寡婦
[00:01:36.000 --> 00:01:41.000]  在猶太人來說寡婦完全是無依無靠
