
[00:00:00.000 --> 00:00:05.320]  很高興這個週末在San Diego
[00:00:05.320 --> 00:00:07.320]  天氣這麼好
[00:00:07.320 --> 00:00:10.120]  這麼友善的弟兄姊妹
[00:00:10.120 --> 00:00:12.120]  我也不想走了
[00:00:12.120 --> 00:00:14.120]  不過今天下午要走了
[00:00:14.120 --> 00:00:16.120]  上一次在這裡是十年
[00:00:16.120 --> 00:00:18.120]  希望不用等十年
[00:00:18.120 --> 00:00:20.120]  可以再回來和弟兄姊妹分享
[00:00:20.120 --> 00:00:27.120]  今早我們要看聖經裏面一個比喻
[00:00:27.120 --> 00:00:33.120]  耶穌基督在世界上說了接近40個比喻
[00:00:33.120 --> 00:00:35.120]  如果我們要數的話
[00:00:35.120 --> 00:00:38.120]  可能會數到37個比喻
[00:00:38.120 --> 00:00:41.120]  比喻是什麼呢
[00:00:41.120 --> 00:00:43.120]  比喻是一些故事
[00:00:43.120 --> 00:00:45.120]  我們可以說是虛構
[00:00:45.120 --> 00:00:50.120]  但這些故事帶出一些很重要的教導
[00:00:50.120 --> 00:00:53.120]  耶穌基督在世界上的時候
[00:00:53.120 --> 00:00:58.120]  很喜歡用一些故事帶出一些真理
[00:00:58.120 --> 00:01:03.120]  今天我們要看的比喻是比較特別的比喻
[00:01:03.120 --> 00:01:05.120]  叫做不義的管家
[00:01:05.120 --> 00:01:07.120]  因為在這個比喻裏面
[00:01:07.120 --> 00:01:11.120]  耶穌基督是用這五個字來形容
[00:01:11.120 --> 00:01:14.120]  這個比喻裏面的主人翁
[00:01:14.120 --> 00:01:16.120]  我們先來看一看
[00:01:16.120 --> 00:01:18.120]  我們先讀一次
[00:01:18.120 --> 00:01:20.120]  我讀給大家聽
[00:01:20.120 --> 00:01:22.120]  在福音第十六章
[00:01:22.120 --> 00:01:25.120]  耶穌對他的門徒說
[00:01:25.120 --> 00:01:28.120]  有一個財主的管家
[00:01:28.120 --> 00:01:30.120]  管家就是代表那個財主
[00:01:30.120 --> 00:01:32.120]  財主不在的時候
[00:01:32.120 --> 00:01:34.120]  主人不在的時候
