
[00:00:00.000 --> 00:00:16.000]  從受苦節到復活節 通常我們對中間星期六是完全不會提的
[00:00:16.000 --> 00:00:28.000]  好像受苦節完了就馬上復活節 中間其實是甚麼來的
[00:00:28.000 --> 00:00:44.000]  教會的傳統是有說的 教會的傳統稱今天是Holy Saturday 有沒有聽過 很少聽過
[00:00:44.000 --> 00:00:52.000]  華人教會只認得受苦節 只記得復活節 中間那天就買菜煮飯
[00:00:52.000 --> 00:01:00.000]  搞定世俗的所有事情 明天早上復活節清神崇拜 記得不要遲到
[00:01:00.000 --> 00:01:09.000]  其實今天在2000年教會的傳統的年曆
[00:01:09.000 --> 00:01:28.000]  教會的傳統是Holy Saturday 神聖的星期六 或者稱為Holy Sabbath 星期六是猶太人的安息日
[00:01:28.000 --> 00:01:39.000]  所以是神聖的安息日 Sabbatum Santum拉丁文稱神聖的安息日
[00:01:39.000 --> 00:01:45.000]  所以這是教會的名稱 不是猶太會堂的名稱
[00:01:45.000 --> 00:01:52.000]  猶太會堂不會用拉丁文來講神聖的安息日 這個是外邦人用的字眼
[00:01:52.000 --> 00:02:02.000]  中國北京不會用英文來講一些日子 National Day是香港人才會講的 還加上英國旗
[00:02:02.000 --> 00:02:09.000]  西方的教會 西方的意思就是拉丁教會
[00:02:09.000 --> 00:02:16.000]  今天我們多數接觸的是西方教會的歷史傳統
[00:02:16.000 --> 00:02:27.000]  除了Holy Saturday之外 也稱為Black Saturday 黑色星期六
[00:02:27.000 --> 00:02:34.000]  所以我們只會說黑色星期五 再加上13號 比蜜豆更黑
[00:02:34.000 --> 00:02:41.000]  為什麼叫做黑色星期六呢?原因很清楚
[00:02:41.000 --> 00:02:55.000]  今天其實是復活節之前 教會稱為Lent 或者稱為大齋期 或者稱為御苦期
[00:02:55.000 --> 00:03:02.000]  即是預備耶穌基督的復活40天 由星期三開始的
[00:03:02.000 --> 00:03:06.000]  Ash Wednesday可能你聽過 聖灰日
[00:03:06.000 --> 00:03:11.000]  46天嚴格來說是因為星期日不計算在內
[00:03:11.000 --> 00:03:20.000]  Lent你聽過翻譯為大齋 你知道是教會禁食40天的初年
[00:03:20.000 --> 00:03:27.000]  星期日不禁食的 星期日要愛言 要讚美 要唱詩 要有力才行
[00:03:27.000 --> 00:03:35.000]  我試過有一次星期六上午9點鐘要講半小時 沒吃早餐 很痛苦的
[00:03:35.000 --> 00:03:42.000]  所以星期日不可以禁食 46天的Lent 今天結束的
[00:03:42.000 --> 00:03:52.000]  這一天教會是紀念耶穌基督在墳墓裏面
[00:03:52.000 --> 00:04:01.000]  其實從星期四晚開始 星期四晚教會有什麼崇拜呢?
[00:04:01.000 --> 00:04:07.000]  可能你聰明的說 洗腳 它叫做Monday Thursday
[00:04:07.000 --> 00:04:12.000]  這是我們很陌生的說法 Monday這個字是古老的英文
[00:04:12.000 --> 00:04:18.000]  其實學者都不百分之百肯定這個字的來源
[00:04:18.000 --> 00:04:24.000]  不過目前最普遍的認定就是它又是來自拉丁文
[00:04:24.000 --> 00:04:31.000]  拉丁文這個字就是耶穌在洪門徒洗腳的時候
[00:04:31.000 --> 00:04:38.000]  祂說我吩咐你們一條新命令 記不記得 約翰福音13章
[00:04:38.000 --> 00:04:44.000]  命令這個字拉丁文和Monday這個字是同一個字根
[00:04:44.000 --> 00:04:51.000]  所以星期四晚有華人教會翻譯成設立聖餐的崇拜
[00:04:51.000 --> 00:04:57.000]  其實嚴格來說應該是說新命令
[00:04:57.000 --> 00:05:03.000]  Monday 新命令 上帝的兒子耶穌基督吩咐跟從他的門徒
[00:05:03.000 --> 00:05:06.000]  有一條新的命令 就是彼此相愛
[00:05:06.000 --> 00:05:11.000]  就有星期四晚的崇拜 崇禎會有沒有這樣的傳統呢?
[00:05:11.000 --> 00:05:15.000]  沒有的 我猜你們都沒有的 因為看到你們台上是紅色的
[00:05:15.000 --> 00:05:20.000]  我參加過一次在香港聖公會 我不說是哪一間教會了
[00:05:20.000 --> 00:05:29.000]  星期四晚有Monday Thursday的聖餐崇拜
[00:05:29.000 --> 00:05:33.000]  到了最後的時候 星期四晚崇拜結束
[00:05:33.000 --> 00:05:37.000]  就不是祝福唱詩散會的
[00:05:37.000 --> 00:05:43.000]  就是首先大家安靜 肅立
[00:05:43.000 --> 00:05:50.000]  然後負責 不是每個人都能上來的
[00:05:50.000 --> 00:06:00.000]  要有指定的人上來 就將台上所有的顏色都拿走
[00:06:00.000 --> 00:06:03.000]  看到要拿走什麼嗎?
[00:06:03.000 --> 00:06:08.000]  這個不應該在這裡的
[00:06:08.000 --> 00:06:12.000]  因為它是紅色和金色
[00:06:12.000 --> 00:06:18.000]  有些教會不止拿走一切的裝飾和顏色
[00:06:18.000 --> 00:06:25.000]  並且會用黑色的布 蓋著聖餐的桌面
[00:06:25.000 --> 00:06:29.000]  蓋著港台 你說牧師站在這裡就蓋著他
[00:06:29.000 --> 00:06:35.000]  蓋著台而已 Black Saturday 星期四晚開始的
[00:06:35.000 --> 00:06:42.000]  那次我很深印象的不止是他們蓋著台上的竹台也好
[00:06:42.000 --> 00:06:47.000]  十字架也好 聖餐台也好 港台也好
[00:06:47.000 --> 00:06:52.000]  最後有人出來就讀
[00:06:52.000 --> 00:06:57.000]  你知道讀哪一章的詩篇嗎?不知道嗎?
[00:06:57.000 --> 00:07:01.000]  是啊 猜也猜到了
[00:07:01.000 --> 00:07:06.000]  我們今天下午說了很多詩篇 22篇
[00:07:06.000 --> 00:07:10.000]  整篇都讀了 讀得很慢的
[00:07:10.000 --> 00:07:16.000]  讀的時候 逐盞燈關掉
[00:07:16.000 --> 00:07:20.000]  試試看 很震撼的
[00:07:20.000 --> 00:07:28.000]  最後讀完的時候 台上全是蓋著黑布
[00:07:28.000 --> 00:07:33.000]  整個聖堂燈都關掉了 因為是晚上
[00:07:33.000 --> 00:07:40.000]  然後弟兄姊妹不打招呼 不說話
[00:07:40.000 --> 00:07:46.000]  不握手道別 就在靜默當中散會
[00:07:46.000 --> 00:07:53.000]  這是星期四晚開始 耶穌基督去赫西瑪尼祈禱
[00:07:53.000 --> 00:07:57.000]  然後被捉拿 跟著星期五釘十字架
[00:07:57.000 --> 00:08:03.000]  所以Black Saturday 星期六 黑色是從星期四晚就開始的
[00:08:03.000 --> 00:08:08.000]  在這幾天裡面 星期四晚 星期五到星期六
[00:08:08.000 --> 00:08:12.000]  西方的教會是不會舉行崇拜的
[00:08:12.000 --> 00:08:18.000]  天主教會叫彌撒 Mass 其實就是紀念耶穌基督
[00:08:18.000 --> 00:08:23.000]  沒有聖餐的 只是容許三個聖禮
[00:08:23.000 --> 00:08:28.000]  水禮、懺悔和臨終、沒尤
[00:08:28.000 --> 00:08:30.000]  因為這些是緊急的
[00:08:30.000 --> 00:08:35.000]  我們不能夠禁止有人會在星期四晚半夜離開世界
[00:08:35.000 --> 00:08:41.000]  我們不能夠禁止有人在星期五需要有牧師為他祈禱、沒尤
[00:08:41.000 --> 00:08:46.000]  有人悔改 跟著就離開世界 要為他主持水禮
[00:08:46.000 --> 00:08:48.000]  所以這些是必須要做的
[00:08:48.000 --> 00:08:53.000]  臨終之前他要懺悔 或者天主教會要告解
[00:08:53.000 --> 00:08:55.000]  這些是教會會做的
[00:08:55.000 --> 00:08:58.000]  除此之外 教會是不會舉行聖餐
[00:08:58.000 --> 00:09:01.000]  在這段日子 這幾天當中
[00:09:01.000 --> 00:09:06.000]  是紀念耶穌基督在墳墓裡 直到幾點鐘呢?
[00:09:06.000 --> 00:09:13.000]  過了 你知道猶太人每一天是晚上六點鐘日落開始計算的
[00:09:13.000 --> 00:09:14.000]  為什麼這樣說呢?
[00:09:14.000 --> 00:09:17.000]  你會背的 創世紀第一章說上帝創造天地
[00:09:17.000 --> 00:09:19.000]  第一天是怎麼計算的呢?
[00:09:19.000 --> 00:09:22.000]  有晚上 然後有早晨
[00:09:22.000 --> 00:09:24.000]  所以是由晚上開始計算的
[00:09:24.000 --> 00:09:26.000]  猶太拉比說得好
[00:09:26.000 --> 00:09:29.000]  這個天地的開始不是等你起床的
[00:09:29.000 --> 00:09:34.000]  是你在睡覺的時候 上帝已經做了很多事
[00:09:34.000 --> 00:09:37.000]  你起床發現 原來上帝已經做了很多事
[00:09:37.000 --> 00:09:39.000]  這個就是上帝所創造的天地
[00:09:39.000 --> 00:09:43.000]  所以晚上星期六六點鐘開始
[00:09:43.000 --> 00:09:48.000]  復活節正式開始
[00:09:48.000 --> 00:09:49.000]  不是明天的
[00:09:49.000 --> 00:09:55.000]  所以我們的觀念還是用半夜十二點 早上天空光
[00:09:55.000 --> 00:10:00.000]  其實是用猶太人晚上開始
[00:10:00.000 --> 00:10:05.000]  星期六安息日結束在兩個小時前
[00:10:05.000 --> 00:10:11.000]  六點正開始復活節的節期
[00:10:11.000 --> 00:10:14.000]  這個是西方教會的傳統
[00:10:14.000 --> 00:10:16.000]  東方教會呢?
[00:10:16.000 --> 00:10:20.000]  不是說中國教會 還沒有很久
[00:10:20.000 --> 00:10:24.000]  東方教會是說東正教會
[00:10:24.000 --> 00:10:27.000]  公元第七世紀的時候
[00:10:27.000 --> 00:10:30.000]  教會第一次分開
[00:10:30.000 --> 00:10:32.000]  東西方教會
[00:10:32.000 --> 00:10:36.000]  西方教會就拿了大公這個字
[00:10:36.000 --> 00:10:39.000]  Catholic Church 中文譯為天主教
[00:10:39.000 --> 00:10:41.000]  其實你今天去中環 你看一看
[00:10:41.000 --> 00:10:43.000]  公教進行社
[00:10:43.000 --> 00:10:45.000]  那個Catholic的字
[00:10:45.000 --> 00:10:48.000]  是第七世紀西方教會拿了
[00:10:48.000 --> 00:10:51.000]  東方教會呢? 當時是希臘的教會
[00:10:51.000 --> 00:10:54.000]  他們就拿了Orthodox的字
[00:10:54.000 --> 00:10:57.000]  於是稱為東正教會
[00:10:57.000 --> 00:11:01.000]  東方純正信仰的教會
[00:11:01.000 --> 00:11:03.000]  Eastern Orthodox Church
[00:11:03.000 --> 00:11:05.000]  香港也有的 你知道嗎?
[00:11:05.000 --> 00:11:07.000]  這些不是死了的教會
[00:11:07.000 --> 00:11:09.000]  不是已經在歷史上消失
[00:11:09.000 --> 00:11:16.000]  東正教會曾經最引起全世界矚目的一次
[00:11:16.000 --> 00:11:19.000]  就是當時的蘇聯
[00:11:19.000 --> 00:11:22.000]  八九年之前還沒有解體
[00:11:22.000 --> 00:11:26.000]  蘇聯是共產主義的國家
[00:11:26.000 --> 00:11:29.000]  當時和美國平分秋色
[00:11:29.000 --> 00:11:31.000]  冷戰時期
[00:11:31.000 --> 00:11:36.000]  蘇聯要慶祝布爾什維克革命
[00:11:36.000 --> 00:11:39.000]  在俄羅斯一百週年
[00:11:39.000 --> 00:11:43.000]  東正教會在俄羅斯也宣佈
[00:11:43.000 --> 00:11:49.000]  慶祝基督教傳入俄羅斯一千週年
[00:11:49.000 --> 00:11:53.000]  你懂不懂? 誰大誰小?
[00:11:53.000 --> 00:11:55.000]  你要慶祝? OK
[00:11:55.000 --> 00:11:57.000]  我們也要慶祝
[00:11:57.000 --> 00:11:59.000]  這是東方教會
[00:11:59.000 --> 00:12:03.000]  東方教會也在星期六
[00:12:03.000 --> 00:12:08.000]  在壽苦節和復活節中間的今天
[00:12:08.000 --> 00:12:13.000]  稱為Holy and Great Saturday
[00:12:13.000 --> 00:12:19.000]  不過他們的焦點就是基督的安息
[00:12:19.000 --> 00:12:25.000]  安息聖日是基督也安息了
[00:12:25.000 --> 00:12:28.000]  所以東方教會東正教會
[00:12:28.000 --> 00:12:32.000]  他們在星期六不是舉行壽苦節崇拜
[00:12:32.000 --> 00:12:34.000]  也沒有舉行復活節崇拜
[00:12:34.000 --> 00:12:38.000]  他們舉行的是一個安息禮拜
[00:12:38.000 --> 00:12:41.000]  今天我們也會參加
[00:12:41.000 --> 00:12:43.000]  你舉不舉行?
[00:12:43.000 --> 00:12:44.000]  安息禮拜
[00:12:44.000 --> 00:12:46.000]  為誰舉行安息禮拜?
[00:12:46.000 --> 00:12:50.000]  為耶穌基督舉行安葬
[00:12:50.000 --> 00:12:52.000]  安息崇拜
[00:12:52.000 --> 00:12:54.000]  但是東方教會
[00:12:54.000 --> 00:12:59.000]  不只是紀念耶穌基督的安葬
[00:12:59.000 --> 00:13:04.000]  東方教會還在星期六這個安息禮拜中
[00:13:04.000 --> 00:13:08.000]  他們慶祝一件事
[00:13:08.000 --> 00:13:10.000]  慶祝什麼事呢?
[00:13:10.000 --> 00:13:16.000]  他們慶祝基督到陰間
