
[00:00:00.000 --> 00:00:05.500]  各位夫婦區的底子母女大家好
[00:00:05.500 --> 00:00:10.140]  很高興我們今年應該是第三次和大家見面
[00:00:10.140 --> 00:00:15.100]  有一兩次應該是透過螢光幕和大家見面
[00:00:15.100 --> 00:00:19.340]  今次還是實體,我記得上次也是實體的
[00:00:19.340 --> 00:00:21.140]  和大家分享
[00:00:21.140 --> 00:00:30.100]  我和Steven一起討論到Planetary門徒的課題
[00:00:30.100 --> 00:00:35.860]  我們到今次,今次是講關於主禱文的主題
[00:00:35.860 --> 00:00:40.620]  可以和大家一起看看上帝的話語和心意是怎樣
[00:00:40.620 --> 00:00:45.180]  尤其是作主門徒的主題
[00:00:45.180 --> 00:00:50.900]  究竟我們如何去禱告和上帝有關係
[00:00:50.900 --> 00:00:53.580]  我們一起祈禱開始
[00:00:53.580 --> 00:00:59.260]  多謝天父讓我們今天下午能夠了解你的話語和心意
[00:00:59.260 --> 00:01:01.580]  求主你幫助孩子講解清楚
[00:01:01.580 --> 00:01:04.820]  也讓我們有種謙卑的心去聆聽
[00:01:04.820 --> 00:01:10.740]  並且在我們的生命中因著上帝的話語得著鼓勵和提醒
[00:01:10.740 --> 00:01:13.740]  並且對我們的心靈得著幫助
[00:01:13.740 --> 00:01:16.900]  我們的祈禱是奉耶穌基督的名求
[00:01:16.900 --> 00:01:18.060]  阿們
[00:01:18.060 --> 00:01:22.260]  一開始我想大家先了解一下
[00:01:22.260 --> 00:01:23.620]  做一個調查
[00:01:23.620 --> 00:01:27.620]  這個調查應該不是每個人都會舉手
[00:01:27.620 --> 00:01:30.780]  有沒有人是每天都會祈禱的?
[00:01:30.780 --> 00:01:33.740]  應該全世界都會祈禱
[00:01:33.740 --> 00:01:35.060]  沒有人不祈禱
[00:01:35.060 --> 00:01:36.380]  我不知道大家同不同意
[00:01:36.380 --> 00:01:39.460]  就算你那天不靈修你也會祈禱
[00:01:39.460 --> 00:01:45.660]  因為祈禱是你和上帝最基本的關係
[00:01:45.660 --> 00:01:50.540]  因為很多時候起碼一天三餐你都會祈禱
[00:01:50.540 --> 00:01:52.380]  這是最基本的
[00:01:52.380 --> 00:01:56.060]  所以我們很清楚祈禱這回事
[00:01:56.060 --> 00:02:00.060]  是每一位基督徒常做和最基本
[00:02:00.060 --> 00:02:02.940]  也會常常做的一件事
[00:02:02.940 --> 00:02:05.060]  關於祈禱的教導
[00:02:05.060 --> 00:02:06.740]  在聖經裡
[00:02:06.740 --> 00:02:09.260]  固然我們會想起《馬太福音》
[00:02:09.260 --> 00:02:12.820]  因為《馬太福音》記載了一段主禱文
[00:02:12.820 --> 00:02:15.780]  是耶穌基督的榜樣和分庫
[00:02:15.780 --> 00:02:20.260]  我們大概會看看它的榜樣是怎樣
[00:02:20.260 --> 00:02:23.540]  我今天帶了一張slide來給大家看看
[00:02:23.540 --> 00:02:26.500]  耶穌基督的情況是怎樣
[00:02:26.500 --> 00:02:29.740]  在《馬太福音》第一章有這樣的記載
[00:02:29.740 --> 00:02:35.300]  它說:耶穌治好了許多害各樣病的人
[00:02:35.300 --> 00:02:37.500]  又說出許多的鬼
[00:02:37.500 --> 00:02:39.860]  不准鬼說話
[00:02:39.860 --> 00:02:41.660]  因為鬼認識他
[00:02:41.660 --> 00:02:43.660]  你會看到這一句
[00:02:43.660 --> 00:02:46.220]  你就會發現耶穌忙不忙
[00:02:46.220 --> 00:02:47.260]  都很忙
[00:02:47.260 --> 00:02:48.540]  日理萬機
[00:02:48.540 --> 00:02:50.820]  祂很多鬼都要趕出去
[00:02:50.820 --> 00:02:52.940]  祂的工作是很忙碌的
[00:02:52.940 --> 00:02:53.740]  可以說
[00:02:53.740 --> 00:02:55.740]  如果你真的要看福音書
[00:02:55.740 --> 00:02:58.900]  耶穌基督的生活模式的話
[00:02:58.900 --> 00:03:04.020]  你就會發現耶穌是忙過全球最忙的香港人
[00:03:04.020 --> 00:03:05.180]  是很忙的
[00:03:05.180 --> 00:03:06.780]  祂有很多病要治
[00:03:06.780 --> 00:03:08.900]  很多道要講
[00:03:08.900 --> 00:03:11.460]  也有很多教訓要做
[00:03:11.460 --> 00:03:14.740]  所以我們看看次日早晨
[00:03:14.740 --> 00:03:16.660]  祂做完這些事情
[00:03:16.660 --> 00:03:20.260]  我想你看到經文的部分
[00:03:20.260 --> 00:03:22.100]  是有一個大逆轉
[00:03:22.100 --> 00:03:25.940]  就是說前一天祂很忙
[00:03:25.940 --> 00:03:27.620]  趕走了很多個鬼
[00:03:27.620 --> 00:03:31.700]  然後做一個詞彙叫做次日早晨
[00:03:31.700 --> 00:03:34.060]  而早晨是什麼時間呢?
[00:03:34.060 --> 00:03:35.820]  經文也有說
[00:03:35.820 --> 00:03:38.500]  那時間就是天未亮的時候
[00:03:38.500 --> 00:03:39.340]  大家看到
[00:03:39.340 --> 00:03:40.940]  天未亮的時候
[00:03:40.940 --> 00:03:42.540]  又是早晨
[00:03:42.540 --> 00:03:45.300]  耶穌就起床了
[00:03:45.300 --> 00:03:47.580]  我問一下大家
[00:03:47.580 --> 00:03:48.420]  哪個人
[00:03:48.420 --> 00:03:49.220]  弟兄姊妹
[00:03:49.220 --> 00:03:50.500]  是有這個習慣
[00:03:50.500 --> 00:03:52.780]  是天未亮你就起床
[00:03:52.780 --> 00:03:53.740]  我們有啊
[00:03:53.740 --> 00:03:54.860]  真的有啊
[00:03:54.860 --> 00:03:57.180]  都很像耶穌啊
[00:03:57.180 --> 00:03:58.660]  哈哈
[00:03:58.660 --> 00:03:59.900]  天未亮就做了
[00:03:59.900 --> 00:04:01.860]  但是我還是做不到的
[00:04:01.860 --> 00:04:04.260]  我是天亮了我就才起床
[00:04:04.260 --> 00:04:05.180]  我知道
[00:04:05.180 --> 00:04:05.940]  有些弟兄姊妹
[00:04:05.940 --> 00:04:07.340]  我昨天認識了一位弟兄
[00:04:07.340 --> 00:04:10.620]  他每天早上四點起床
[00:04:10.620 --> 00:04:11.900]  然後又說要做晨運
[00:04:11.900 --> 00:04:13.220]  又說要喝早茶
[00:04:13.220 --> 00:04:14.900]  然後才可以開工
[00:04:14.900 --> 00:04:16.540]  其實就是很好啊
[00:04:16.540 --> 00:04:18.620]  天未亮的時候
[00:04:18.620 --> 00:04:20.300]  耶穌就起來
[00:04:20.300 --> 00:04:21.820]  當時起來
[00:04:21.820 --> 00:04:22.540]  你就明白
[00:04:22.540 --> 00:04:24.660]  當時每個人都在睡覺
[00:04:24.660 --> 00:04:26.420]  每個人都還沒醒
[00:04:26.420 --> 00:04:29.820]  應該是一個沒有人群的時間
[00:04:29.820 --> 00:04:31.740]  你會發現一個很大的對比
[00:04:31.740 --> 00:04:32.940]  因為之前
[00:04:32.940 --> 00:04:34.140]  就是很多人群的
[00:04:34.140 --> 00:04:35.500]  趕走了很多鬼
[00:04:35.500 --> 00:04:36.580]  但是天未亮的時候
[00:04:36.580 --> 00:04:38.460]  是完全沒有人的時間
[00:04:38.460 --> 00:04:40.020]  並且去到一個地點
[00:04:40.020 --> 00:04:42.140]  是完全沒有人的地點
[00:04:42.140 --> 00:04:44.020]  那個地點叫什麼
[00:04:44.020 --> 00:04:44.820]  曠野
[00:04:44.820 --> 00:04:46.020]  大家看到吧
[00:04:46.020 --> 00:04:49.020]  那個經文就是到了曠野那裡
[00:04:49.020 --> 00:04:52.500]  在那裡就做什麼呢
[00:04:52.500 --> 00:04:53.820]  就是祈禱
[00:04:53.820 --> 00:04:55.620]  所以祈禱呢
