
[00:00:00.000 --> 00:00:05.000]  好 那我們打開馬太福音第25章
[00:00:05.000 --> 00:00:10.000]  我們今天下午要讀的經文都是很熟悉的
[00:00:10.000 --> 00:00:14.000]  馬太福音第25章
[00:00:14.000 --> 00:00:21.000]  31節到第46節
[00:00:21.000 --> 00:00:24.000]  馬太福音25章
[00:00:24.000 --> 00:00:26.000]  31節到46節
[00:00:26.000 --> 00:00:31.000]  我們找到一起慢慢讀完上帝的話
[00:00:31.000 --> 00:00:34.000]  當人子在他榮耀裡
[00:00:34.000 --> 00:00:37.000]  同著眾天使降臨的時候
[00:00:37.000 --> 00:00:40.000]  要坐在他榮耀的寶座上
[00:00:40.000 --> 00:00:44.000]  而萬民都要聚集在他面前
[00:00:44.000 --> 00:00:47.000]  他要把他們分別出來
[00:00:47.000 --> 00:00:51.000]  保障牧羊的分別綿羊山羊一半
[00:00:51.000 --> 00:00:54.000]  把綿羊安置在右邊
[00:00:54.000 --> 00:00:56.000]  山羊在左邊
[00:00:56.000 --> 00:01:00.000]  於是王要向那右邊的說
[00:01:00.000 --> 00:01:03.000]  你們這蒙我父賜福的
[00:01:03.000 --> 00:01:06.000]  可來承受那蒼世以來
[00:01:06.000 --> 00:01:08.000]  為你們所預備的國
[00:01:08.000 --> 00:01:10.000]  因為我餓了
[00:01:10.000 --> 00:01:12.000]  你們給我吃
[00:01:12.000 --> 00:01:13.000]  渴了
[00:01:13.000 --> 00:01:15.000]  你們給我喝
[00:01:15.000 --> 00:01:16.000]  我作客裡
[00:01:16.000 --> 00:01:18.000]  你們留我住
[00:01:18.000 --> 00:01:20.000]  我赤身露體
[00:01:20.000 --> 00:01:22.000]  你們給我穿
[00:01:22.000 --> 00:01:23.000]  我病了
[00:01:23.000 --> 00:01:25.000]  你們看顧我
[00:01:25.000 --> 00:01:26.000]  我在監裡
[00:01:26.000 --> 00:01:28.000]  你們來看我
[00:01:28.000 --> 00:01:30.000]  二人就回答說
[00:01:30.000 --> 00:01:31.000]  主啊
[00:01:31.000 --> 00:01:34.000]  我們什麼時候見你餓了
[00:01:34.000 --> 00:01:35.000]  給你吃
[00:01:35.000 --> 00:01:36.000]  渴了
[00:01:36.000 --> 00:01:37.000]  給你喝
[00:01:37.000 --> 00:01:40.000]  什麼時候見你作客裡
[00:01:40.000 --> 00:01:42.000]  留你住
[00:01:42.000 --> 00:01:44.000]  或是赤身露體
[00:01:44.000 --> 00:01:45.000]  給你穿
[00:01:45.000 --> 00:01:48.000]  又什麼時候見你育了
[00:01:48.000 --> 00:01:50.000]  或是在監裡
[00:01:50.000 --> 00:01:52.000]  來看你呢
[00:01:52.000 --> 00:01:54.000]  王要回答說
[00:01:54.000 --> 00:01:56.000]  我實在告訴你們
[00:01:56.000 --> 00:02:00.000]  這些事你們既作在我這弟兄中
[00:02:00.000 --> 00:02:02.000]  一個最小的身上
