
[00:00:00.000 --> 00:00:07.800]  上次說到聖潔是神的僕人
[00:00:07.800 --> 00:00:12.120]  蒙召之後對於神來說似乎是最重要
[00:00:12.120 --> 00:00:16.800]  為什麼這樣說呢?因為聖潔是不能夠給神使用
[00:00:16.800 --> 00:00:20.240]  如果我們用我們自己的方法
[00:00:20.240 --> 00:00:24.080]  聖潔的基本意思是什麼?是分別為聖
[00:00:24.080 --> 00:00:27.200]  我們是被神揀選出來
[00:00:27.200 --> 00:00:30.280]  如果我們不認識神的聖潔
[00:00:30.280 --> 00:00:34.120]  神揀選了之後我們也沒有分別為聖的時候
[00:00:34.120 --> 00:00:38.080]  我們用世俗的方法去爬
[00:00:38.080 --> 00:00:40.800]  其實教會裏面也有爬的
[00:00:40.800 --> 00:00:43.800]  機構裏面也有爬的
[00:00:43.800 --> 00:00:45.800]  你可以上位的
[00:00:45.800 --> 00:00:48.840]  只不過是我們服侍自己
[00:00:48.840 --> 00:00:50.840]  跟大家來說
[00:00:50.840 --> 00:00:54.600]  對於回應神使命的人來說
[00:00:54.600 --> 00:00:56.600]  什麼才是最重要
[00:00:56.600 --> 00:00:59.280]  用兩個不同的角度
[00:00:59.280 --> 00:01:01.600]  第一個角度是蒙召的人
[00:01:01.600 --> 00:01:03.600]  在召命和使命
[00:01:03.600 --> 00:01:05.040]  什麼才是召命呢?
[00:01:05.040 --> 00:01:07.520]  有些人不知道自己在做什麼
[00:01:07.520 --> 00:01:10.240]  世俗的人當然
[00:01:10.240 --> 00:01:12.240]  神的僕人也不知道自己在做什麼
[00:01:12.240 --> 00:01:14.240]  大英姐妹更加不知道自己在做什麼
[00:01:14.240 --> 00:01:16.680]  她是不是不侍奉?她不是不侍奉的
[00:01:16.680 --> 00:01:19.880]  有些人在這裏侍奉,在那裏侍奉
[00:01:19.880 --> 00:01:21.880]  然後跳來跳去
[00:01:21.880 --> 00:01:23.880]  好像看到有些什麼要做
[00:01:23.880 --> 00:01:25.880]  但有些大英姐妹不是
[00:01:25.880 --> 00:01:28.880]  大英姐妹很清楚知道她在召命
[00:01:28.880 --> 00:01:30.880]  她是在那個崗位裏面
[00:01:30.880 --> 00:01:32.880]  不一定是全時間
[00:01:32.880 --> 00:01:34.880]  她做了三十年
[00:01:34.880 --> 00:01:36.880]  我認識的大兄
[00:01:36.880 --> 00:01:38.880]  她還是在做青年人的工作
[00:01:38.880 --> 00:01:39.880]  這就是召命
[00:01:39.880 --> 00:01:41.880]  所以今天藉著摩西
[00:01:41.880 --> 00:01:43.880]  我們明白什麼是召命
[00:01:43.880 --> 00:01:45.880]  就是能夠堅守
[00:01:45.880 --> 00:01:47.880]  從神而來的使命
