
[00:00:00.000 --> 00:00:05.880]  好 網上的弟兄姊妹大家早安
[00:00:05.880 --> 00:00:08.840]  讓我們再次回來在主的說話面前
[00:00:08.840 --> 00:00:11.360]  我們一齊同心去預備
[00:00:11.360 --> 00:00:15.440]  我們心思意念去明白認識我們的主愛之神
[00:00:15.440 --> 00:00:17.920]  我們一齊同心低頭禱告
[00:00:17.920 --> 00:00:24.320]  父神多謝你讓我們可以再次來到崇拜的地方
[00:00:24.320 --> 00:00:28.480]  一起將我們心緊貼上主祢的胸膛
[00:00:28.480 --> 00:00:34.560]  好使我們能夠從當中去細聽上主祢的心思意念
[00:00:34.560 --> 00:00:38.160]  求祢的帶領讓我們藉著祢的啟示
[00:00:38.160 --> 00:00:40.640]  更明白上主祢的心
[00:00:40.640 --> 00:00:44.960]  也讓我們學會怎樣能夠在這個地上
[00:00:44.960 --> 00:00:47.920]  活出一個合神心意的生命
[00:00:47.920 --> 00:00:50.160]  讓人見到我們的時候
[00:00:50.160 --> 00:00:53.280]  就讓他們可以同時讚歎
[00:00:53.280 --> 00:00:55.760]  這位認識上主的人
[00:00:55.760 --> 00:00:59.520]  他們怎樣在地上顯出上主的榮美
[00:00:59.520 --> 00:01:01.760]  所以祈求主祢讓我們有智慧
[00:01:01.760 --> 00:01:06.560]  求祢讓我們在這份事務裡面有所擔當
[00:01:06.560 --> 00:01:09.040]  並且能夠竭力做好
[00:01:09.040 --> 00:01:12.480]  我們知道很多時候我們或許會有一些挑戰
[00:01:12.480 --> 00:01:17.440]  或者會重新受到我們本身罪的誘惑
[00:01:17.440 --> 00:01:21.680]  從而我們在上主祢的見證上面有所虧欠
[00:01:21.680 --> 00:01:26.000]  祈求主祢的赦免要讓悔改的心能夠
[00:01:26.000 --> 00:01:29.840]  與追求主道的心思能夠並行
[00:01:29.840 --> 00:01:33.520]  讓我們帶著守潔心清的生命
[00:01:33.520 --> 00:01:38.320]  來到上主祢這條永恆的道路上面一直奔跑
[00:01:38.320 --> 00:01:40.560]  多謝祢積著聖靈的引導
[00:01:40.560 --> 00:01:44.720]  讓我們能夠在今天再次可以明白主祢的道理
[00:01:44.720 --> 00:01:46.960]  讓每一個追求主道的人
[00:01:46.960 --> 00:01:50.880]  都能夠在今天同夢主祢的啟示的祝福
[00:01:50.880 --> 00:01:54.640]  禱告奉靠主耶穌基督得勝明智而求
[00:01:54.640 --> 00:01:55.920]  阿們
[00:01:55.920 --> 00:02:00.480]  俗語有一句話叫做一條鎖匙拼不響
[00:02:00.480 --> 00:02:05.520]  或者一隻手就拍不響
[00:02:05.520 --> 00:02:11.680]  雖然這兩句話都往往帶著一種負面的意思
[00:02:11.680 --> 00:02:16.000]  但是卻同時之間也都帶出一個道理
[00:02:16.000 --> 00:02:19.840]  就是世上的事物必須要有交往
[00:02:19.840 --> 00:02:23.840]  才能夠生出它的影響
[00:02:23.840 --> 00:02:25.760]  一件事物或者一個人
[00:02:25.760 --> 00:02:28.720]  如果只是單獨存在的話
[00:02:28.720 --> 00:02:32.880]  往往只不過是一種閉門造車
[00:02:32.880 --> 00:02:35.280]  做出來的成果有限
[00:02:35.280 --> 00:02:41.280]  或許做出來的事情甚至是蕩然無存
[00:02:41.280 --> 00:02:43.920]  同樣地神國的子民
[00:02:43.920 --> 00:02:48.240]  也都不是單獨存在在這個世界的裏面
[00:02:48.240 --> 00:02:52.560]  我們是透過和不同人不同的關係
[00:02:52.560 --> 00:02:55.600]  來直接溝通來往
[00:02:55.600 --> 00:02:58.400]  來彼此的建立
[00:02:58.400 --> 00:03:00.720]  最重要的是在這個過程當中
[00:03:00.720 --> 00:03:03.920]  讓我們一起去摸準神的心思意念
[00:03:03.920 --> 00:03:06.720]  讓我們可以憑著上帝的聖情
[00:03:06.720 --> 00:03:10.960]  來去作成一間真是合神心意的屬靈群體
[00:03:10.960 --> 00:03:14.240]  簡稱教會
[00:03:14.240 --> 00:03:20.240]  這個才是我們步向屬靈的永恆角度的一個方向
[00:03:20.240 --> 00:03:24.080]  所以今天我想透過哥羅西書的第三章
[00:03:24.080 --> 00:03:26.320]  從第十八節到第四章的第一節
[00:03:26.320 --> 00:03:28.320]  一起思想一個題目叫做
[00:03:28.320 --> 00:03:32.320]  群策群力所建立的基督群體
[00:03:32.320 --> 00:03:40.560]  這是一個透過多方多向性的一個群體的互相的交往
[00:03:40.560 --> 00:03:42.320]  來建立起來的
[00:03:42.320 --> 00:03:44.640]  亦都在這個交往的過程當中
[00:03:44.640 --> 00:03:46.720]  讓我們能夠去折射出
[00:03:46.720 --> 00:03:52.080]  上帝在我們身上被作為選民的一個生命力
[00:03:52.080 --> 00:03:53.840]  如何能夠彰顯出來
[00:03:53.840 --> 00:03:56.800]  讓我們再次翻開這段聖經
[00:03:56.800 --> 00:04:01.520]  哥羅西書第三章第十八節至到第四章第一節
[00:04:01.520 --> 00:04:04.160]  讓我們打開之後我們再自己讀多一次
[00:04:04.160 --> 00:04:07.280]  好使我們在聆聽主的說話的過程當中
[00:04:07.280 --> 00:04:10.960]  能夠對經文的理解更加的全面和準確
[00:04:10.960 --> 00:04:15.520]  請大家一起打開哥羅西書第三章第十八節
[00:04:15.520 --> 00:04:18.480]  讀到第四章第一節
[00:04:18.480 --> 00:04:21.040]  我們一起讀吧
[00:04:21.040 --> 00:04:26.720]  你們作妻子的 當信服自己的丈夫
[00:04:26.720 --> 00:04:29.520]  這在主裡面是相宜的
[00:04:29.520 --> 00:04:33.840]  你們作丈夫的 要愛你們的妻子
[00:04:33.840 --> 00:04:35.840]  不可輔待他們
[00:04:35.840 --> 00:04:40.400]  你們作兒女的 要凡事聽從父母
[00:04:40.400 --> 00:04:42.960]  因為這是主所喜悅的
[00:04:42.960 --> 00:04:46.960]  你們作父親的 不要惹兒女的氣
[00:04:46.960 --> 00:04:49.680]  恐怕他們失了志氣
[00:04:49.680 --> 00:04:55.120]  你們作僕人的 要凡事聽從你們肉身的主人
[00:04:55.120 --> 00:05:00.240]  不要只在眼前侍奉 像是土人喜歡的
[00:05:00.240 --> 00:05:03.440]  總要全心誠實敬畏主
[00:05:03.440 --> 00:05:07.280]  無論做什麼都要從心裡做
[00:05:07.280 --> 00:05:11.680]  像是給主做的 不是給人做的
[00:05:11.680 --> 00:05:17.680]  因你們知道從主那裡必得著基業為賞賜
[00:05:17.680 --> 00:05:21.280]  你們所侍奉的乃是主基督
[00:05:21.280 --> 00:05:25.040]  那行不義的必受不義的報應
[00:05:25.040 --> 00:05:27.280]  主並不偏待人
[00:05:27.280 --> 00:05:32.400]  你們作主人的 要公公平平地待僕人
[00:05:32.400 --> 00:05:38.800]  因為知道你們也有一位在天上
[00:05:38.800 --> 00:05:42.240]  在這段聖經的上面
[00:05:42.240 --> 00:05:47.120]  歷世歷代的教會都會將它定為
[00:05:47.120 --> 00:05:53.200]  所謂一個家女 屬靈家的家女的家規
[00:05:53.200 --> 00:05:57.040]  我們簡單叫一個Household Code
[00:05:57.040 --> 00:06:00.000]  這類型的經文不少
[00:06:00.000 --> 00:06:06.720]  除了我們剛剛所讀過的哥羅西書第三章18節至第四章1節外
[00:06:06.720 --> 00:06:09.440]  我們在聖經其他保羅的書信
[00:06:09.440 --> 00:06:15.280]  或者其他門徒的記載都有
[00:06:15.280 --> 00:06:21.680]  包括以弗所書第5章22節至第6章9節
[00:06:21.680 --> 00:06:26.320]  提摩太前書第2章8節至15節
[00:06:26.320 --> 00:06:29.680]  第6章1至第2節
[00:06:29.680 --> 00:06:32.880]  提多書的2章1至10節
[00:06:32.880 --> 00:06:38.960]  以及彼得前書2章13節至3章7節
[00:06:38.960 --> 00:06:43.040]  都同時在聖經裡面被指為
[00:06:43.040 --> 00:06:47.280]  Household Code或者Household Table
[00:06:47.280 --> 00:06:51.680]  屬靈的家規
[00:06:51.680 --> 00:06:55.200]  當讀到這個陳述的時候
[00:06:55.200 --> 00:06:59.280]  尤其是去到華人教會就會覺得
