
[00:00:00.000 --> 00:00:08.440]  今日題目是馬可畢夏的耶穌裡面有提及禁食
[00:00:08.440 --> 00:00:10.640]  我最後加了一個問號
[00:00:10.640 --> 00:00:15.600]  究竟現在這一刻是否禁食的時候呢?
[00:00:15.600 --> 00:00:17.400]  什麼叫禁食呢?
[00:00:17.400 --> 00:00:21.800]  譬如你說今天早上起床胃部頂住
[00:00:21.800 --> 00:00:23.560]  沒有吃早餐
[00:00:23.560 --> 00:00:25.080]  是不是禁食呢?
[00:00:25.080 --> 00:00:26.680]  不是
[00:00:26.680 --> 00:00:30.320]  如果你說習慣了
[00:00:30.320 --> 00:00:34.680]  不知何時就不吃早餐或午餐
[00:00:34.680 --> 00:00:36.120]  這是不是禁食呢?
[00:00:36.120 --> 00:00:38.280]  也不是
[00:00:38.280 --> 00:00:43.120]  近年科學界或醫學界很流行說
[00:00:43.120 --> 00:00:46.040]  這不是禁食 這是斷食
[00:00:46.040 --> 00:00:47.520]  有沒有聽過?
[00:00:47.520 --> 00:00:48.760]  斷食
[00:00:48.760 --> 00:00:52.040]  特別是很多醫生開始提倡
[00:00:52.040 --> 00:00:55.440]  我們是斷食 即間斷飲食
[00:00:55.440 --> 00:00:57.800]  不一定要一天吃完三餐
[00:00:57.800 --> 00:00:59.600]  這個有機會我們再分享
[00:00:59.600 --> 00:01:01.600]  這也不是禁食
[00:01:01.600 --> 00:01:02.720]  禁食是什麼呢?
[00:01:02.720 --> 00:01:04.720]  一會兒會說到耶穌提到禁食
[00:01:04.720 --> 00:01:08.480]  而在聖經裡面對於禁食是十分重視
[00:01:08.480 --> 00:01:11.520]  如果說「浸禮」這個字出現的次數
[00:01:11.520 --> 00:01:14.400]  全本聖經只出現75次
[00:01:14.400 --> 00:01:18.560]  但是禁食就出現了77次
[00:01:18.560 --> 00:01:20.560]  我們看看聖經怎麼說
[00:01:20.560 --> 00:01:22.280]  在《馬科音》裡面
[00:01:22.280 --> 00:01:23.840]  二章十八節剛才我們讀到
[00:01:23.840 --> 00:01:25.120]  就是在那時候
[00:01:25.120 --> 00:01:28.960]  約翰的門徒和法利塞人都禁食
[00:01:28.960 --> 00:01:33.640]  法利塞人是一群對宗教特別規條
[00:01:33.640 --> 00:01:34.800]  持守得很好
[00:01:34.800 --> 00:01:38.800]  在當時是很受人尊敬的一群宗教領袖
[00:01:38.800 --> 00:01:40.800]  他們就來問耶穌
[00:01:40.800 --> 00:01:44.640]  他們的意思是一群宗教領袖
[00:01:44.640 --> 00:01:48.680]  約翰的門徒和法利塞人的門徒都禁食
[00:01:48.680 --> 00:01:51.360]  你的門徒就不禁食
[00:01:51.360 --> 00:01:53.360]  是為了什麼呢?
[00:01:53.360 --> 00:01:55.360]  其實到了這個時候
[00:01:55.360 --> 00:01:56.760]  耶穌已經做了一些事
[00:01:56.760 --> 00:01:59.320]  使宗教領袖看不過眼
[00:01:59.320 --> 00:02:01.920]  就想捉耶穌的把柄
[00:02:01.920 --> 00:02:03.720]  結果找到這個東西
[00:02:03.720 --> 00:02:05.400]  又可以來捉耶穌了
[00:02:05.400 --> 00:02:06.920]  其實你可以說
[00:02:06.920 --> 00:02:10.640]  他是想過、度過才這樣說耶穌
[00:02:10.640 --> 00:02:13.520]  第一他說了約翰的門徒
[00:02:13.520 --> 00:02:15.040]  約翰的門徒
[00:02:15.040 --> 00:02:17.560]  別人看是和耶穌一夥的
[00:02:17.560 --> 00:02:19.880]  還說是耶穌的先鋒
[00:02:19.880 --> 00:02:22.160]  他說你的先鋒
[00:02:22.160 --> 00:02:26.600]  你的朋友都禁食
[00:02:26.600 --> 00:02:28.600]  但為什麼你沒有呢?
[00:02:28.600 --> 00:02:31.240]  另外再說到法利塞人
[00:02:31.240 --> 00:02:34.200]  剛才說到他們很注重禁食
[00:02:34.200 --> 00:02:38.000]  法利塞人是多久禁食一次呢?
[00:02:38.000 --> 00:02:40.440]  他們一個星期禁食兩次
[00:02:40.440 --> 00:02:44.240]  原來他們是每一天禁食四次
[00:02:44.240 --> 00:02:45.840]  但他們禁食的時候
[00:02:45.840 --> 00:02:48.720]  你一定會看到他們在禁食
[00:02:48.720 --> 00:02:52.960]  他們說這些被人尊崇的宗教領袖
[00:02:52.960 --> 00:02:56.520]  你的一夥、你的先鋒都禁食
[00:02:56.520 --> 00:03:00.440]  為什麼你的門徒不用禁食?
[00:03:00.440 --> 00:03:04.040]  他們去質問耶穌
[00:03:04.040 --> 00:03:06.040]  其實背景是什麼呢?
[00:03:06.040 --> 00:03:08.040]  你看看二章十六節
[00:03:08.040 --> 00:03:10.200]  原來法利塞人中的民事
[00:03:10.200 --> 00:03:14.640]  看見耶穌和罪人並睡膩一起吃飯
[00:03:14.640 --> 00:03:18.600]  原來耶穌呼召了馬太
[00:03:18.600 --> 00:03:19.840]  在瑞關上
[00:03:19.840 --> 00:03:21.200]  馬太之前是收稅的
[00:03:21.200 --> 00:03:23.800]  在瑞關上呼召了馬太
[00:03:23.800 --> 00:03:25.800]  馬太馬上跟隨耶穌
[00:03:25.800 --> 00:03:29.880]  然後馬太還好好找了一群朋友
[00:03:29.880 --> 00:03:31.080]  一起去見耶穌
[00:03:31.080 --> 00:03:32.560]  很想認識耶穌
[00:03:32.560 --> 00:03:33.560]  馬太做什麼呢?
[00:03:33.560 --> 00:03:35.360]  剛才我說睡膩
[00:03:35.360 --> 00:03:36.640]  睡膩是一群什麼人呢?
[00:03:36.640 --> 00:03:37.880]  等同罪人
[00:03:37.880 --> 00:03:39.640]  是一群沒有人喜歡的人
[00:03:39.640 --> 00:03:42.080]  所以他的朋友全部都是
[00:03:42.080 --> 00:03:43.120]  要麼做睡膩
[00:03:43.120 --> 00:03:44.400]  要麼就是罪人
[00:03:44.400 --> 00:03:46.400]  才會跟那群人走在一起
[00:03:46.400 --> 00:03:48.720]  而就是在那時候
[00:03:48.720 --> 00:03:52.400]  耶穌也應約跟他們吃飯
[00:03:52.400 --> 00:03:54.400]  去跟他們吃飯
[00:03:54.400 --> 00:03:56.400]  但你留意一下這句話怎麼說
[00:03:56.400 --> 00:03:57.680]  法利塞人中的民事
[00:03:57.680 --> 00:04:01.120]  看見耶穌和罪人一起吃飯
[00:04:01.120 --> 00:04:03.120]  就跟他的門徒說
[00:04:03.120 --> 00:04:05.120]  說什麼呢?
[00:04:05.120 --> 00:04:09.120]  他跟睡膩和罪人一起吃飯嗎?
[00:04:09.120 --> 00:04:12.400]  語氣肯定不是好的
[00:04:12.400 --> 00:04:14.160]  一來不是好
[00:04:14.160 --> 00:04:16.160]  二來他跟誰說呢?
[00:04:16.160 --> 00:04:20.160]  他不是跟耶穌說
[00:04:20.160 --> 00:04:22.160]  他跟誰說呢?
[00:04:22.160 --> 00:04:24.160]  他跟門徒說
[00:04:24.160 --> 00:04:26.160]  還有這句話有些廢話
[00:04:26.160 --> 00:04:28.160]  為什麼呢?
[00:04:28.160 --> 00:04:30.160]  他們都見到他吃飯
[00:04:30.160 --> 00:04:34.160]  然後你就說他們一起吃飯
[00:04:34.160 --> 00:04:38.160]  這個廢話未至於
[00:04:38.160 --> 00:04:42.160]  例如以前中學在飯堂
[00:04:42.160 --> 00:04:44.160]  有些學生說我是廢話
[00:04:44.160 --> 00:04:46.160]  因為在飯堂我走過
[00:04:46.160 --> 00:04:48.160]  打招呼
[00:04:48.160 --> 00:04:50.160]  第一句說什麼?
[00:04:50.160 --> 00:04:52.160]  吃飯了
[00:04:52.160 --> 00:04:54.160]  學生看著我說廢話
[00:04:54.160 --> 00:04:56.160]  我不是在吃飯難道在跳舞嗎?
[00:04:56.160 --> 00:04:58.160]  我心想是喔
[00:04:58.160 --> 00:05:00.160]  我們打招呼我們知道
[00:05:00.160 --> 00:05:02.160]  但這一句絕對不是打招呼
[00:05:02.160 --> 00:05:06.160]  你想想他們背後的目的是什麼?
[00:05:06.160 --> 00:05:10.160]  那群人見到耶穌和罪人一起吃飯
[00:05:10.160 --> 00:05:18.160]  他們一定不是為耶穌改變做好心
[00:05:18.160 --> 00:05:20.160]  他們不是想勸耶穌
[00:05:20.160 --> 00:05:22.160]  耶穌不可以
[00:05:22.160 --> 00:05:24.160]  這個世界不可以和罪人一起吃飯
[00:05:24.160 --> 00:05:26.160]  你不要被人誤會
