
[00:00:00.000 --> 00:00:05.000]  我們思想聖經信息之前
[00:00:05.000 --> 00:00:10.000]  我們大家同心再祈禱天上的主永恆的上帝
[00:00:10.000 --> 00:00:15.000]  我們敬拜祢 我們同心的尊崇祢
[00:00:15.000 --> 00:00:20.000]  主祢真是永永遠遠是我們的依靠 是我們的幫助
[00:00:20.000 --> 00:00:23.000]  我們今天早上再一次在祢的面前
[00:00:23.000 --> 00:00:28.000]  我們透過思想祢自己的說話來敬拜祢
[00:00:28.000 --> 00:00:31.000]  我們仰望主自己 接受祢保衛的聖靈
[00:00:31.000 --> 00:00:34.000]  祢開啟我們的心思
[00:00:34.000 --> 00:00:39.000]  祢引導我們明白 主祢的道立定在天
[00:00:39.000 --> 00:00:45.000]  祢自己的真理永永遠遠成為我們生命的依靠
[00:00:45.000 --> 00:00:48.000]  如今求主賜下祢聖經的說話
[00:00:48.000 --> 00:00:51.000]  引導我們的心思明白 又領受
[00:00:51.000 --> 00:00:56.000]  我們仰望祈禱 奉耶穌成名求 阿們
[00:00:56.000 --> 00:01:00.000]  我們今天再思想詩篇裏面的祈禱詩
[00:01:00.000 --> 00:01:06.000]  大家再打開聖經剛才讀的71篇 詩篇71篇
[00:01:06.000 --> 00:01:09.000]  我們常常看到祈禱
[00:01:09.000 --> 00:01:14.000]  而我們都知道我們祈禱的主是天地的主
[00:01:14.000 --> 00:01:18.000]  而聖經特別多時候提到這位的主
[00:01:18.000 --> 00:01:20.000]  祂和我們之間的關係
[00:01:20.000 --> 00:01:23.000]  祂是永不離棄我們的上帝
[00:01:23.000 --> 00:01:26.000]  因此我們祈禱的時候可以很放心
[00:01:26.000 --> 00:01:29.000]  無論我們的狀況怎樣
[00:01:29.000 --> 00:01:34.000]  這位上帝祂是永遠不離棄尋求祂的人
[00:01:34.000 --> 00:01:36.000]  我們常常每讀一節聖經
[00:01:36.000 --> 00:01:39.000]  而聖經是我們很多電影姐妹都會識背誦的
[00:01:39.000 --> 00:01:43.000]  提摩泰的後書第二章第十三節說
[00:01:43.000 --> 00:01:45.000]  詩中聖經這樣說
[00:01:45.000 --> 00:01:50.000]  「我們縱然失信 他仍是可信的」
[00:01:50.000 --> 00:01:54.000]  因為他不能背負自己
[00:01:54.000 --> 00:01:58.000]  有些時候我們失信 我們軟弱
[00:01:58.000 --> 00:02:03.000]  但是神不因為我們的失信而對我們失信
[00:02:03.000 --> 00:02:09.000]  或者說祂的信實不會因為我們的改變而改變
[00:02:09.000 --> 00:02:11.000]  祂是永遠信實的
[00:02:11.000 --> 00:02:16.000]  因為那是祂的本質 是祂的屬性
[00:02:16.000 --> 00:02:20.000]  這位上帝祂不會背負自己
[00:02:20.000 --> 00:02:23.000]  祂的信實的那份屬性
[00:02:23.000 --> 00:02:26.000]  因此當很多基督徒在祈禱的時候
[00:02:26.000 --> 00:02:28.000]  都會很深切體會到
[00:02:28.000 --> 00:02:30.000]  去肯定這位主的信實
[00:02:30.000 --> 00:02:32.000]  正是我們祈禱的根基
[00:02:32.000 --> 00:02:36.000]  知道有些時候 沒錯我們軟弱的
[00:02:36.000 --> 00:02:38.000]  我們有時會跌倒的
[00:02:38.000 --> 00:02:41.000]  但是何時我們轉向神尋求祂
[00:02:41.000 --> 00:02:43.000]  祂就會幫助我們
[00:02:43.000 --> 00:02:46.000]  無論我們的狀況怎樣
[00:02:46.000 --> 00:02:48.000]  我們倚靠祂的時候
[00:02:48.000 --> 00:02:51.000]  祂就會向我們施恩
[00:02:51.000 --> 00:02:53.000]  因此在基督徒禱告上帝的時候
[00:02:53.000 --> 00:02:55.000]  常常有一種心裏面的體會
[00:02:55.000 --> 00:02:57.000]  因為祂是信實的
[00:02:57.000 --> 00:03:02.000]  所以我可以放膽在祂面前去尋求
[00:03:02.000 --> 00:03:05.000]  而經歷祂給我們的幫助
