
[00:00:00.000 --> 00:00:10.240]  我們再次一起低頭禱告 祈求上主的靈幫助我們明白祂的提示
[00:00:10.240 --> 00:00:19.280]  慈悲天父多謝祢 讓我們有生命有氣息 能夠打開主祢的說話
[00:00:19.280 --> 00:00:30.480]  一起去明白探究 進一步去掌握上主祢行事的特色
[00:00:30.480 --> 00:00:35.680]  希望我們能夠在將來在永恆裏與祢同住的時候
[00:00:35.680 --> 00:00:43.280]  不是一個陌生的人 而是一個我們已經相識多年的永恆的恩主
[00:00:43.280 --> 00:00:54.640]  怎樣為我們犧牲流血 為我們卸盡很多愛好
[00:00:54.640 --> 00:01:00.080]  為我們可以回歸為止 獻上感謝
[00:01:00.080 --> 00:01:05.280]  因為祢給我們一切所提供的救恩上的需要
[00:01:05.280 --> 00:01:16.480]  讓我們看到本來是我們不配 但卻是在祢恩典之內我們可以重新得著
[00:01:16.480 --> 00:01:21.280]  並且能夠獲得一份光榮的選民身份
[00:01:21.280 --> 00:01:28.800]  感謝父神為我們所預備的 獨生兒子耶穌基督所付出的
[00:01:28.800 --> 00:01:36.240]  以及今天聖靈繼續帶領我們在每天人生路上走的路
[00:01:36.240 --> 00:01:43.280]  求祢的幫助 在這段時間無論聽的說的都懇求主祢讓我們有智慧
[00:01:43.280 --> 00:01:47.040]  祈福奉靠主耶穌基督得勝的名字 阿們
[00:01:47.040 --> 00:01:51.600]  信是什麼呢?
[00:01:51.600 --> 00:01:58.000]  教會裏面有很多信徒有很多不同的演繹
[00:01:58.000 --> 00:02:04.000]  最出名的就是希伯來書
[00:02:04.000 --> 00:02:09.200]  講到信是所求其求的事情
[00:02:09.200 --> 00:02:15.760]  未見的真正事情 以及將來的事情的一個很重要的基礎
[00:02:15.760 --> 00:02:22.800]  但當我們看信這個字本身的意義的時候
[00:02:22.800 --> 00:02:27.760]  信其實是包含著一份叫人安心
[00:02:27.760 --> 00:02:31.200]  甚至可以說是一種武將
[00:02:31.200 --> 00:02:36.240]  怎樣可以這樣去陳述 或者這樣去表達呢?
[00:02:36.240 --> 00:02:43.920]  其實如果講到信 我相信在這個世界上是不能缺乏的一件事
[00:02:43.920 --> 00:02:51.920]  我記得在很多年前 中國中華人民共和國裏面有一個領袖曾經說過一句話
[00:02:51.920 --> 00:03:00.560]  他說當時所有的經濟發展最缺乏的就是信
[00:03:00.560 --> 00:03:06.960]  信是什麼呢?是一切之事的基本
[00:03:06.960 --> 00:03:09.760]  因為沒有了信的話
[00:03:09.760 --> 00:03:16.160]  人所做的所有的活動都可以在片刻裏面變成豪言
[00:03:16.160 --> 00:03:20.000]  甚至是未存在過都可以的
[00:03:20.000 --> 00:03:24.240]  用一個簡單的例子可以幫助大家
[00:03:24.240 --> 00:03:29.600]  看到信和叫人安心的這份保障有什麼關聯
[00:03:29.600 --> 00:03:34.560]  假如你知道自己可能要去旅行
[00:03:34.560 --> 00:03:44.800]  很多的弟姐妹去旅行之前都會去買一份旅行保險
[00:03:44.800 --> 00:03:50.160]  你可能會說我COVID都不去旅行了
[00:03:50.160 --> 00:03:53.760]  但保險其實都不是你陌生的東西
[00:03:53.760 --> 00:03:57.600]  因為你要開車 住房子
[00:03:57.600 --> 00:04:01.680]  所有這些東西都需要有人保險的
[00:04:01.680 --> 00:04:04.880]  你為什麼要買保險?
[00:04:04.880 --> 00:04:13.200]  因為保險是你預計如果你是進入了一個意外的時候
[00:04:13.200 --> 00:04:20.880]  你相信某某的保險公司會按照你所訂立的保單
[00:04:20.880 --> 00:04:24.720]  來向你作出賠償的話
[00:04:24.720 --> 00:04:31.840]  於是你就願意參與在一份保單的成立過程
[00:04:31.840 --> 00:04:36.960]  Underwrite 如果大家會知道Technical term
[00:04:36.960 --> 00:04:42.080]  於是你會和一間保險公司去訂定一份保單
[00:04:42.080 --> 00:04:47.760]  並且你不單止是一份保單一張紙這麼簡單
[00:04:47.760 --> 00:04:51.920]  而且你會願意交出保金
[00:04:51.920 --> 00:04:54.480]  那些叫做Premium
[00:04:54.480 --> 00:04:57.040]  你交保金是代表什麼?
[00:04:57.040 --> 00:05:01.120]  是代表你對這份保單和你的承托人
[00:05:01.120 --> 00:05:05.200]  即是這間保險公司之間的一個毀身
[00:05:05.200 --> 00:05:09.040]  你願意說我在這個過程當中
[00:05:09.040 --> 00:05:14.000]  相信你會在當如果我有意外的時候
[00:05:14.000 --> 00:05:22.320]  你會按照保單的內容來去兌現承諾
[00:05:22.320 --> 00:05:27.040]  如果你信不過那間保險公司的話
[00:05:27.040 --> 00:05:30.080]  你會不會和他買保單買一份保險?
[00:05:30.080 --> 00:05:31.680]  一定不會
[00:05:31.680 --> 00:05:32.880]  為什麼你信不過他?
[00:05:32.880 --> 00:05:38.560]  因為他就算在保單上寫得多漂亮都好
[00:05:38.560 --> 00:05:43.680]  可能最後你有需要的時候要去拿回保險金
[00:05:43.680 --> 00:05:45.600]  他說我不給你
[00:05:45.600 --> 00:05:47.280]  我是不喜歡給你
[00:05:47.280 --> 00:05:49.440]  那你和他說不是啊
[00:05:49.440 --> 00:05:52.640]  有了保單應該要順手承諾
[00:05:52.640 --> 00:05:53.920]  什麼叫信啊?
[00:05:53.920 --> 00:05:55.920]  我可以不信
[00:05:55.920 --> 00:05:57.760]  沒有信用都可以
[00:05:57.760 --> 00:06:00.320]  歷史文件來的
[00:06:00.320 --> 00:06:03.200]  三個月前和你簽的
[00:06:03.200 --> 00:06:05.680]  或者你去完旅行前一個月
