
[00:00:00.000 --> 00:00:07.000]  如果用兩個字去形容過去幾年
[00:00:07.000 --> 00:00:10.000]  我是怎樣過的
[00:00:10.000 --> 00:00:13.000]  我很誠實地跟大家說
[00:00:13.000 --> 00:00:15.000]  是難過
[00:00:15.000 --> 00:00:18.000]  難過在有兩個層面
[00:00:18.000 --> 00:00:21.000]  都是處境的難過
[00:00:21.000 --> 00:00:23.000]  政治的衝擊
[00:00:23.000 --> 00:00:26.000]  疫情的折磨
[00:00:26.000 --> 00:00:29.000]  經濟的消沉
[00:00:29.000 --> 00:00:32.000]  資產的貶值
[00:00:32.000 --> 00:00:36.000]  人際的散聚
[00:00:36.000 --> 00:00:39.000]  教會受到衝擊
[00:00:39.000 --> 00:00:41.000]  我問下去
[00:00:41.000 --> 00:00:43.000]  你們都好像笑了一些人
[00:00:43.000 --> 00:00:47.000]  我每個星期周遊不同教會
[00:00:47.000 --> 00:00:50.000]  但從未見到一個現象
[00:00:50.000 --> 00:00:53.000]  李先生你可以講小唐
[00:00:53.000 --> 00:00:55.000]  熟
[00:00:55.000 --> 00:00:56.000]  熟
[00:00:56.000 --> 00:00:58.000]  我們要面對
[00:00:58.000 --> 00:01:01.000]  處境的難過
[00:01:01.000 --> 00:01:05.000]  大家層面是心境的難過
[00:01:05.000 --> 00:01:08.000]  金城大興在開場白
[00:01:08.000 --> 00:01:11.000]  他說金城大興看這個新聞令我很難過
[00:01:11.000 --> 00:01:13.000]  大家如在夢中
[00:01:13.000 --> 00:01:15.000]  不知道發生什麼事
[00:01:15.000 --> 00:01:17.000]  昨天在韓國首都首爾
[00:01:17.000 --> 00:01:20.000]  發生了一宗韓版的
[00:01:20.000 --> 00:01:23.000]  蘭桂坊事件
[00:01:23.000 --> 00:01:25.000]  Halloween
[00:01:25.000 --> 00:01:29.000]  很多人走來太遠狂歡聚集
[00:01:29.000 --> 00:01:33.000]  突然間手包傳出有某個偶像出現
[00:01:33.000 --> 00:01:35.000]  整群人湧過去
[00:01:35.000 --> 00:01:37.000]  人踩人
[00:01:37.000 --> 00:01:39.000]  停不了的
[00:01:39.000 --> 00:01:42.000]  已知死一百多人
[00:01:42.000 --> 00:01:45.000]  數字還會上升
[00:01:45.000 --> 00:01:47.000]  我們會難過
[00:01:47.000 --> 00:01:49.000]  韓國關你什麼事
[00:01:49.000 --> 00:01:53.000]  你所認識的韓國只是韓劇裡的劇情
[00:01:53.000 --> 00:01:55.000]  但我們會難過
[00:01:55.000 --> 00:01:57.000]  但如果我們這樣難過
[00:01:57.000 --> 00:02:00.000]  你不會有太多事我們難過
[00:02:00.000 --> 00:02:02.000]  心境的難過就是
[00:02:02.000 --> 00:02:05.000]  本來那件事與我們無關
[00:02:05.000 --> 00:02:08.000]  我甚至不認識他的
[00:02:08.000 --> 00:02:12.000]  你會為烏克蘭
[00:02:12.000 --> 00:02:17.000]  戰火流離的事情難過
[00:02:17.000 --> 00:02:21.000]  或者我們也麻木了
[00:02:21.000 --> 00:02:25.000]  我就會再做一個世代
[00:02:25.000 --> 00:02:28.000]  是難過的
[00:02:28.000 --> 00:02:32.000]  所以我最近經常與人分享兩句
[00:02:32.000 --> 00:02:37.000]  我自己很受的
[00:02:37.000 --> 00:02:40.000]  我叫做精句或者叫金句
[00:02:40.000 --> 00:02:43.000]  出意外是新常態
[00:02:43.000 --> 00:02:46.000]  下星期恆指不知道跌多少
[00:02:46.000 --> 00:02:49.000]  也不知道哪家老店倒閉
[00:02:49.000 --> 00:02:51.000]  不知道哪家人走了
[00:02:51.000 --> 00:02:54.000]  不知道什麼政策會改變
[00:02:54.000 --> 00:02:56.000]  不知道你會否確診
[00:02:56.000 --> 00:02:59.000]  很多事情我們無法去估計
[00:02:59.000 --> 00:03:01.000]  但這些事情是新的常態
[00:03:01.000 --> 00:03:07.000]  在這個完全不能預測的世代
[00:03:07.000 --> 00:03:09.000]  沒有可以預測
[00:03:09.000 --> 00:03:15.000]  我幾個好推心置腹可以交心的主內的好朋友
[00:03:15.000 --> 00:03:19.000]  包括有退休的牧師
[00:03:19.000 --> 00:03:21.000]  當打的牧師
[00:03:21.000 --> 00:03:23.000]  我們好朋友
[00:03:23.000 --> 00:03:26.000]  一起去祈禱一起交心
[00:03:26.000 --> 00:03:30.000]  一起去很開心去玩
[00:03:30.000 --> 00:03:32.000]  一起流眼淚
[00:03:32.000 --> 00:03:36.000]  在最後一次的聚會當中我講了一句
[00:03:36.000 --> 00:03:39.000]  大家有沒有感受到在我們有生之年
[00:03:39.000 --> 00:03:44.000]  我們可能會見到戰爭
[00:03:44.000 --> 00:03:46.000]  是很近的
[00:03:46.000 --> 00:03:47.000]  是很近的
[00:03:47.000 --> 00:03:49.000]  你從未想過的
[00:03:49.000 --> 00:03:51.000]  無可估計
[00:03:51.000 --> 00:03:55.000]  出意外是新常態
[00:03:55.000 --> 00:03:59.000]  復原力是新的技能
[00:03:59.000 --> 00:04:04.000]  我們無法控制那些事情發生
[00:04:04.000 --> 00:04:06.000]  但我們能夠控制自己
[00:04:06.000 --> 00:04:10.000]  儘管面對任何衝擊困難危機
[00:04:10.000 --> 00:04:13.000]  我們能夠很快地去解決
[00:04:13.000 --> 00:04:16.000]  我們能夠很快復原
[00:04:16.000 --> 00:04:20.000]  香港要邁向復常之路
[00:04:20.000 --> 00:04:23.000]  很長很久
[00:04:23.000 --> 00:04:26.000]  或者很多問題就因為你復常就顯示出來的
[00:04:26.000 --> 00:04:30.000]  一復常教會看到實際走了多少人
[00:04:30.000 --> 00:04:32.000]  現在就說我們少了一些人
[00:04:32.000 --> 00:04:34.000]  因為我們在網上
[00:04:34.000 --> 00:04:36.000]  退朝之後
[00:04:36.000 --> 00:04:40.000]  有句西方語言說知道誰沒有穿泳褲
[00:04:40.000 --> 00:04:44.000]  沒有問題的話社會就會出來
[00:04:44.000 --> 00:04:48.000]  所以我們要很能夠掌握自己
[00:04:48.000 --> 00:04:51.000]  能夠面對任何衝擊危難
[00:04:51.000 --> 00:04:53.000]  無可預測的
