
[00:00:00.000 --> 00:00:10.000]  今天會和大家講一個很應接很合時的一個訊息
[00:00:10.000 --> 00:00:15.000]  這個訊息叫做新的已來舊的要去
[00:00:15.000 --> 00:00:20.000]  在新的一年我們很多時候都會說去舊迎新
[00:00:20.000 --> 00:00:24.000]  所以這個題目真的很合時
[00:00:24.000 --> 00:00:28.000]  我亦都聽過有很多弟兄姊妹告訴我
[00:00:28.000 --> 00:00:33.000]  他們很羨慕早期教會的弟兄姊妹
[00:00:33.000 --> 00:00:35.000]  說他們沒有我們這麼多的隱憂
[00:00:35.000 --> 00:00:38.000]  沒有我們這麼多物質上的東西
[00:00:38.000 --> 00:00:41.000]  所以他們能夠專心的能夠完成的
[00:00:41.000 --> 00:00:44.000]  例如是敬拜侍奉神
[00:00:44.000 --> 00:00:47.000]  不是像我們這樣有這麼多的隱憂
[00:00:47.000 --> 00:00:49.000]  但我可以告訴你們
[00:00:49.000 --> 00:00:55.000]  早期教會的隱憂並不比我們少
[00:00:55.000 --> 00:00:58.000]  以弗所教會就是一個好的例子
[00:00:58.000 --> 00:01:01.000]  以弗所是在小亞細亞
[00:01:01.000 --> 00:01:05.000]  可以說是其中一個最邪惡的城市
[00:01:05.000 --> 00:01:09.000]  他們是一個崇拜的中心
[00:01:09.000 --> 00:01:12.000]  但他們是有很多很多的偶像
[00:01:12.000 --> 00:01:14.000]  有很多不同的神
[00:01:14.000 --> 00:01:19.000]  迪安娜就是其中一個最出名他們敬拜的神
[00:01:19.000 --> 00:01:23.000]  迪安娜是羅馬的名字
[00:01:23.000 --> 00:01:27.000]  這個名字在希臘文是亞底米神
[00:01:27.000 --> 00:01:29.000]  他們就是敬拜迪安娜
[00:01:29.000 --> 00:01:35.000]  迪安娜的廟被譽為世界七大奇觀之一
[00:01:35.000 --> 00:01:39.000]  廟裡面有很多很多的藝術品
[00:01:39.000 --> 00:01:43.000]  整個以弗所的宗教系統
[00:01:43.000 --> 00:01:47.000]  都是環繞著不道德的敬拜
[00:01:47.000 --> 00:01:52.000]  在這個以弗所的地方就有一千個女祭師
