
[00:00:00.000 --> 00:00:11.640]  今天跟大家一起思想的經文是出自於約爾書的第一章第15節至第16節
[00:00:11.640 --> 00:00:18.880]  今天所思想的題目就是打破思想規限的靈命復甦爭戰
[00:00:18.880 --> 00:00:23.440]  在靈性主導先,我們一起再次打開這段聖經
[00:00:23.440 --> 00:00:26.160]  我們一起去讀一下這段經文
[00:00:26.160 --> 00:00:30.200]  我們會一起以和合本的版本一起去讀
[00:00:30.200 --> 00:00:33.440]  約爾書第一章第15節
[00:00:33.440 --> 00:00:37.360]  哀哉!耀華的日子臨近了
[00:00:37.360 --> 00:00:42.360]  這日來到,好像毀滅從全能者來到
[00:00:42.360 --> 00:00:46.360]  良食不是在我們眼前斷絕了嗎?
[00:00:46.360 --> 00:00:52.040]  歡喜快樂不是從我們上帝的殿中止息了嗎?
[00:00:52.040 --> 00:00:57.240]  有一次,當我剛剛搬家不久後
[00:00:57.240 --> 00:01:02.040]  我爸爸就說,不如我過來旅行探望你吧
[00:01:02.040 --> 00:01:04.040]  我當然很開心
[00:01:04.040 --> 00:01:08.440]  於是他就來到我家,一方面旅行
[00:01:08.440 --> 00:01:13.600]  順便也想看看我搬去的新屋是怎樣的
[00:01:13.600 --> 00:01:16.600]  當然每一個弟兄姐妹都明白到
[00:01:16.600 --> 00:01:19.600]  當我們搬進新屋的時候
[00:01:19.600 --> 00:01:25.600]  就有很多東西需要安裝,修補,修製等等
[00:01:25.600 --> 00:01:28.600]  特別其中一樣東西就是很多窗
[00:01:28.600 --> 00:01:33.600]  很多時候我們搬進新屋的時候
[00:01:33.600 --> 00:01:36.600]  第一件事就是要安裝窗簾
[00:01:36.600 --> 00:01:40.600]  安裝窗簾當然有很多種方法
[00:01:40.600 --> 00:01:47.600]  安裝窗簾之前,我們會買一些像風琴的摺紙
[00:01:47.600 --> 00:01:51.600]  然後貼在窗上,遮住
[00:01:51.600 --> 00:01:54.600]  希望能夠一方面有些私隱
[00:01:54.600 --> 00:01:59.600]  但更重要的一件事就是用來做一個防盜的作用
[00:01:59.600 --> 00:02:02.600]  免得讓人看見屋子裡有沒有人住
[00:02:02.600 --> 00:02:04.600]  如果沒有人住,或者趁你沒有人的時候
[00:02:04.600 --> 00:02:09.600]  有人會進來爆竊,是很有可能性的
[00:02:09.600 --> 00:02:11.600]  所以為什麼呢?
[00:02:11.600 --> 00:02:15.600]  通常第一件事我們都會安裝窗簾
[00:02:15.600 --> 00:02:19.600]  我爸爸那次來到,就看見我
[00:02:19.600 --> 00:02:24.600]  在這裡安裝窗簾,我就說是要安裝窗簾
[00:02:24.600 --> 00:02:29.600]  於是乎怎樣呢?大家都知道要安裝窗簾布
[00:02:29.600 --> 00:02:34.600]  第一件事當然是在窗的窗眉上
[00:02:34.600 --> 00:02:37.600]  安裝一條長的鐵通
[00:02:37.600 --> 00:02:41.600]  然後把窗簾布穿進去鐵通裡面
[00:02:41.600 --> 00:02:44.600]  或者用一些環扣起來
[00:02:44.600 --> 00:02:47.600]  在那時候第一件事,要安裝鐵通
[00:02:47.600 --> 00:02:51.600]  當然是要鑽幾個洞
[00:02:51.600 --> 00:02:54.600]  然後用扣扣住在牆上
[00:02:54.600 --> 00:02:57.600]  然後把鐵通裝上去
[00:02:57.600 --> 00:03:03.600]  然後把鐵通穿上窗簾布去遮住
[00:03:03.600 --> 00:03:07.600]  那時候我都預備好了
[00:03:07.600 --> 00:03:10.600]  於是窗簾布也買了
[00:03:10.600 --> 00:03:16.600]  鐵通也在一間大型的連鎖裝修公司
[00:03:16.600 --> 00:03:19.600]  家具公司那裡買了回來
[00:03:19.600 --> 00:03:23.600]  於是乎我就量好位置,鑽好洞
[00:03:23.600 --> 00:03:25.600]  準備上那兩個卡位
[00:03:25.600 --> 00:03:28.600]  然後把鐵通穿上去
[00:03:28.600 --> 00:03:30.600]  應該就馬到工程了
[00:03:30.600 --> 00:03:35.600]  我爸爸在過程當中就不作聲
[00:03:35.600 --> 00:03:37.600]  他就說你做鐵通?
[00:03:37.600 --> 00:03:39.600]  他就一直站在我旁邊,不作聲
[00:03:39.600 --> 00:03:43.600]  只是看我搞得怎麼樣
[00:03:43.600 --> 00:03:45.600]  他也沒有說要幫我
[00:03:45.600 --> 00:03:46.600]  我也不想他幫忙
[00:03:46.600 --> 00:03:48.600]  免得他來旅行
[00:03:48.600 --> 00:03:50.600]  爬上爬下跌倒
[00:03:50.600 --> 00:03:52.600]  我也搞不定
[00:03:52.600 --> 00:03:54.600]  於是乎我就做了
[00:03:54.600 --> 00:03:56.600]  洞也鑽好了
[00:03:56.600 --> 00:04:00.600]  上了牆的膠質之後
[00:04:00.600 --> 00:04:04.600]  準備把扣和螺絲上去
[00:04:04.600 --> 00:04:05.600]  釘上牆
[00:04:05.600 --> 00:04:08.600]  應該就三爬兩步就搞定了
[00:04:08.600 --> 00:04:10.600]  誰不知在這個時候
[00:04:10.600 --> 00:04:14.600]  我突然發現原來買回來的窗簾布
[00:04:14.600 --> 00:04:17.600]  那條鐵通的扣
[00:04:17.600 --> 00:04:19.600]  原來上面的螺絲釘
[00:04:19.600 --> 00:04:22.600]  全部的頂部
[00:04:22.600 --> 00:04:25.600]  原來都是方形的接頭
[00:04:25.600 --> 00:04:33.600]  我發現我根本沒有方形的螺絲扣
[00:04:33.600 --> 00:04:36.600]  接不到接頭
[00:04:36.600 --> 00:04:39.600]  於是就沒辦法
[00:04:39.600 --> 00:04:41.600]  唯有收工
[00:04:41.600 --> 00:04:45.600]  時間日落
[00:04:45.600 --> 00:04:48.600]  也無謂搞這麼多
[00:04:48.600 --> 00:04:49.600]  就收起來吧
[00:04:49.600 --> 00:04:52.600]  去買螺絲扣也買不及
[00:04:52.600 --> 00:04:54.600]  然後收拾東西的時候
[00:04:54.600 --> 00:04:56.600]  我爸爸問我弄完了嗎
[00:04:56.600 --> 00:04:59.600]  我說還沒有
[00:04:59.600 --> 00:05:01.600]  他說為何不把它弄好
[00:05:01.600 --> 00:05:07.600]  我說因為我發現原來買錯了螺絲釘
[00:05:07.600 --> 00:05:09.600]  他說什麼錯
[00:05:09.600 --> 00:05:12.600]  我說你看看螺絲釘上面是方形的
[00:05:12.600 --> 00:05:15.600]  我沒有方形的螺絲扣
[00:05:15.600 --> 00:05:16.600]  根本扭不上去
[00:05:16.600 --> 00:05:18.600]  那怎麼弄呢
[00:05:18.600 --> 00:05:21.600]  他說那你有個什麼螺絲扣
[00:05:21.600 --> 00:05:23.600]  我剛才看到你在鑽東西
[00:05:23.600 --> 00:05:25.600]  有很多工具
[00:05:25.600 --> 00:05:26.600]  我說是呀
[00:05:26.600 --> 00:05:28.600]  我每個都有的
[00:05:28.600 --> 00:05:30.600]  不過我沒想到它是方形的
[00:05:30.600 --> 00:05:31.600]  我只有十字頭
