
[00:00:00.000 --> 00:00:08.000]  在未講到之前有兩件事值得跟大家分享
[00:00:08.000 --> 00:00:13.000]  第一件事是我很高興的
[00:00:13.000 --> 00:00:16.000]  Eric我和你星期二談完之後
[00:00:16.000 --> 00:00:20.000]  他願意相信完全在主的裏面
[00:00:20.000 --> 00:00:25.000]  所以弟兄姊妹以後可以叫Eric做弟兄
[00:00:25.000 --> 00:00:30.000]  但我希望弟兄姊妹繼續幫助Eric一起成長
[00:00:30.000 --> 00:00:33.000]  這份祈求主能夠幫助我們
[00:00:33.000 --> 00:00:36.000]  這是第一件事我想跟大家分享
[00:00:36.000 --> 00:00:40.000]  第二件事也是一件很開心的事
[00:00:40.000 --> 00:00:45.000]  原來在網上聽講道的弟兄姊妹很留心
[00:00:45.000 --> 00:00:48.000]  在上星期的講道裏面
[00:00:48.000 --> 00:00:52.000]  曾經我提及過一位姊妹的奉獻
[00:00:52.000 --> 00:00:55.000]  這個姊妹後來再聯絡我
[00:00:55.000 --> 00:00:59.000]  她再詳細解釋多一點給我看
[00:00:59.000 --> 00:01:04.000]  為何她會在年初的時候奉獻給我們教會
[00:01:04.000 --> 00:01:06.000]  在上帝的工作裏面
[00:01:06.000 --> 00:01:09.000]  她說其中有一樣事就是
[00:01:09.000 --> 00:01:13.000]  她不想牧師你經常要處理我每個月的奉獻
[00:01:13.000 --> 00:01:15.000]  減省你的工作
[00:01:15.000 --> 00:01:18.000]  我其實很體會到這些弟兄姊妹
[00:01:18.000 --> 00:01:20.000]  特別是這位姊妹的關懷
[00:01:20.000 --> 00:01:24.000]  她有其他弟兄姊妹也很關心我
[00:01:24.000 --> 00:01:27.000]  例如有時她看到我
[00:01:27.000 --> 00:01:29.000]  牧師你突然戴口罩
[00:01:29.000 --> 00:01:31.000]  是否有甚麼問題
[00:01:31.000 --> 00:01:33.000]  會走來問我
[00:01:33.000 --> 00:01:35.000]  我很感恩
[00:01:35.000 --> 00:01:38.000]  我能夠在主的裏面有這樣的弟兄姊妹
[00:01:38.000 --> 00:01:41.000]  能夠在網上我們可以結交
[00:01:41.000 --> 00:01:44.000]  第二件事我覺得很值得跟大家分享
[00:01:44.000 --> 00:01:52.000]  她說為何奉獻給我們馬來西亞的侍奉或侍工
[00:01:52.000 --> 00:01:56.000]  在神的國裏面有這樣的工作
[00:01:56.000 --> 00:01:59.000]  原來她在上帝裏面許了一個願
[00:01:59.000 --> 00:02:03.000]  她說許了願就要成立一個願
[00:02:03.000 --> 00:02:06.000]  這個說法我很被觸動
[00:02:06.000 --> 00:02:09.000]  因為我們上帝就是這樣的一位上帝
[00:02:09.000 --> 00:02:11.000]  祂言出必行
[00:02:11.000 --> 00:02:12.000]  基督徒的特色也是
[00:02:12.000 --> 00:02:14.000]  言出必行
[00:02:14.000 --> 00:02:18.000]  有時我們做了一些決定或委身
[00:02:18.000 --> 00:02:24.000]  未必是後來覺得很勉強
[00:02:24.000 --> 00:02:25.000]  廣東話說的
[00:02:25.000 --> 00:02:26.000]  剛剛做得到
[00:02:26.000 --> 00:02:29.000]  但仍然很努力去做
[00:02:29.000 --> 00:02:31.000]  沒有在上帝裏面去拖數
[00:02:31.000 --> 00:02:35.000]  所以我覺得這件事很值得跟大家分享
[00:02:35.000 --> 00:02:37.000]  亦很感恩有一位姊妹
[00:02:37.000 --> 00:02:39.000]  作了這樣的見證給我們
[00:02:39.000 --> 00:02:42.000]  我要強調的不是錢的問題
[00:02:42.000 --> 00:02:45.000]  從來不是錢的問題
[00:02:45.000 --> 00:02:48.000]  而是在上帝裏面
[00:02:48.000 --> 00:02:50.000]  我侍奉這二十多年
[00:02:50.000 --> 00:02:53.000]  二十七、二十八年裏面
[00:02:53.000 --> 00:02:54.000]  我覺得是很祝福
[00:02:54.000 --> 00:02:57.000]  雖然不是像教會那樣
[00:02:57.000 --> 00:02:59.000]  很豐富的奉獻
[00:02:59.000 --> 00:03:02.000]  甚至試過很長一段時間
[00:03:02.000 --> 00:03:04.000]  長期赤字
[00:03:04.000 --> 00:03:10.000]  但上帝給我們國安自己的能力
[00:03:10.000 --> 00:03:12.000]  上帝也很恩待我
[00:03:12.000 --> 00:03:13.000]  給我能力
[00:03:13.000 --> 00:03:18.000]  還可以有我讀過的書
[00:03:18.000 --> 00:03:20.000]  可以用得著
[00:03:20.000 --> 00:03:25.000]  可以幫助去解困教會一些財務上的重擔
[00:03:25.000 --> 00:03:27.000]  所以從來不是錢的問題
[00:03:27.000 --> 00:03:29.000]  希望在這方面
[00:03:29.000 --> 00:03:30.000]  大家一起大兄姊妹
[00:03:30.000 --> 00:03:32.000]  有這樣的分享
[00:03:32.000 --> 00:03:35.000]  今天我會和大家一起去看的經文
[00:03:35.000 --> 00:03:40.000]  就是《馬大福音》第20章第29至34節
[00:03:40.000 --> 00:03:41.000]  其實如果大家看回
[00:03:41.000 --> 00:03:43.000]  侯小姐、侯昇、彭玲讀的時候
[00:03:43.000 --> 00:03:46.000]  這段經文也很短
[00:03:46.000 --> 00:03:52.000]  但是裏面的意義很深
[00:03:52.000 --> 00:03:55.000]  我想和大家用多一點時間
[00:03:55.000 --> 00:03:58.000]  一起思想一下這段經文
[00:03:58.000 --> 00:04:00.000]  不過在這段經文裏面
[00:04:00.000 --> 00:04:01.000]  當我們去讀的時候
[00:04:01.000 --> 00:04:02.000]  我們也會發現到
[00:04:02.000 --> 00:04:04.000]  這段經文其實是談論到
[00:04:04.000 --> 00:04:07.000]  有兩個黑眼的人
[00:04:07.000 --> 00:04:09.000]  而這兩個黑眼的人
[00:04:09.000 --> 00:04:13.000]  經歷了耶穌基督的一個神蹟
[00:04:13.000 --> 00:04:16.000]  引導一個題目
[00:04:16.000 --> 00:04:19.000]  就是神蹟的施行
[00:04:19.000 --> 00:04:21.000]  今天很多時候
[00:04:21.000 --> 00:04:23.000]  信徒很想信耶穌
[00:04:23.000 --> 00:04:26.000]  有些神蹟的經驗
[00:04:26.000 --> 00:04:29.000]  我不怕這樣說給大家聽
[00:04:29.000 --> 00:04:32.000]  我自己去奉獻
[00:04:32.000 --> 00:04:34.000]  侍奉上主的時候
[00:04:34.000 --> 00:04:37.000]  也曾經有過這樣的經歷
[00:04:37.000 --> 00:04:39.000]  我不像有些傳道人
[00:04:39.000 --> 00:04:41.000]  他們分享他為什麼
[00:04:41.000 --> 00:04:45.000]  去成為一個全時間的傳道人
[00:04:45.000 --> 00:04:47.000]  他們有一些神蹟奇事
[00:04:47.000 --> 00:04:50.000]  在他身上發生
[00:04:50.000 --> 00:04:51.000]  有些甚至說到
[00:04:51.000 --> 00:04:54.000]  因為神蹟發生在他身上
[00:04:54.000 --> 00:04:58.000]  於是他侍奉上帝
[00:04:58.000 --> 00:05:04.000]  這種經驗也讓我猶豫
[00:05:04.000 --> 00:05:06.000]  究竟我在上帝裡面的呼召
[00:05:06.000 --> 00:05:09.000]  究竟是否上帝的呼召
[00:05:09.000 --> 00:05:11.000]  還是我個人的取向
[00:05:11.000 --> 00:05:14.000]  或者是自己個人的喜好
[00:05:14.000 --> 00:05:17.000]  因為我也在教會裡發現到
