
[00:00:00.000 --> 00:00:06.280]  今天我們要結束了《生命記》
[00:00:06.280 --> 00:00:08.280]  我們講《生命記》都差不多半年了
[00:00:08.280 --> 00:00:11.400]  今天講到最後是兩章的經文
[00:00:11.400 --> 00:00:14.200]  33章和34章
[00:00:14.200 --> 00:00:17.320]  其實都是講到摩西臨死
[00:00:17.320 --> 00:00:19.320]  給12支派的祝福
[00:00:19.320 --> 00:00:21.560]  然後祝福完了之後
[00:00:21.560 --> 00:00:23.560]  他就個人上去尼泊爾山
[00:00:23.560 --> 00:00:27.080]  然後他就在那裏死了
[00:00:27.080 --> 00:00:31.080]  這個題目我想一下應該叫做什麼呢
[00:00:31.080 --> 00:00:33.080]  想了很久都想不到
[00:00:33.080 --> 00:00:39.200]  後來看到摩西在《生命記》33章25節
[00:00:39.200 --> 00:00:41.200]  就是剛才讀的經文
[00:00:41.200 --> 00:00:45.200]  摩西和阿徹這個支派
[00:00:45.200 --> 00:00:47.200]  他說你的日子如何
[00:00:47.200 --> 00:00:49.200]  你的力量也是如何
[00:00:49.200 --> 00:00:53.880]  我相信這個題目對摩西來說
[00:00:53.880 --> 00:00:55.880]  也是非常的貼切
[00:00:55.880 --> 00:00:58.880]  摩西一生人他的日子如何
[00:00:58.880 --> 00:01:00.880]  他的力量也是如何
[00:01:00.880 --> 00:01:05.880]  今天會和大家看看三個重點
[00:01:05.880 --> 00:01:07.880]  第一個就是摩西
[00:01:07.880 --> 00:01:11.880]  神人摩西究竟他的力量從何而來
[00:01:11.880 --> 00:01:13.880]  我們說他的日子如何
[00:01:13.880 --> 00:01:15.880]  他的力量如何
[00:01:15.880 --> 00:01:17.880]  到底他的力量從何而來
[00:01:17.880 --> 00:01:20.880]  第二個要和大家講的就是
[00:01:20.880 --> 00:01:23.880]  他到底是依靠誰的力量
[00:01:23.880 --> 00:01:26.880]  第三點要和大家看的
[00:01:26.880 --> 00:01:30.880]  就是一個有神力量的人在身上的人
[00:01:30.880 --> 00:01:32.880]  他究竟有什麼特徵
[00:01:32.880 --> 00:01:34.880]  好像摩西一樣
[00:01:34.880 --> 00:01:36.880]  所以今天會和大家講這三點
[00:01:36.880 --> 00:01:41.880]  我們先看看摩西力量的來源
[00:01:41.880 --> 00:01:44.880]  摩西在《生命記》33章第一節
[00:01:44.880 --> 00:01:46.880]  他叫自己做神人
[00:01:46.880 --> 00:01:50.880]  這個字在聖經裏面
[00:01:50.880 --> 00:01:54.880]  是第一次出現在《生命記》33章第一節
[00:01:54.880 --> 00:02:00.880]  摩西是一個和神面對面說話
[00:02:00.880 --> 00:02:02.880]  是與神同行的人
[00:02:02.880 --> 00:02:06.880]  毫無疑問摩西的力量是從神那裏來的
[00:02:06.880 --> 00:02:11.880]  因為我們見到摩西最後給十二支派的祝福
[00:02:11.880 --> 00:02:14.880]  是滿有寓言在裏面的
[00:02:14.880 --> 00:02:18.880]  我們知道寓言是我們自己要說就說得出來
[00:02:18.880 --> 00:02:22.880]  摩西是有神而來的力量
[00:02:22.880 --> 00:02:26.880]  能夠說出很多日後的寓言
[00:02:26.880 --> 00:02:31.880]  我們先來看看這個祝福
[00:02:31.880 --> 00:02:35.880]  其實摩西的祝福在《生命記》33章
[00:02:35.880 --> 00:02:39.880]  和《創世記》49章有很多相似的地方
[00:02:39.880 --> 00:02:43.880]  因為《創世記》49章是說到雅各
[00:02:43.880 --> 00:02:45.880]  記不記得雅各有很多兒子
[00:02:45.880 --> 00:02:47.880]  雅各有十二個兒子
[00:02:47.880 --> 00:02:50.880]  日後變成了十二支派
[00:02:50.880 --> 00:02:53.880]  他在《創世記》49章
[00:02:53.880 --> 00:02:56.880]  是為了十二個兒子來祝福
[00:02:56.880 --> 00:03:01.880]  也是與我們今天《生命記》33章所說的很相似
[00:03:01.880 --> 00:03:04.880]  我們從這兩個祝福
[00:03:04.880 --> 00:03:09.880]  就是《創世記》49章和《生命記》33章
[00:03:09.880 --> 00:03:13.880]  從每個支派被祝福的篇幅
[00:03:13.880 --> 00:03:17.880]  我們就能夠知道哪些支派是比較重要
[00:03:17.880 --> 00:03:22.880]  重要的支派有更多的祝福
[00:03:22.880 --> 00:03:24.880]  就好像猶大支派
[00:03:24.880 --> 00:03:26.880]  就好像約瑟
[00:03:26.880 --> 00:03:27.880]  約瑟有兩個兒子
[00:03:27.880 --> 00:03:29.880]  以法蓮和馬拿西
[00:03:29.880 --> 00:03:31.880]  都有很多祝福
[00:03:31.880 --> 00:03:32.880]  還有彈的支派
[00:03:32.880 --> 00:03:34.880]  還有利美的支派
[00:03:34.880 --> 00:03:37.880]  但我們也會說劉便
[00:03:37.880 --> 00:03:40.880]  劉便支派他得到的祝福不多
[00:03:40.880 --> 00:03:43.880]  但因為劉便是雅各的長子
[00:03:43.880 --> 00:03:46.880]  所以值得我們一提
[00:03:46.880 --> 00:03:51.880]  我們先看看摩西對猶大的祝福
[00:03:51.880 --> 00:03:54.880]  在這裡雅各的祝福就是
[00:03:54.880 --> 00:03:57.880]  《創世記》49章9節
[00:03:57.880 --> 00:04:00.880]  雅各叫猶大做小獅子
[00:04:00.880 --> 00:04:02.880]  所以很有趣
[00:04:02.880 --> 00:04:04.880]  你如果注意的話
[00:04:04.880 --> 00:04:07.880]  猶大人的軍旗
[00:04:07.880 --> 00:04:09.880]  他們會行軍安營
[00:04:09.880 --> 00:04:12.880]  每個支派都有軍旗
[00:04:12.880 --> 00:04:14.880]  猶大的軍旗就是一隻獅子
[00:04:14.880 --> 00:04:18.880]  他們就是東面的軍隊的領袖
