
[00:00:00.000 --> 00:00:22.000]  在新約聖經裏面,27卷書,接近一半,13卷,是使徒保羅執筆寫成的。
[00:00:22.000 --> 00:00:27.000]  如果多寫一卷書,就過半數了。
[00:00:27.000 --> 00:00:32.000]  不過希伯來書應該與他無關,
[00:00:32.000 --> 00:00:41.000]  雖然過去有很多人都很想將希伯來書放入保羅書信的系列。
[00:00:41.000 --> 00:00:46.000]  其實保羅書信是源於《肥利門書》,
[00:00:46.000 --> 00:00:50.000]  雖然《肥利門書》是最短的一卷,
[00:00:50.000 --> 00:00:59.000]  很多人留意到13封保羅書信是由最長的一封排到最短的一封。
[00:00:59.000 --> 00:01:04.000]  你有沒有數過?有沒有留意?從來都沒有印象是這樣。
[00:01:04.000 --> 00:01:08.000]  最後的一封沒有第幾張。
[00:01:08.000 --> 00:01:10.000]  如果你說《肥利門書》第幾張?
[00:01:10.000 --> 00:01:14.000]  那麼《信主年日》就淺一點了。
[00:01:14.000 --> 00:01:19.000]  《肥利門書》是說第幾節的,因為只有一張。
[00:01:19.000 --> 00:01:34.000]  但是這一封書信充滿了保羅與當時教會的弟兄很深厚的關係。
[00:01:34.000 --> 00:01:39.000]  不單止與肥利門長老一家,
[00:01:39.000 --> 00:01:42.000]  特別是與他的奴隸,
[00:01:42.000 --> 00:01:46.000]  記得嗎?亞尼西姆。
[00:01:46.000 --> 00:01:48.000]  亞尼西姆是誰呢?
[00:01:48.000 --> 00:01:55.000]  公元110年,教會留下的文獻,
[00:01:55.000 --> 00:02:02.000]  就有其中安提阿教會的主教,
[00:02:02.000 --> 00:02:07.000]  Ignatius,拉丁文的名字,中文翻譯得很差,
[00:02:07.000 --> 00:02:12.000]  叫做伊格那丁,這是譯音而已。
[00:02:12.000 --> 00:02:16.000]  Ignatius是安提阿教會的主教牧師,
[00:02:16.000 --> 00:02:22.000]  他被羅馬政府拉去羅馬,
[00:02:22.000 --> 00:02:25.000]  要準備公審,
[00:02:25.000 --> 00:02:30.000]  然後就被扔進了鬥獸場殉道。
[00:02:30.000 --> 00:02:35.000]  所以他由安提阿起程坐船去羅馬的途中,
[00:02:35.000 --> 00:02:40.000]  他就寫了七封書信給當時七個教會,
[00:02:40.000 --> 00:02:49.000]  他是效法史圖約翰啟示錄寫七封書信的榜樣,
[00:02:49.000 --> 00:02:53.000]  所以每一個人做事都不是隨便的。
[00:02:53.000 --> 00:02:59.000]  頭一封書信他又像史圖約翰那樣寫給爾忽所教會,
[00:02:59.000 --> 00:03:05.000]  爾忽所教會當時的主教牧師,你知道是誰嗎?
[00:03:05.000 --> 00:03:09.000]  這封書信就特別提到,
[00:03:09.000 --> 00:03:13.000]  亞尼西姆。
[00:03:13.000 --> 00:03:15.000]  所以聖經學者認為,
[00:03:15.000 --> 00:03:18.000]  保羅的書信大概是在爾忽所教會
[00:03:18.000 --> 00:03:24.000]  搜集、編輯,然後成為新約的一部分。
[00:03:24.000 --> 00:03:30.000]  你可以想像公元110年、115年,
[00:03:30.000 --> 00:03:36.000]  亞尼西姆年老開大會,
[00:03:36.000 --> 00:03:41.000]  把保羅寫給眾教會的書信都集合起來,
[00:03:41.000 --> 00:03:44.000]  寫給爾忽所教會的、寫給菲勒比教會的、
[00:03:44.000 --> 00:03:47.000]  寫給帖薩諾尼加的教會有兩封,
