
[00:00:00.000 --> 00:00:04.280]  各位大兄姐妹平安
[00:00:04.280 --> 00:00:09.360]  今日我們分享的題目是耶穌的安葬和復活
[00:00:09.360 --> 00:00:13.120]  亦來到馬可畢夏的耶穌最後一講
[00:00:13.120 --> 00:00:16.520]  因為最後就是復活然後升天
[00:00:16.520 --> 00:00:20.000]  上次大家應該還記得耶穌釘十字架
[00:00:20.000 --> 00:00:25.360]  被釘十字架的釘痕極有可能在這裡
[00:00:25.360 --> 00:00:27.160]  而不是在手腕
[00:00:27.160 --> 00:00:29.440]  而另外腳大家還記得哪個位置嗎?
[00:00:29.440 --> 00:00:31.760]  看到嗎? 仍有剩下吧?
[00:00:31.760 --> 00:00:36.720]  極有可能都是在腳眼那裡穿進去
[00:00:36.720 --> 00:00:39.200]  因為曾經找到第一世紀
[00:00:39.200 --> 00:00:42.720]  被釘十字架的一隻腳的骨頭
[00:00:42.720 --> 00:00:45.120]  真的在那個位置釘進去
[00:00:45.120 --> 00:00:48.240]  今天來到約翰福音19:38
[00:00:48.240 --> 00:00:50.480]  他說這件事之後
[00:00:50.480 --> 00:00:53.920]  即是說耶穌被釘十字架之後
[00:00:53.920 --> 00:00:55.920]  拿了下來發生了什麼事呢?
[00:00:55.920 --> 00:00:57.840]  有一個人不知道你認不認識他
[00:00:57.840 --> 00:00:59.280]  有沒有聽過他這個名字
[00:00:59.280 --> 00:01:01.600]  他只是在聖經裡出現過一次
[00:01:01.600 --> 00:01:05.440]  在四福音同時間出現過一次
[00:01:05.440 --> 00:01:10.480]  這個人在一個地方叫做亞利馬太的藥室
[00:01:10.480 --> 00:01:13.120]  亞利馬太是一個地方
[00:01:13.120 --> 00:01:15.120]  他去找比拉多
[00:01:15.120 --> 00:01:18.560]  比拉多就是當天那裡最大的
[00:01:18.560 --> 00:01:20.320]  他最後要拍板
[00:01:20.320 --> 00:01:24.240]  然後就說要耶穌釘十字架
[00:01:24.240 --> 00:01:25.360]  雖然他不想
[00:01:25.360 --> 00:01:28.160]  雖然他說可以放其他的囚犯
[00:01:28.160 --> 00:01:31.200]  但那些人無論如何都要釘耶穌
[00:01:31.200 --> 00:01:33.920]  最後比拉多拍板說
[00:01:33.920 --> 00:01:36.240]  OK 他已經死了
[00:01:36.240 --> 00:01:38.080]  可以拿下來
[00:01:38.080 --> 00:01:39.280]  因為叫那些士兵
[00:01:39.280 --> 00:01:41.840]  記不記得插到耶穌的肋旁
[00:01:41.840 --> 00:01:44.240]  有血和水流出來
[00:01:44.240 --> 00:01:46.880]  這個人竟然可以去到
[00:01:46.880 --> 00:01:48.480]  直接找比拉多
[00:01:48.480 --> 00:01:49.440]  他要什麼?
[00:01:49.440 --> 00:01:51.840]  要耶穌的身體
