
[00:00:00.000 --> 00:00:10.000]  今天跟大家一起思想的經文是出自於馬太福音的第三章第13至17節
[00:00:10.000 --> 00:00:15.600]  我給了一個標題叫做「配得起盡諸般的義」
[00:00:15.600 --> 00:00:18.240]  我很喜歡看電影的
[00:00:18.240 --> 00:00:22.800]  我相信大家很多電影師妹都有這個興趣
[00:00:22.800 --> 00:00:25.760]  往往當我們看電影的時候
[00:00:25.760 --> 00:00:28.800]  很多人都會去專注留心
[00:00:28.800 --> 00:00:31.680]  看這部電影裡的男主角、女主角
[00:00:31.680 --> 00:00:34.160]  究竟他們的演技是如何
[00:00:34.160 --> 00:00:38.240]  當然這個也是我欣賞電影的時候
[00:00:38.240 --> 00:00:41.360]  很多時候其中一個會去欣賞的地方
[00:00:41.360 --> 00:00:45.440]  不過更加很多時候我著意去留心的
[00:00:45.440 --> 00:00:49.440]  就不是這些男女主角究竟他們做得怎麼樣
[00:00:49.440 --> 00:00:52.160]  更重要的我很多時候會留意到
[00:00:52.160 --> 00:00:55.920]  在他身邊其他的那些我們稱之為配角
[00:00:55.920 --> 00:01:00.800]  甚至有時候我們稱之為「Care Free」的演員
[00:01:00.800 --> 00:01:02.080]  他們的表現
[00:01:02.080 --> 00:01:05.360]  因為我明白到每一個角色
[00:01:05.360 --> 00:01:08.960]  不只是有男女主角那部電影就一定好看的
[00:01:08.960 --> 00:01:13.840]  其實是要透過不同的人物在這部電影裡
[00:01:13.840 --> 00:01:18.960]  將主角的主題或者這部電影的主旨
[00:01:18.960 --> 00:01:23.520]  導演想演繹出的主要的訊息能夠將它準確傳遞
[00:01:23.520 --> 00:01:28.640]  其實很多時候這些配角或者這些所謂「Care Free」
[00:01:28.640 --> 00:01:32.000]  其實都是一個很重要的環節
[00:01:32.000 --> 00:01:35.760]  一部電影有時候它的成敗真的很視乎於
[00:01:35.760 --> 00:01:40.480]  這些伴著的綠葉究竟能不能夠真是
[00:01:40.480 --> 00:01:45.280]  將主角控托甚至將主題能夠突顯出來
[00:01:45.280 --> 00:01:48.160]  所以很多時候我去看這些電影
[00:01:48.160 --> 00:01:52.800]  我都會去留心看看這些配角他們的演技是如何
[00:01:52.800 --> 00:01:58.880]  我記得有一次當我去看到一個訪問
[00:01:58.880 --> 00:02:01.360]  訪問到一個不是主角的
[00:02:01.360 --> 00:02:02.720]  通常都是做一些配角
[00:02:02.720 --> 00:02:07.360]  甚至他最初只是做一些「Care Free」的角色的人物
[00:02:07.360 --> 00:02:12.320]  他的名字大家可能會聽過叫做廖啟智
[00:02:12.320 --> 00:02:16.320]  這位演員其實是我挺欣賞的一位演員
[00:02:16.320 --> 00:02:20.400]  因為他在整個演藝的過程當中
[00:02:20.400 --> 00:02:25.360]  他從來可以說真的沒有什麼機會去做主角
[00:02:25.360 --> 00:02:29.920]  而且他的樣子也不是以英俊為主題
[00:02:29.920 --> 00:02:33.680]  不過從他整個演戲人生裡面
[00:02:33.680 --> 00:02:37.120]  其實他給我一個很重要的學習
[00:02:37.120 --> 00:02:41.920]  我還記得我最初留意到這位演員的時候
[00:02:41.920 --> 00:02:45.680]  他最初只是做一個很閒的角色
[00:02:45.680 --> 00:02:49.280]  在以前我們年紀還很年輕的時候
[00:02:49.280 --> 00:02:53.920]  在電視有一套劇集叫做《民間傳奇》
[00:02:53.920 --> 00:02:57.840]  他在那個時候才開始去學習做演員
[00:02:57.840 --> 00:03:02.160]  在這些《民間傳奇》的劇集裡面
[00:03:02.160 --> 00:03:03.920]  他通常都是做一些閒角
[00:03:03.920 --> 00:03:09.040]  或者是做一些小卒、士兵、胸口掛著勇字那些
[00:03:09.040 --> 00:03:10.960]  連對白有時候都是「係」
[00:03:10.960 --> 00:03:14.560]  只有一句左右的演員
[00:03:14.560 --> 00:03:18.400]  但是有一次有人去訪問他
[00:03:18.400 --> 00:03:21.200]  因為他做了這麼多年的戲之後
[00:03:21.200 --> 00:03:25.120]  漸漸開始做戲別人會覺得他很有味道
[00:03:25.120 --> 00:03:27.360]  就訪問他 問他
[00:03:27.360 --> 00:03:28.960]  請問一下你
