
[00:00:00.000 --> 00:00:06.800]  羅馬書第十講 羅馬書第四章
[00:00:06.800 --> 00:00:12.160]  今天的題目是阿伯蘭怎被算為異人
[00:00:12.160 --> 00:00:15.800]  阿伯蘭是誰?阿伯蘭就是阿伯拉罕
[00:00:15.800 --> 00:00:18.000]  我們知道他後來改名
[00:00:18.000 --> 00:00:22.160]  神將他的名字由阿伯蘭改為阿伯拉罕
[00:00:22.160 --> 00:00:27.400]  今天就要看阿伯拉罕究竟是怎樣被神稱為異人
[00:00:27.400 --> 00:00:30.800]  我們有兩星期沒有講羅馬書
[00:00:30.800 --> 00:00:34.400]  所以需要有少許溫習一下
[00:00:34.400 --> 00:00:37.800]  羅馬書一章至三章二十節
[00:00:37.800 --> 00:00:41.800]  保羅告訴我們所有人都是罪人
[00:00:41.800 --> 00:00:44.800]  完全沒有例外 個個都是罪人
[00:00:44.800 --> 00:00:48.800]  這是壞消息 但好消息是什麼?
[00:00:48.800 --> 00:00:53.200]  在羅馬書三章二十一至三十一節
[00:00:53.200 --> 00:00:57.800]  告訴我們一個罪人怎樣能與神和好
[00:00:57.800 --> 00:01:00.600]  怎樣能被神稱為異人
[00:01:00.600 --> 00:01:03.000]  怎樣能得救
[00:01:03.000 --> 00:01:07.000]  在羅馬書第四章就是今天的經文
[00:01:07.000 --> 00:01:11.000]  保羅給了一個例子給我們 就是阿伯拉罕
[00:01:11.000 --> 00:01:13.200]  我上次都和大家講過
[00:01:13.200 --> 00:01:16.000]  這個和我學足圍棋很相似
[00:01:16.000 --> 00:01:19.600]  買圍棋書回來看會怎樣?
[00:01:19.600 --> 00:01:22.000]  先教你理論戰略
[00:01:22.000 --> 00:01:26.400]  然後給你一些實例讓你參考
[00:01:26.400 --> 00:01:31.400]  今天保羅在羅馬書第四章給了我們一個實例
[00:01:31.400 --> 00:01:33.800]  是阿伯拉罕的例子
[00:01:33.800 --> 00:01:38.000]  為什麼保羅要用阿伯拉罕做例子?
[00:01:38.000 --> 00:01:43.000]  因為阿伯拉罕受到以色列人極大的尊敬
[00:01:43.000 --> 00:01:45.800]  他是以色列人之父
[00:01:45.800 --> 00:01:49.000]  他的名字就是萬國之父
[00:01:49.000 --> 00:01:52.000]  他是以色列人的老祖宗
[00:01:52.000 --> 00:01:55.600]  在聖經裡也讚美阿伯拉罕
[00:01:55.600 --> 00:01:57.800]  說他是神的朋友
[00:01:57.800 --> 00:02:00.000]  有歷代之下的二十章
[00:02:00.000 --> 00:02:02.000]  以塞亞書的四十一章
[00:02:02.000 --> 00:02:04.000]  和雅各書的二章
[00:02:04.000 --> 00:02:07.400]  所以保羅就用阿伯拉罕來做例子
