
[00:00:00.000 --> 00:00:08.300]  好 很多時候我們都會去談論到
[00:00:08.300 --> 00:00:11.500]  這個傳道的問題
[00:00:11.500 --> 00:00:13.500]  究竟怎樣去傳福音呢
[00:00:13.500 --> 00:00:16.800]  於是教會很多年來都會有很多的學習
[00:00:16.800 --> 00:00:20.300]  教導 能夠去訓練信徒
[00:00:20.300 --> 00:00:26.400]  去做準確的傳福音的侍奉
[00:00:26.400 --> 00:00:29.400]  但是在我自己的經驗裡
[00:00:29.400 --> 00:00:31.800]  我發覺在教會這麼多年當中
[00:00:31.800 --> 00:00:34.800]  無論教會給多少訓練都好
[00:00:34.800 --> 00:00:38.600]  很多時候信徒一出去跟人談道的時候
[00:00:38.600 --> 00:00:41.600]  都很喜歡用到這個說法
[00:00:41.600 --> 00:00:45.100]  他就說 當然了 講了一大輪有關於
[00:00:45.100 --> 00:00:47.600]  耶穌的救恩 耶穌的拯救
[00:00:47.600 --> 00:00:51.400]  耶穌怎樣受洗 等等這些事蹟之後
[00:00:51.400 --> 00:00:53.800]  他就說 信耶穌啦
[00:00:53.800 --> 00:00:55.600]  信了耶穌之後
[00:00:55.600 --> 00:00:59.400]  你就可以求耶穌給你什麼東西
[00:00:59.400 --> 00:01:02.200]  去保守你在生命生活上面
[00:01:02.200 --> 00:01:04.600]  都能夠有很多的好處
[00:01:04.600 --> 00:01:07.000]  我曾經有一次跟一個
[00:01:07.000 --> 00:01:15.000]  真的有兩個博士的銜頭的一個
[00:01:15.000 --> 00:01:19.000]  年青才俊去談道的時候
[00:01:19.000 --> 00:01:20.800]  也都談論到這個問題
[00:01:20.800 --> 00:01:23.200]  他直接跟我說道
[00:01:23.200 --> 00:01:25.000]  他說為什麼我會去信耶穌呢
[00:01:25.000 --> 00:01:28.200]  因為信了耶穌可以耶穌保守
[00:01:28.200 --> 00:01:30.000]  供應很多的東西給我
[00:01:30.000 --> 00:01:32.800]  信上帝所有的宗教
[00:01:32.800 --> 00:01:35.400]  都只是源於這個基礎上面
[00:01:35.400 --> 00:01:38.200]  才會有人肯去相信
[00:01:38.200 --> 00:01:40.200]  那我就跟他解釋 我說
[00:01:40.200 --> 00:01:43.000]  倘若如果我告訴你
[00:01:43.000 --> 00:01:45.000]  信了耶穌之後
[00:01:45.000 --> 00:01:49.800]  而你所想所求是不會應有的話
[00:01:49.800 --> 00:01:52.400]  你還會不會信呢
[00:01:52.400 --> 00:01:56.200]  很諷刺地這位自稱為一個基督徒的人
[00:01:56.200 --> 00:01:58.000]  他竟然跟我說
[00:01:58.000 --> 00:02:00.000]  如果你告訴我
[00:02:00.000 --> 00:02:04.000]  信耶穌是沒有任何得益
[00:02:04.000 --> 00:02:05.600]  而是我所期望的東西
[00:02:05.600 --> 00:02:07.600]  也都不能夠得到實現的話
[00:02:07.600 --> 00:02:10.400]  我為什麼要相信這個神呢
[00:02:10.400 --> 00:02:15.200]  當我們去討論到傳道這個題目的時候
[00:02:15.200 --> 00:02:20.000]  很容易我們都會用回很多時候
[00:02:20.000 --> 00:02:22.600]  很多人對宗教的觀念
[00:02:22.600 --> 00:02:26.600]  信了你就可以求神去保佑你
[00:02:26.600 --> 00:02:30.800]  信了上帝就會在你的求當中
[00:02:30.800 --> 00:02:33.200]  去實現你和我的願望
[00:02:33.200 --> 00:02:36.800]  但是如果當我們再細心地去重新
[00:02:36.800 --> 00:02:40.600]  看回在聖經裡面的記載的時候
[00:02:40.600 --> 00:02:44.200]  特別我們在馬夫音去看到
[00:02:44.200 --> 00:02:47.000]  耶穌在第四章第一至十一節
[00:02:47.000 --> 00:02:51.400]  和魔鬼接受魔鬼的試探的時候
[00:02:51.400 --> 00:02:54.200]  我們竟然在聖經裡面
[00:02:54.200 --> 00:02:56.600]  發現到一件很重要的事
[00:02:56.600 --> 00:03:01.400]  原來如果我們只是虛擬信了耶穌
[00:03:01.400 --> 00:03:05.800]  耶穌就可以應驗你的所想所求
[00:03:05.800 --> 00:03:10.400]  用這樣來去印證上帝是有真有活的神
[00:03:10.400 --> 00:03:13.000]  這種這樣的報道方式
[00:03:13.000 --> 00:03:19.800]  原來是和魔鬼的傳道方式是同出一轍的
[00:03:19.800 --> 00:03:21.600]  所以當我們去看回在
[00:03:21.600 --> 00:03:24.200]  馬太福音的第四章裡面
[00:03:24.200 --> 00:03:29.400]  當聖靈帶耶穌去給魔鬼試探的時候
[00:03:29.400 --> 00:03:33.200]  魔鬼就使出他這個魔鬼報道法
[00:03:33.200 --> 00:03:37.200]  用吃的享受的榮譽的
[00:03:37.200 --> 00:03:41.600]  甚至在宗教層面上那種高人一等的條件
[00:03:41.600 --> 00:03:43.600]  去吸引人相信主
[00:03:43.600 --> 00:03:48.400]  這種魔鬼報道法實在是很吸引
[00:03:48.400 --> 00:03:52.600]  甚至魔鬼都用在耶穌基督身上
[00:03:52.600 --> 00:03:54.600]  但是耶穌有沒有接受呢?
[00:03:54.600 --> 00:03:56.000]  沒有
[00:03:56.000 --> 00:03:58.400]  那我們就要問一個問題
[00:03:58.400 --> 00:04:03.000]  既然耶穌都已經藉著在他被試探的
[00:04:03.000 --> 00:04:05.600]  這個過程當中
[00:04:05.600 --> 00:04:08.400]  告訴你和我知道
[00:04:08.400 --> 00:04:12.600]  這種的傳道方式是不對的時候
[00:04:12.600 --> 00:04:15.200]  為什麼這種的傳道方式
[00:04:15.200 --> 00:04:21.800]  仍然廣泛地去流行在今天的教會裡面呢?
[00:04:21.800 --> 00:04:28.800]  為什麼很多人為了要帶人進入基督教會裡面的時候
[00:04:28.800 --> 00:04:34.000]  就使用出這種好使好用的方式來吸引人呢?
[00:04:34.000 --> 00:04:37.000]  而也是耶穌不同意的
[00:04:37.000 --> 00:04:39.000]  甚至有些傳道人覺得
[00:04:39.000 --> 00:04:43.000]  既然這種方式大家都這麼受用了
[00:04:43.000 --> 00:04:46.600]  不如就索性將它粉飾一下
[00:04:46.600 --> 00:04:51.800]  去讓它好像看上去是合乎聖經的教導
[00:04:51.800 --> 00:04:54.800]  於是使很多信徒用這種傳道方式
[00:04:54.800 --> 00:04:57.800]  甚至用這種方式而相信主的信徒
[00:04:57.800 --> 00:04:59.800]  傳流在教會裡面了
[00:04:59.800 --> 00:05:04.400]  使他們可以心安理得留在教會裡面
[00:05:04.400 --> 00:05:08.000]  因為這種魔鬼神學
[00:05:08.000 --> 00:05:13.800]  實在是很容易為人帶來榮譽
[00:05:13.800 --> 00:05:16.200]  為人帶來益處
[00:05:16.200 --> 00:05:22.200]  為人帶來好像上帝真是神的這樣的印證
[00:05:22.200 --> 00:05:25.200]  但是耶和神根本上不是靠
[00:05:25.200 --> 00:05:28.600]  祂有沒有實現你和我的願望
[00:05:28.600 --> 00:05:31.000]  來去印證祂是真實的神
[00:05:31.000 --> 00:05:33.400]  相反我們在聖經裡面會發現到
[00:05:33.400 --> 00:05:36.200]  原來上帝要證實祂是神
[00:05:36.200 --> 00:05:39.200]  有時候是完全出於我們
[00:05:39.200 --> 00:05:42.200]  超出了我們的所想所求
[00:05:42.200 --> 00:05:44.200]  甚至我們的期望
[00:05:44.200 --> 00:05:49.600]  上帝不是要利用滿足人的期望
[00:05:49.600 --> 00:05:52.200]  來去印證祂就是上帝
[00:05:52.200 --> 00:05:54.800]  上帝甚至不是利用這種方式
[00:05:54.800 --> 00:05:58.000]  來吸引人回到祂面前
[00:05:58.000 --> 00:06:01.600]  不過很多時候我們作為教會的信徒
[00:06:01.600 --> 00:06:05.000]  聽了很多歪曲了的神學之後
[00:06:05.000 --> 00:06:08.200]  而不是從聖經而出的教導的話
[00:06:08.200 --> 00:06:11.600]  我們就以為只有神跡實現者
[00:06:11.600 --> 00:06:16.600]  那些才能夠印證到祂是屬神的人
[00:06:16.600 --> 00:06:22.000]  所以我們看到在今天很多的教會
[00:06:22.000 --> 00:06:27.800]  很喜歡去使出靈因這種運動的手段
[00:06:27.800 --> 00:06:34.800]  來證明這位牧者或這教會是有神在裡面的
[00:06:34.800 --> 00:06:37.600]  如果沒有這些神跡奇事
[00:06:37.600 --> 00:06:41.800]  發生在傳道人的教會裡面
[00:06:41.800 --> 00:06:44.400]  就代表這個傳道人沒有靈氣
[00:06:44.400 --> 00:06:47.200]  上帝也不在這教會裡面
[00:06:47.200 --> 00:06:52.600]  而這教會是可以被取消取締的
[00:06:52.600 --> 00:06:57.800]  耶穌就在他的侍奉裡
[00:06:57.800 --> 00:07:04.800]  一次又一次來提醒我們每一個信徒
