
[00:00:00.000 --> 00:00:02.000]  各位電視節目早安
[00:00:02.000 --> 00:00:06.000]  今天早上長者比較多
[00:00:06.000 --> 00:00:08.000]  下午長者比較少
[00:00:08.000 --> 00:00:10.000]  不過我們的年輕人
[00:00:10.000 --> 00:00:14.000]  當時我接觸到
[00:00:14.000 --> 00:00:19.000]  我們會有一個長者中心
[00:00:19.000 --> 00:00:22.000]  在前年十月的時候
[00:00:22.000 --> 00:00:26.000]  就轉了做一個長者論社中心
[00:00:26.000 --> 00:00:31.000]  我完全對社福的東西不是很理解
[00:00:31.000 --> 00:00:34.000]  所以在那個時代開始
[00:00:34.000 --> 00:00:36.000]  兩三年就要惡補
[00:00:36.000 --> 00:00:38.000]  讀很多文件
[00:00:38.000 --> 00:00:43.000]  讀很多他們怎樣運作一個社福中心等等
[00:00:43.000 --> 00:00:47.000]  原來我們的中心雖然是under size
[00:00:47.000 --> 00:00:49.000]  我們在那裡已經差不多
[00:00:49.000 --> 00:00:51.000]  在城寨出來之後
[00:00:51.000 --> 00:00:53.000]  我們城寨裡面已經有一個
[00:00:53.000 --> 00:00:56.000]  後來城寨就變成了債城公園
[00:00:56.000 --> 00:00:58.000]  拆了之後
[00:00:58.000 --> 00:01:01.000]  政府就將富善村那裡
[00:01:01.000 --> 00:01:05.000]  有四個單位給了中華傳統會
[00:01:05.000 --> 00:01:09.000]  所以在一直那裡就做了一個老人中心
[00:01:09.000 --> 00:01:11.000]  做到前幾年的時候
[00:01:11.000 --> 00:01:14.000]  就改變了做長者論社中心
[00:01:14.000 --> 00:01:16.000]  他做什麼東西呢
[00:01:16.000 --> 00:01:20.000]  他現在有八百多個會員
[00:01:20.000 --> 00:01:24.000]  因為富善村是一個很老的村
[00:01:24.000 --> 00:01:28.000]  所以老人家很多時候就會下來
[00:01:28.000 --> 00:01:30.000]  跟我們聊天
[00:01:30.000 --> 00:01:35.000]  叫我們幫他們辦安老服務等等
[00:01:35.000 --> 00:01:40.000]  所以我們現在那裡差不多有13個同事
[00:01:40.000 --> 00:01:44.000]  也有五六個社工在那裡
[00:01:44.000 --> 00:01:46.000]  專職的社工在那裡
[00:01:46.000 --> 00:01:51.000]  所以對這些的了解慢慢多了
[00:01:51.000 --> 00:01:54.000]  教會今天就定了做長者朱逸
[00:01:54.000 --> 00:01:57.000]  早上第一堂我們長者多一點
[00:01:57.000 --> 00:02:00.000]  下午我們長者少一點
[00:02:00.000 --> 00:02:04.000]  少到不是說七六八十那些就少了
[00:02:04.000 --> 00:02:08.000]  但是那些所謂年輕的老人家
[00:02:08.000 --> 00:02:11.000]  60歲打學那些我們中間也有很多
[00:02:11.000 --> 00:02:15.000]  所以我們就定了做長者朱逸
[00:02:15.000 --> 00:02:19.000]  所以今天下午我們講道理的時候
[00:02:19.000 --> 00:02:20.000]  講這個道的時候
[00:02:20.000 --> 00:02:22.000]  焦點就有一點轉了
[00:02:22.000 --> 00:02:28.000]  我們先讀一下哥倫多後書四章十六到十八節
[00:02:28.000 --> 00:02:31.000]  這本聖經我相信大家都很熟悉的聖經
[00:02:31.000 --> 00:02:35.000]  是哥倫多後書四章十六到第十八節
[00:02:35.000 --> 00:02:36.000]  我們大家一起讀
[00:02:36.000 --> 00:02:38.000]  所以我們不喪膽
[00:02:38.000 --> 00:02:40.000]  害體雖然毀壞
