
[00:00:00.000 --> 00:00:08.000]  好 今年的主題 記不記得 成為宣教的群體
[00:00:08.000 --> 00:00:10.000]  為什麼選擇《但以理書》呢
[00:00:10.000 --> 00:00:14.000]  其實今天講到的主題可以說
[00:00:14.000 --> 00:00:19.000]  如何在一個很複雜的環境裏面去見精神
[00:00:19.000 --> 00:00:21.000]  成為宣教的群體
[00:00:21.000 --> 00:00:24.000]  我們都知道我們不是活在一個理想的世界
[00:00:24.000 --> 00:00:26.000]  我們既不能逃離這個世界
[00:00:26.000 --> 00:00:29.000]  但是又不可以屬於這個世界
[00:00:29.000 --> 00:00:32.000]  我們就藉著《但以理》去思想
[00:00:32.000 --> 00:00:35.000]  在一個很複雜的世界裏面見精神
[00:00:35.000 --> 00:00:37.000]  同樣地我們讀一下經文
[00:00:37.000 --> 00:00:39.000]  我們都是比較長
[00:00:39.000 --> 00:00:41.000]  我們用啟認方法
[00:00:41.000 --> 00:00:45.000]  我讀啟 大家讀認者雙數的折數
[00:00:45.000 --> 00:00:47.000]  好 我先開始
[00:00:47.000 --> 00:00:50.000]  猶大王約瓦敬在位第三年
[00:00:50.000 --> 00:00:54.000]  巴比倫王尼布加利薩來到耶路撒冷
[00:00:54.000 --> 00:00:56.000]  將乘圍困
[00:00:56.000 --> 00:01:02.000]  主將猶大王約瓦敬並神殿中器皿的幾份交付他手
[00:01:02.000 --> 00:01:05.000]  他就把這器皿帶到善那地
[00:01:05.000 --> 00:01:07.000]  收入他神的廟裡
[00:01:07.000 --> 00:01:10.000]  放在他神的腹中
[00:01:10.000 --> 00:01:18.000]  王吩咐太監長阿斯比那從以色列人的宗室和貴就中
[00:01:18.000 --> 00:01:21.000]  帶進幾個人來
[00:01:21.000 --> 00:01:23.000]  就是年少沒有殘疾
[00:01:23.000 --> 00:01:25.000]  相貌俊美
[00:01:25.000 --> 00:01:27.000]  通達各樣學問
[00:01:27.000 --> 00:01:29.000]  知識聰明俱備
[00:01:29.000 --> 00:01:32.000]  足能侍納在王宮裡的
[00:01:32.000 --> 00:01:35.000]  要教他們迦勒底的文字言語
[00:01:35.000 --> 00:01:40.000]  王 駭定將自己所用的膳和所飲的酒
[00:01:40.000 --> 00:01:42.000]  匯入此他們一份
[00:01:42.000 --> 00:01:44.000]  養他們三年
[00:01:44.000 --> 00:01:45.000]  餬了三年
[00:01:45.000 --> 00:01:48.000]  好叫他們在王面前侍納
[00:01:48.000 --> 00:01:51.000]  他們中間有猶大族的人
[00:01:51.000 --> 00:01:57.000]  丹爾利 哈拿利亞 米沙利 阿沙利亞
[00:01:57.000 --> 00:01:59.000]  太監長給他們起名
[00:01:59.000 --> 00:02:02.000]  稱丹爾利為帕提沙薩
[00:02:02.000 --> 00:02:05.000]  稱哈拿利亞為沙德拉
[00:02:05.000 --> 00:02:08.000]  稱米沙利為米沙
[00:02:08.000 --> 00:02:15.000]  稱阿沙利亞為阿帕尼哥
[00:02:15.000 --> 00:02:18.000]  丹爾利卻立志不以王的膳
[00:02:18.000 --> 00:02:21.000]  和王所飲的酒玷污自己
[00:02:21.000 --> 00:02:25.000]  所以求太監長容他不玷污自己
[00:02:25.000 --> 00:02:32.000]  臣此丹爾利在太監長眼前蒙恩惠受憐憫
[00:02:32.000 --> 00:02:35.000]  太監長對丹爾利說
[00:02:35.000 --> 00:02:38.000]  我懼怕我主我王
[00:02:38.000 --> 00:02:41.000]  他已經派定你們的飲食
[00:02:41.000 --> 00:02:43.000]  倘若他見你們的面貌
[00:02:43.000 --> 00:02:46.000]  被你們同歲的少年人羈收
[00:02:46.000 --> 00:02:48.000]  怎麼好呢?
[00:02:48.000 --> 00:02:53.000]  這樣你們就使我的頭在黃那裡難保
