
[00:00:00.000 --> 00:00:04.600]  各位電影姐妹你們好
[00:00:04.600 --> 00:00:09.200]  歡迎大家參加我們三藩市報道會的網上崇拜
[00:00:09.200 --> 00:00:12.600]  我們繼續思想啟示錄的訊息
[00:00:12.600 --> 00:00:17.200]  今天我們來到啟示錄第二章第八節至十一節
[00:00:17.200 --> 00:00:20.400]  致死中心的事母了
[00:00:20.400 --> 00:00:25.200]  公元後155年2月23日
[00:00:25.200 --> 00:00:27.200]  在一個星期六的早上
[00:00:27.200 --> 00:00:32.200]  位於小亞細亞的一個城市叫做事母那城
[00:00:32.200 --> 00:00:35.200]  正在舉行羅馬競技大賽
[00:00:35.200 --> 00:00:38.200]  人山人海非常熱鬧
[00:00:38.200 --> 00:00:40.600]  當大家正在歡愉之際
[00:00:40.600 --> 00:00:44.600]  忽然有一大群人大聲的在叫
[00:00:44.600 --> 00:00:49.200]  打倒異教頭子Polika
[00:00:49.200 --> 00:00:53.600]  究竟Polika是誰人呢
[00:00:53.600 --> 00:00:58.600]  為什麼有這麼多人這麼憎恨她要打倒她呢
[00:00:58.600 --> 00:01:02.600]  原來她就是當時事母那教會的主教
[00:01:02.600 --> 00:01:05.600]  也是寫啟示錄的作者
[00:01:05.600 --> 00:01:08.600]  仕途約翰的學生
[00:01:08.600 --> 00:01:12.600]  也是著名早期教父Iron Lius的老師
[00:01:12.600 --> 00:01:15.600]  誰這麼憎恨她呢
[00:01:15.600 --> 00:01:18.000]  就是那些擁護羅馬帝王
[00:01:18.000 --> 00:01:22.000]  稱羅馬帝王是上帝的一群人
[00:01:22.000 --> 00:01:26.000]  也是反對基督教的猶太人士
[00:01:26.000 --> 00:01:31.000]  他們聯手攻擊Polika和基督教會
[00:01:31.000 --> 00:01:34.000]  本來Polika可以趁這個機會逃走
[00:01:34.000 --> 00:01:36.000]  但她沒有這樣做
[00:01:36.000 --> 00:01:39.000]  一個被羅馬抓到的信徒
[00:01:39.000 --> 00:01:43.000]  在嚴刑之下供出Polika所在的地方
[00:01:43.000 --> 00:01:46.000]  羅馬兵士立即前往拘捕
[00:01:46.000 --> 00:01:51.000]  在審訊之前Polika要求當局提供一些膳食
[00:01:51.000 --> 00:01:53.000]  給她的信徒
[00:01:53.000 --> 00:01:57.000]  而自己就希望能夠有一段安靜的時候
[00:01:57.000 --> 00:01:59.000]  讓她好好禱告
[00:01:59.000 --> 00:02:01.000]  那個羅馬的士兵的Captain
[00:02:01.000 --> 00:02:04.000]  見到這個白髮蒼蒼的老人家
[00:02:04.000 --> 00:02:07.000]  斯斯文文不禁有些憐恤的心
[00:02:07.000 --> 00:02:09.000]  就對他說
[00:02:09.000 --> 00:02:13.000]  其實只要你承認凱撒是上帝
[00:02:13.000 --> 00:02:15.000]  否定你的信仰
[00:02:15.000 --> 00:02:17.000]  你就可以自由和安全
[00:02:17.000 --> 00:02:19.000]  這麼簡單的一件事
[00:02:19.000 --> 00:02:21.000]  為什麼你不去做
[00:02:21.000 --> 00:02:23.000]  要送了一條命呢?
[00:02:23.000 --> 00:02:25.000]  但Polika卻拒絕了他的好意
[00:02:25.000 --> 00:02:31.000]  當Polika被帶到審判台前受審
[00:02:31.000 --> 00:02:34.000]  下面成千上萬的群眾
[00:02:34.000 --> 00:02:36.000]  不住的大聲說
[00:02:36.000 --> 00:02:38.000]  燒死她 燒死她
[00:02:38.000 --> 00:02:40.000]  羅馬審判官對Polika說
[00:02:40.000 --> 00:02:42.000]  我給你最後一個機會
[00:02:42.000 --> 00:02:45.000]  只要你去咒詛你的基督
[00:02:45.000 --> 00:02:48.000]  承認凱撒是你的主 是你的神
[00:02:48.000 --> 00:02:50.000]  並且效忠他
[00:02:50.000 --> 00:02:52.000]  我就立即釋放你
[00:02:52.000 --> 00:02:54.000]  Polika說 大人
[00:02:54.000 --> 00:02:58.000]  我服侍了我主耶穌有86年之久
[00:02:58.000 --> 00:03:00.000]  他為我釘死在十字架
[00:03:00.000 --> 00:03:02.000]  有無限的恩典
[00:03:02.000 --> 00:03:06.000]  我怎麼可以在我年老的時候出賣他呢?
[00:03:06.000 --> 00:03:08.000]  你用火燒死我
[00:03:08.000 --> 00:03:11.000]  但這火很快就會消滅
[00:03:11.000 --> 00:03:13.000]  但你有沒有想過
[00:03:13.000 --> 00:03:16.000]  你反對耶穌迫害他的門徒
[00:03:16.000 --> 00:03:18.000]  將來會受永遠地獄的火
[00:03:18.000 --> 00:03:20.000]  不滅之火
[00:03:20.000 --> 00:03:24.000]  比我現在所受的不知嚴重多少倍
[00:03:24.000 --> 00:03:26.000]  你還等什麼呢?
[00:03:26.000 --> 00:03:28.000]  如果你想燒死我
[00:03:28.000 --> 00:03:30.000]  就現在動手吧
[00:03:30.000 --> 00:03:35.000]  當火要燒到Polika身上的時候
[00:03:35.000 --> 00:03:37.000]  她就大聲的祈禱說
[00:03:37.000 --> 00:03:40.000]  全能的天父和我主耶穌
[00:03:40.000 --> 00:03:42.000]  多謝你的恩典
[00:03:42.000 --> 00:03:44.000]  更給我榮耀
[00:03:44.000 --> 00:03:51.000]  能夠和千千萬萬的先知殉道成為殉道者
[00:03:51.000 --> 00:03:54.000]  但一著耶穌基督的犧牲
[00:03:54.000 --> 00:03:57.000]  給我們有永生的確具
[00:03:57.000 --> 00:03:59.000]  為此我要讚美你
[00:03:59.000 --> 00:04:01.000]  稱頌你
[00:04:01.000 --> 00:04:03.000]  奉主耶穌名求
[00:04:03.000 --> 00:04:04.000]  阿門
[00:04:04.000 --> 00:04:06.000]  就是這樣
[00:04:06.000 --> 00:04:09.000]  Polika就活生生被火燒死
[00:04:09.000 --> 00:04:12.000]  為主殉道死亡
[00:04:12.000 --> 00:04:16.000]  1973年12月9日
[00:04:16.000 --> 00:04:20.000]  王志明牧師在2萬人的目睹之下
[00:04:20.000 --> 00:04:25.000]  在雲南省武定縣城第一中學廣場
[00:04:25.000 --> 00:04:29.000]  被宣判死刑並立即執行
[00:04:29.000 --> 00:04:32.000]  他也是為主殉道
[00:04:32.000 --> 00:04:35.000]  王志明牧師何許人也
[00:04:35.000 --> 00:04:40.000]  他是雲南貴州之間山區一些花苗族人士
[00:04:40.000 --> 00:04:43.000]  早年中國代理會的宣教士
[00:04:43.000 --> 00:04:47.000]  一個澳洲人的醫生叫郭壽峰
[00:04:47.000 --> 00:04:50.000]  不怕當地發生的疫症
[00:04:50.000 --> 00:04:53.000]  遠遠來到這個地方
[00:04:53.000 --> 00:04:58.000]  在深山野嶺裡去服侍這班苗人
[00:04:58.000 --> 00:05:00.000]  贈醫施藥
[00:05:00.000 --> 00:05:02.000]  設立學校
[00:05:02.000 --> 00:05:04.000]  救貧苦的大眾
[00:05:04.000 --> 00:05:09.000]  帶了很多很多這些苗人信了耶穌
[00:05:09.000 --> 00:05:14.000]  其中一個信耶穌的就是王志明牧師
