
[00:00:00.000 --> 00:00:09.000]  各位姐妹,我很高興再次來到這裡跟大家分享
[00:00:09.000 --> 00:00:14.000]  同時很懷著感恩的心,跟大家思想出哀及記
[00:00:14.000 --> 00:00:22.000]  剛才Larissa找到一些小道消息,知道我經常教主一學
[00:00:22.000 --> 00:00:30.000]  的確我很喜歡教主一學,由我開始大學的時候,我應該是大學一年級
[00:00:30.000 --> 00:00:36.000]  我的傳導人,當時我已經剛剛回教會兩年,不算很久
[00:00:36.000 --> 00:00:40.000]  我的傳導人就跟我說,你喜歡有什麼侍奉?
[00:00:40.000 --> 00:00:49.000]  我就跟他說,我唱歌走音,我和各方面都不是很能夠幫助到教會
[00:00:49.000 --> 00:00:54.000]  不過我唯獨有一樣東西比較傻,就是我喜歡讀書
[00:00:54.000 --> 00:00:58.000]  你喜歡讀書,那就好了,不如你教主一學吧
[00:00:58.000 --> 00:01:02.000]  我問他怎麼教,其實很簡單的
[00:01:02.000 --> 00:01:07.000]  你只要拿這本書回去,讀完一遍,在課堂上說一次就行了
[00:01:07.000 --> 00:01:13.000]  他這樣跟我說,而他給我的那本書就是天道的著色書
[00:01:13.000 --> 00:01:17.000]  羅馬書的爆回原寫的羅馬書
[00:01:17.000 --> 00:01:19.000]  他叫我第一課就教羅馬書
[00:01:19.000 --> 00:01:22.000]  當時我不知道羅馬書原來是這麼近的
[00:01:22.000 --> 00:01:26.000]  但是他讓我教,我就單純地去教羅馬書
[00:01:26.000 --> 00:01:29.000]  由羅馬書第一章一直教,教到第十六章
[00:01:29.000 --> 00:01:36.000]  當時就對著三個方溫仔,就和他們教羅馬書
[00:01:36.000 --> 00:01:44.000]  我就按照他的吩咐,就是我禮拜五,禮拜六晚就在競投那本爆回原的羅馬書
[00:01:44.000 --> 00:01:48.000]  禮拜日就一票清袋,就全部給他們
[00:01:48.000 --> 00:01:51.000]  我發覺他們每個人都黑眼瞓
[00:01:51.000 --> 00:01:54.000]  我看到他們黑眼瞓,我就改了一些策略
[00:01:54.000 --> 00:01:58.000]  畫了一些圖,畫了一些遊戲,就有一點點的氣息
[00:01:58.000 --> 00:02:04.000]  類似是這樣,而那三位方溫仔,有一個今天做了我教會的傳道人
[00:02:04.000 --> 00:02:15.000]  他本身是一個,我一開始對他橫批的程度抱有一個悲觀的態度
[00:02:15.000 --> 00:02:20.000]  他這麼橫批,不斷地走來走去,在我的課室裡不斷地走
[00:02:20.000 --> 00:02:22.000]  他就好像不受控那樣
[00:02:22.000 --> 00:02:25.000]  但是一個原來不受控的人竟然做到傳道人
[00:02:25.000 --> 00:02:31.000]  我都覺得我控制不了他,他只有在神面前才受控
[00:02:31.000 --> 00:02:38.000]  我就會覺得很感恩,自己除了在英國讀書三年以外
[00:02:38.000 --> 00:02:43.000]  就從我大學一年級教主日學到現在都沒有停過
[00:02:43.000 --> 00:02:46.000]  我每逢禮拜日都很喜歡教主日學
[00:02:46.000 --> 00:02:48.000]  我現在都是教會教主日學
[00:02:48.000 --> 00:02:52.000]  所以我禮拜日通常都不會怎麼接外間的港道
[00:02:52.000 --> 00:02:56.000]  我都會留在友愛堂那裡,去教主日學
[00:02:56.000 --> 00:02:59.000]  跟年輕人,最近我教什麼呢?
[00:02:59.000 --> 00:03:04.000]  最近我教言經法,下個禮拜我教早像訓練
[00:03:04.000 --> 00:03:08.000]  我還是在募會的,不是跟教會脫節的
[00:03:08.000 --> 00:03:12.000]  我都知道年輕人、師奶、叔叔想什麼
[00:03:12.000 --> 00:03:18.000]  他們很多交流,我覺得是一個很好讓我學習的場景
[00:03:18.000 --> 00:03:24.000]  沒有66卷那麼多,可能只不過是30多卷
[00:03:24.000 --> 00:03:26.000]  我比較喜歡教舊約
[00:03:26.000 --> 00:03:30.000]  新約也試過教過,但最近就比較少
[00:03:30.000 --> 00:03:35.000]  因為我越來越不懂新約,我覺得舊約會比較好
[00:03:35.000 --> 00:03:41.000]  所以今天很開心,Larissa邀請我繼續探討出埃及記
[00:03:41.000 --> 00:03:46.000]  出埃及記,剛剛過了五月,我來過一次
[00:03:46.000 --> 00:03:52.000]  講了出埃及記的悼論,以及頭幾章的內容
[00:03:52.000 --> 00:03:57.000]  其實那個悼論,大家記不記得出埃及記分了兩段
[00:03:57.000 --> 00:04:01.000]  第一段是故事,後一段是律法
[00:04:01.000 --> 00:04:03.000]  類似這樣的情況
[00:04:03.000 --> 00:04:09.000]  今天我們的時空非常快,去到八月的最後一個禮拜一
[00:04:09.000 --> 00:04:15.000]  今天我們會探討出埃及記的20到23章那段經文
[00:04:15.000 --> 00:04:20.000]  是一段非常重要的經文,我能夠跟大家分享
