
[00:00:00.000 --> 00:00:11.000]  大家好,這次我們就講無限的因典
[00:00:11.000 --> 00:00:22.000]  我相信在這個時候,很多人最關心的是健健康康過日子
[00:00:22.000 --> 00:00:39.000]  有些人適應在家工作,甚至可能是沒有工作,或者家人有衝突
[00:00:39.000 --> 00:00:50.000]  不過在這個時候,我們也進入了一個基督教稱為御苦期的時候
[00:00:50.000 --> 00:01:01.000]  這個就是主耶穌基督死亡和復活之前的40天左右開始
[00:01:01.000 --> 00:01:10.000]  有人問為什麼是40天呢?因為以色列在抗疫40年,主耶穌在抗疫40年
[00:01:10.000 --> 00:01:13.000]  他們當年就選擇了40天
[00:01:13.000 --> 00:01:31.000]  這個時候,很多基督徒會靜思思想自己的生命,思想關於罪,救恩,神的恩典,生命的短暫等等
[00:01:31.000 --> 00:01:37.000]  但其實在這個時候,我們也很適合思考這些問題
[00:01:37.000 --> 00:01:45.000]  因為我們現在有病菌,在危機的時候,在有問題的時候
[00:01:45.000 --> 00:01:54.000]  我們可以思考一下自己的生命和神的關係,實在是很適合的
[00:01:54.000 --> 00:02:01.000]  我們今天就透過C篇103思考一下這個問題
[00:02:01.000 --> 00:02:12.000]  首先,C篇103的頭一到五節是私人的見證
[00:02:12.000 --> 00:02:17.000]  如果大家剛才看,他那裡說的你,是自己來的
[00:02:17.000 --> 00:02:27.000]  因為你的你,有些翻譯是靈魂,和合本和修版都是說我的心,就是自己的意思
[00:02:27.000 --> 00:02:34.000]  所以他在說你,但那個你實在是自己,跟自己說你要記得神的恩典
[00:02:34.000 --> 00:02:49.000]  6到18節是說神,上帝公義的愛,14到16節是短暫的人生,17到18節是上帝永恆的愛
[00:02:49.000 --> 00:02:59.000]  去到最後19到22節,他就呼喚整個世界和他一起讚美神
[00:02:59.000 --> 00:03:09.000]  在第1到5節,實在是私人的見證,如果大家看一下,他說了幾樣東西
[00:03:09.000 --> 00:03:18.000]  為什麼呢?因為他說神的恩典是他犯了某些罪,神赦免他
[00:03:18.000 --> 00:03:27.000]  神的恩典顯現在赦免之中,神不需要赦免,不過神就赦免了
[00:03:27.000 --> 00:03:38.000]  然後他再提到他不知道有什麼病,神就醫治他,神也不需要醫治他,不過神就醫治了他
[00:03:38.000 --> 00:03:45.000]  然後他提到死亡,死亡可以是病菌,但也可以是其他東西
[00:03:45.000 --> 00:03:58.000]  神也不需要拯救他,不過神就拯救了他,最後他提到神是豐豐富富的祝福他
[00:03:58.000 --> 00:04:07.000]  這些是叫做恩典,因為神不是一定要這樣做,而是神是做了的
[00:04:07.000 --> 00:04:17.000]  這個詩人是很能夠感覺到這件事,能夠明白這件事,所以他感謝主,就是這個意思
[00:04:17.000 --> 00:04:23.000]  如果有一樣東西是我們應有的,我們覺得我們應該有的
[00:04:23.000 --> 00:04:35.000]  得到是一個公義,因為我是公民,我需要有公民的利益,這是我們應該有的
