
[00:00:00.000 --> 00:00:04.200]  請指揮組早安
[00:00:04.200 --> 00:00:09.160]  感謝主在教會,在我自己的武會
[00:00:09.160 --> 00:00:11.640]  來講到一份特別的親切感
[00:00:11.640 --> 00:00:16.200]  我今天叫他的題目叫快快樂樂敬拜神
[00:00:16.200 --> 00:00:18.040]  我真的在經歷
[00:00:18.040 --> 00:00:20.200]  今早早上我講完之後
[00:00:20.200 --> 00:00:24.520]  有人告訴我Powerpoint有些字寫錯了
[00:00:24.520 --> 00:00:27.000]  有人告訴我有些地方要改
[00:00:27.000 --> 00:00:33.440]  甚至我們的主席本來今天穿了西裝很整齊
[00:00:33.440 --> 00:00:35.680]  他看我做講員的不穿
[00:00:35.680 --> 00:00:38.960]  都特意遷就我放下西裝
[00:00:38.960 --> 00:00:41.480]  這些都是好像自己一家人
[00:00:41.480 --> 00:00:44.880]  來參與崇拜
[00:00:44.880 --> 00:00:49.160]  過去一段多長的時間
[00:00:49.160 --> 00:00:51.920]  我們沒有機會實體聚集
[00:00:51.920 --> 00:00:53.520]  很多都是在網上進行
[00:00:53.520 --> 00:00:56.800]  到開回有所謂實體崇拜的時間
[00:00:56.800 --> 00:00:59.160]  我不知道大家心情如何
[00:00:59.160 --> 00:01:01.920]  我記得我年輕的時候剛信耶穌
[00:01:01.920 --> 00:01:05.240]  是很渴望星期日
[00:01:05.240 --> 00:01:07.160]  星期一已經等著星期日
[00:01:07.160 --> 00:01:11.160]  那是整個星期的高峰
[00:01:11.160 --> 00:01:14.920]  坦白說,隨著信主連日來
[00:01:14.920 --> 00:01:18.400]  這種心情就越來越減低
[00:01:18.400 --> 00:01:19.960]  我不知道你有沒有這種情況
[00:01:19.960 --> 00:01:21.880]  特別是信主來了之後
[00:01:21.880 --> 00:01:24.680]  那種興奮著約等待主日
[00:01:24.680 --> 00:01:26.880]  去敬拜上帝的心
[00:01:26.880 --> 00:01:29.880]  很可能隨著環境的轉變
[00:01:29.880 --> 00:01:33.680]  或者我們太過習慣而有所改變
[00:01:33.680 --> 00:01:35.440]  在聖經裡面
[00:01:35.440 --> 00:01:37.560]  一段經文我想起的
[00:01:37.560 --> 00:01:39.680]  很快樂的敬拜
[00:01:39.680 --> 00:01:42.280]  我就想起今天所讀的聖經
[00:01:42.280 --> 00:01:44.200]  《李希米基》第八章
[00:01:44.200 --> 00:01:47.880]  這段經文對我很大的提醒
[00:01:47.880 --> 00:01:49.560]  和很喜愛這段經文
[00:01:49.560 --> 00:01:53.320]  這段經文可以說整個敬拜的
[00:01:53.320 --> 00:01:55.760]  很多重要要素
[00:01:55.760 --> 00:01:58.120]  都在這段經文裡面展示出來
[00:01:58.120 --> 00:01:59.800]  它不單是一個教導經文
[00:01:59.800 --> 00:02:02.040]  它還有一個記罪文
[00:02:02.040 --> 00:02:05.080]  即是說當時的人實際怎麼做的
[00:02:05.080 --> 00:02:07.320]  所以我想今天從這段聖經裡面
[00:02:07.320 --> 00:02:10.360]  一起鼓勵大家快快樂樂敬拜神
[00:02:10.360 --> 00:02:11.400]  目的就是一個
[00:02:11.400 --> 00:02:12.760]  我希望大家聽完之後
[00:02:12.760 --> 00:02:14.680]  能夠快快樂樂敬拜神
[00:02:14.680 --> 00:02:17.440]  OK吧
[00:02:17.440 --> 00:02:20.240]  我聽見好像五堂的反應比祖堂好
[00:02:20.240 --> 00:02:21.280]  OK吧
[00:02:21.280 --> 00:02:23.760]  OK, 謝謝
[00:02:23.760 --> 00:02:26.560]  我就把這件經文分成三個段落
[00:02:26.560 --> 00:02:27.400]  第一個段落
[00:02:27.400 --> 00:02:30.040]  剛才主席都很清楚幫我讀出的
[00:02:30.040 --> 00:02:32.520]  就是第一節到第八節
[00:02:32.520 --> 00:02:34.280]  第一個段落
[00:02:34.280 --> 00:02:36.600]  說他們怎樣聚集敬拜
[00:02:36.600 --> 00:02:37.640]  接著第二個段落
[00:02:37.640 --> 00:02:41.160]  就是第九節到第十二節
[00:02:41.160 --> 00:02:42.120]  第二個段落
[00:02:42.120 --> 00:02:45.360]  就是他們去尋找聖經的教導
[00:02:45.360 --> 00:02:47.480]  第九節到第十二節
[00:02:47.480 --> 00:02:48.560]  最後的段落
[00:02:48.560 --> 00:02:50.680]  他們就一起來到首節
[00:02:50.680 --> 00:02:54.520]  第十三節到十八節
[00:02:54.520 --> 00:02:56.320]  那麼一到八
[00:02:56.320 --> 00:02:57.080]  九到十二
[00:02:57.080 --> 00:02:59.200]  還有十三到十八
