
[00:00:00.000 --> 00:00:05.340]  各位大紀元的觀眾朋友 大家好
[00:00:05.340 --> 00:00:07.740]  歡迎大家參加我們三藩市報道會
[00:00:07.740 --> 00:00:10.040]  網上的五堂崇拜
[00:00:10.040 --> 00:00:14.420]  我們今天繼續思想馬太福音登山補份的信息
[00:00:14.420 --> 00:00:18.940]  我們去到馬太福音第五章33至37節
[00:00:18.940 --> 00:00:21.900]  題目叫做「缺不食言」
[00:00:21.900 --> 00:00:23.900]  在開始思想這段聖經之前
[00:00:23.900 --> 00:00:27.420]  請我們再一次同心低頭 或者同禱告
[00:00:27.420 --> 00:00:31.140]  此為人我的天父 我們多謝你
[00:00:31.140 --> 00:00:35.480]  多謝你給我們有機會在你的話語裏提醒我們
[00:00:35.480 --> 00:00:38.460]  很多時候我們嘴不收
[00:00:38.460 --> 00:00:43.400]  我們所說的話不是去榮耀你 不是去詛咒人
[00:00:43.400 --> 00:00:45.400]  反而是誇譽自己
[00:00:45.400 --> 00:00:48.700]  或者說一些不誠實的話去欺騙人
[00:00:48.700 --> 00:00:54.440]  求主憐憫我們 讓我們能夠小心我們的言語
[00:00:54.440 --> 00:00:56.560]  謹慎我們的舌頭
[00:00:56.560 --> 00:00:59.320]  求你祝福保守 借助你的話語提醒
[00:00:59.320 --> 00:01:01.820]  勸勉教導 安慰督責我們
[00:01:01.820 --> 00:01:06.700]  我們禱告 奉耶穌基督明求 阿們
[00:01:06.700 --> 00:01:10.200]  哈薩尼亞是一個有地位有錢的人
[00:01:10.200 --> 00:01:12.200]  是一個中世紀的人
[00:01:12.200 --> 00:01:14.400]  他覺得活在這個世界裏面
[00:01:14.400 --> 00:01:17.080]  人在江湖 身不由己
[00:01:17.080 --> 00:01:19.900]  他很想擺脫這一切的束縛
[00:01:19.900 --> 00:01:22.700]  毅然放棄了世上的名利
[00:01:22.700 --> 00:01:27.100]  去到曠野地方過著隱士的生活
[00:01:27.100 --> 00:01:31.020]  沒錯 他是離開了世上的繁塵
[00:01:31.020 --> 00:01:34.120]  離開了紙醉金迷的世界
[00:01:34.120 --> 00:01:36.120]  但是去到曠野的時候
[00:01:36.120 --> 00:01:39.880]  他發覺他仍然被這個世界纏著
[00:01:39.880 --> 00:01:43.900]  他仍然發覺人在江湖 身不由己
[00:01:43.900 --> 00:01:46.100]  有很多恐懼的聲音
[00:01:46.100 --> 00:01:51.100]  憂慮的聲音 憤怒的聲音在纏繞著他
[00:01:51.100 --> 00:01:56.040]  他就大聲說 主啊 求祢幫助我
[00:01:56.040 --> 00:01:58.780]  拯救我 脫離這個束縛
[00:01:58.780 --> 00:02:02.140]  他突然間聽到有聲音對他說
[00:02:02.140 --> 00:02:05.460]  閉口 安靜
[00:02:05.460 --> 00:02:09.380]  我總覺得要閉上嘴巴學習安靜
[00:02:09.380 --> 00:02:12.660]  是最難最難的功課
[00:02:12.660 --> 00:02:15.900]  比方來說 當我們被人誤會的時候
[00:02:15.900 --> 00:02:19.740]  或者是某人對我有些成見
[00:02:19.740 --> 00:02:22.160]  我覺得受冤枉
[00:02:22.160 --> 00:02:24.820]  我叫我閉上嘴巴有多難啊
[00:02:24.820 --> 00:02:26.660]  我要找他解釋
[00:02:26.660 --> 00:02:28.840]  我要向他陳述我的理由
[00:02:28.840 --> 00:02:30.960]  糾正他對我的誤解
[00:02:30.960 --> 00:02:33.160]  我要用我的口才
[00:02:33.160 --> 00:02:37.280]  將我在他心中的形象完全改變過來
[00:02:37.280 --> 00:02:40.780]  或者我也可以找一些資深朋友
[00:02:40.780 --> 00:02:43.320]  去訴苦 去博同情
[00:02:43.320 --> 00:02:45.820]  甚至開口攻擊他
