
[00:00:00.000 --> 00:00:06.640]  福弟姐妹讓我們在聆聽主的說話之先
[00:00:06.640 --> 00:00:10.600]  一起禱告 讓我們心先意先交給主愛的野神
[00:00:10.600 --> 00:00:15.920]  父神多謝祢讓我們能夠回來祢的寶貴說話當中
[00:00:15.920 --> 00:00:19.600]  一起去學習 一起去研讀 我們再次獻上感謝
[00:00:19.600 --> 00:00:26.880]  求祢聖靈帶領我們每一個無論是線上線下的每一個弟兄姐妹
[00:00:26.880 --> 00:00:32.400]  祈求主祢都大大地賜福給我們每一個
[00:00:32.400 --> 00:00:36.240]  特別是讓我們每一個渴望追求主導的人
[00:00:36.240 --> 00:00:40.160]  都能夠在主祢的說話當中生根建造
[00:00:40.160 --> 00:00:45.520]  讓我們可以更明白上主祢是怎樣的一位上主
[00:00:45.520 --> 00:00:48.400]  怎樣期盼和我們在一起
[00:00:48.400 --> 00:00:51.520]  也讓我們能夠作出一個合宜的回應
[00:00:51.520 --> 00:00:58.800]  能夠在我們相信的第一天以至於將來都能夠真的怎樣依靠著祢而活
[00:00:58.800 --> 00:01:02.160]  我們再次將這段時間交在主祢的手
[00:01:02.160 --> 00:01:05.920]  祈禱奉靠主耶穌基督得聖名次卿 阿們
[00:01:05.920 --> 00:01:11.360]  不知道大家有沒有聽過在教會裡經常有類似的說話
[00:01:11.360 --> 00:01:16.880]  譬如多侍奉主你就會蒙主的祝福更多
[00:01:16.880 --> 00:01:24.960]  這個說話或者這種觀念本來不是一件什麼大的問題
[00:01:24.960 --> 00:01:28.720]  不過很可惜當落到人手的時候
[00:01:28.720 --> 00:01:33.040]  就會將它衍生為很多扭曲了的思想
[00:01:33.040 --> 00:01:42.160]  譬如有些信徒甚至我記得我以前在教會裡有些教會領袖
[00:01:42.160 --> 00:01:47.920]  甚至曾經說到如果一個信徒是真的相信主的
[00:01:47.920 --> 00:01:52.400]  他就會多去奉獻給上帝
[00:01:52.400 --> 00:01:55.120]  因為他們要怎樣呢
[00:01:55.120 --> 00:01:58.000]  要職讚財寶在天
[00:01:58.000 --> 00:02:02.640]  所以多奉獻的人就會多蒙主的獎賞
[00:02:02.640 --> 00:02:07.920]  在這種奠章取義式的詮釋裡面
[00:02:07.920 --> 00:02:14.960]  我可以說是比比皆是在教會裡經常會發生的事情
[00:02:14.960 --> 00:02:20.720]  教會很多時候落在人手裡的時候
[00:02:20.720 --> 00:02:29.440]  人就會用人的方法去讓上帝的說話來成就自己的目的
[00:02:29.440 --> 00:02:33.200]  我記得當我學習講道的時候
[00:02:33.200 --> 00:02:37.840]  其中一位導師很強調地告訴我
[00:02:37.840 --> 00:02:41.920]  他說Ellen將來你去講道的時候
[00:02:41.920 --> 00:02:44.720]  有一樣東西你必須要自己留意的
[00:02:44.720 --> 00:02:49.360]  就是講道不是你喜歡講什麼就講什麼
[00:02:49.360 --> 00:02:56.000]  而是上帝想講什麼給你的會友知道
[00:02:56.000 --> 00:03:02.000]  你就要將上帝的話中中實實地去陳述
[00:03:02.000 --> 00:03:06.240]  甚至有些事情你千萬不要做的就是
[00:03:06.240 --> 00:03:11.600]  引用上帝的話來支持你自己想講的東西
[00:03:11.600 --> 00:03:15.840]  因為這種做法是非常大的試探
[00:03:15.840 --> 00:03:22.400]  一般的信徒也很難去抗拒一個目者去這樣講
[00:03:22.400 --> 00:03:31.040]  但是久而久之信徒就會掉進傳道人的私心裡
[00:03:31.040 --> 00:03:36.400]  而這種的侍奉絕對不是上帝喜悅的事情
[00:03:36.400 --> 00:03:41.120]  當我去看這種經文的教導
[00:03:41.120 --> 00:03:43.840]  或者這位導師的講道的時候
[00:03:43.840 --> 00:03:44.960]  或者提醒
[00:03:44.960 --> 00:03:50.960]  我都發覺到其實人在侍奉的過程當中
[00:03:50.960 --> 00:03:53.120]  是有很多的試探
[00:03:53.120 --> 00:04:00.320]  而這個試探不離開的都是人自己個人的意見
[00:04:00.320 --> 00:04:09.040]  你都可以看到真正的信徒很多時候不是以自己的意見先行
[00:04:09.040 --> 00:04:14.800]  而是以一個上帝的教導或者上帝的心思意念
[00:04:14.800 --> 00:04:16.400]  甚至講得更加直接的
[00:04:16.400 --> 00:04:21.280]  上帝在聖經裡的啟示成為那個的基礎
[00:04:21.280 --> 00:04:28.240]  不然的話很容易我們會走入一個按己意而行的侍奉
[00:04:28.240 --> 00:04:32.480]  即使你不是一個信徒
[00:04:32.480 --> 00:04:36.240]  如果你按照己意和別人相處
[00:04:36.240 --> 00:04:39.200]  其實都是很難相處的一個人
[00:04:39.200 --> 00:04:42.000]  如果每樣都是你看到的
[00:04:42.000 --> 00:04:46.160]  你就要人去遵從或者要人去聽從的時候
[00:04:46.160 --> 00:04:49.120]  是很難和別人去交往的
[00:04:49.120 --> 00:04:54.800]  譬如我們先前所看到的十童女的比喻
[00:04:54.800 --> 00:04:58.000]  在第25章的第1至13節當中
[00:04:58.000 --> 00:05:03.760]  如果我們不了解這段經文的內裡
[00:05:03.760 --> 00:05:06.640]  這十個童女當中分為兩大類
[00:05:06.640 --> 00:05:13.040]  老祖已經在這個差派的主人裡面已經知道的話
[00:05:13.040 --> 00:05:20.560]  我們很容易失去了原本以為這段聖經純粹是講
[00:05:20.560 --> 00:05:22.480]  怎樣去做一些的侍奉
[00:05:22.480 --> 00:05:25.440]  甚至錯誤的去理解成為
[00:05:25.440 --> 00:05:28.240]  只要你有預備的侍奉
[00:05:28.240 --> 00:05:30.240]  你就必定有成果了
[00:05:30.240 --> 00:05:34.880]  因為這個經文似乎真的講到
[00:05:34.880 --> 00:05:37.760]  有預備的這五個童女
[00:05:37.760 --> 00:05:44.640]  他們有得到和主人或者新郎去享受這個婚宴裡面的喜樂
[00:05:44.640 --> 00:05:47.040]  如果你沒有預備的話
[00:05:47.040 --> 00:05:50.720]  你可能就變成那五個沒有好好預備的童女
[00:05:50.720 --> 00:05:57.280]  你就沒有辦法和新郎去享受
[00:05:57.280 --> 00:06:02.880]  但是究竟是不是這樣就是一個侍奉呢?
[00:06:02.880 --> 00:06:05.440]  所以在《馬太福音》裡面
[00:06:05.440 --> 00:06:06.880]  甚至可以這樣說
[00:06:06.880 --> 00:06:09.200]  在解釋聖經上面
[00:06:09.200 --> 00:06:11.680]  我們必須要有內文的發展
[00:06:11.680 --> 00:06:13.280]  有前文後理
[00:06:13.280 --> 00:06:14.720]  如果不是的
[00:06:14.720 --> 00:06:19.040]  凌空只是抽出十個童女的故事出來去講的話
[00:06:19.040 --> 00:06:21.920]  可能得到的結果就是我們剛才所看到的
[00:06:21.920 --> 00:06:23.360]  有預備就有祝福
[00:06:23.360 --> 00:06:26.000]  沒有預備就連祝福都沒有了
[00:06:26.000 --> 00:06:28.640]  但是在這段聖經裡面
[00:06:28.640 --> 00:06:31.680]  沒有停留在十個童女的故事
[00:06:31.680 --> 00:06:35.040]  而耶穌繼續給了另一個比喻
[00:06:35.040 --> 00:06:40.800]  這個叫做按才去受委派的比喻
[00:06:40.800 --> 00:06:45.200]  而這個比喻是要進一步去調教準確
[00:06:45.200 --> 00:06:46.960]  我們去了解到
[00:06:46.960 --> 00:06:50.000]  不是只是憑侍奉的成績
[00:06:50.000 --> 00:06:52.720]  來得到上帝的賞賜
[00:06:52.720 --> 00:06:54.400]  或者好像我之前所說的
[00:06:54.400 --> 00:06:57.280]  有些人以為你多奉獻
[00:06:57.280 --> 00:07:00.720]  你就會多蒙上帝的獎賞
[00:07:00.720 --> 00:07:04.240]  這是一種人的屬世的想法
[00:07:04.240 --> 00:07:09.200]  是不是侍奉多些你就必定進入天堂
[00:07:09.200 --> 00:07:10.320]  是不是侍奉多些
[00:07:10.320 --> 00:07:12.880]  你一定可以得到上帝多些的獎賞
[00:07:12.880 --> 00:07:14.240]  如果是這樣的話
[00:07:15.120 --> 00:07:17.360]  原來在天國將來
[00:07:17.360 --> 00:07:19.360]  都仍然有階級觀念
[00:07:19.360 --> 00:07:23.760]  如果是這樣的話
[00:07:23.760 --> 00:07:28.960]  這個天堂仍然在走世界那一套的話
[00:07:28.960 --> 00:07:30.640]  我們是不是仍然要
[00:07:30.640 --> 00:07:33.760]  期望要回到這個天國裡面呢
[00:07:33.760 --> 00:07:37.680]  因此耶穌沒有停留在十個童女的比喻
[00:07:37.680 --> 00:07:39.680]  他更加繼續說到這個
[00:07:39.680 --> 00:07:41.680]  按才受用的比喻
[00:07:41.680 --> 00:07:44.080]  來告訴我們
[00:07:44.560 --> 00:07:49.760]  不是只是純粹按成績來得獎賞
[00:07:49.760 --> 00:07:55.440]  不是按表現來得到是否進入天國
[00:07:55.440 --> 00:07:58.240]  有一個更重要的主題
[00:07:58.240 --> 00:08:02.800]  原來上帝看的不是成績表
[00:08:02.800 --> 00:08:04.320]  而是看那個人
[00:08:04.320 --> 00:08:08.880]  怎樣以忠誠來對待上主
[00:08:08.880 --> 00:08:13.280]  這個反而是一個整個核心的題目
[00:08:13.920 --> 00:08:16.960]  如果我用這個題目套在十個童女的比喻
[00:08:16.960 --> 00:08:18.960]  同樣是這個道理
[00:08:18.960 --> 00:08:20.960]  十個童女當中有五個
[00:08:20.960 --> 00:08:23.360]  其實為什麼他會好好預備
