
[00:00:00.000 --> 00:00:04.480]  上次十月我來的時候
[00:00:04.480 --> 00:00:08.240]  我記得題目是說行善的動機和賞詞
[00:00:08.240 --> 00:00:10.080]  不知道你記不記得
[00:00:10.080 --> 00:00:11.320]  就提到三樣東西
[00:00:11.320 --> 00:00:14.520]  就是給不給、要不要、得不得
[00:00:14.520 --> 00:00:16.080]  和得不得
[00:00:16.080 --> 00:00:18.000]  給不給有需要的人
[00:00:18.000 --> 00:00:19.320]  要不要人的稱贊
[00:00:19.320 --> 00:00:21.960]  和得不得神的賞詞
[00:00:21.960 --> 00:00:24.640]  今天提的就叫做進集門
[00:00:24.640 --> 00:00:27.200]  是登山寶訓最後的一章
[00:00:27.200 --> 00:00:30.200]  差不多是最後一段了
[00:00:30.200 --> 00:00:31.720]  我們就先祈禱
[00:00:31.720 --> 00:00:32.560]  預備我們的心
[00:00:32.560 --> 00:00:34.000]  我們聽以下的信息
[00:00:34.000 --> 00:00:34.880]  我們一起祈禱
[00:00:34.880 --> 00:00:36.680]  天父我們將這一刻時間
[00:00:36.680 --> 00:00:37.760]  帶到恩主的面前
[00:00:37.760 --> 00:00:39.120]  我們求主你幫助我們
[00:00:39.120 --> 00:00:40.840]  用安靜的心來聆聽
[00:00:40.840 --> 00:00:43.440]  以至能夠明白你自己話語的正義
[00:00:43.440 --> 00:00:45.640]  明白你自己教導裡面的意思
[00:00:45.640 --> 00:00:47.520]  以至能夠在我們生活當中
[00:00:47.520 --> 00:00:50.320]  在我們教會的工作上更加小心
[00:00:50.320 --> 00:00:51.600]  我們將這一刻時間交托
[00:00:51.600 --> 00:00:52.440]  聽我們祈禱
[00:00:52.440 --> 00:00:53.600]  奉耶穌的名祈禱
[00:00:53.600 --> 00:00:54.280]  阿們
[00:00:56.880 --> 00:00:58.520]  大家可能看到我一直在這裡
[00:00:58.520 --> 00:01:00.440]  整個手機是有原因的
[00:01:00.440 --> 00:01:01.880]  不是沒有原因的
[00:01:01.880 --> 00:01:02.400]  為什麼呢?
[00:01:02.400 --> 00:01:05.800]  因為我在預備今天的信息的時候
[00:01:05.800 --> 00:01:07.920]  就收到一個短信
[00:01:07.920 --> 00:01:11.960]  是一位教會的姐妹傳給我的
[00:01:11.960 --> 00:01:13.760]  她裡面說什麼呢?
[00:01:13.760 --> 00:01:15.120]  她說她教會
[00:01:15.120 --> 00:01:16.720]  這裡找到了
[00:01:16.720 --> 00:01:19.480]  她說她教會
[00:01:19.480 --> 00:01:22.360]  她在今年裡面有很多人信耶穌
[00:01:23.120 --> 00:01:27.320]  但她說當她去探訪的時候
[00:01:27.320 --> 00:01:29.560]  她說這些人原來是沒有信的
[00:01:29.560 --> 00:01:31.480]  她說有些是被逼
[00:01:31.480 --> 00:01:33.120]  有些是被騙
[00:01:33.120 --> 00:01:35.000]  來接受耶穌
[00:01:35.000 --> 00:01:36.880]  所以去探訪的時候
[00:01:36.880 --> 00:01:38.800]  就很難叫他們回來
[00:01:38.800 --> 00:01:40.960]  她問我怎麼辦
[00:01:40.960 --> 00:01:44.320]  我不知道大家有沒有見到這樣的情況
[00:01:44.320 --> 00:01:44.920]  她說
[00:01:44.920 --> 00:01:46.120]  有些人信耶穌
[00:01:46.120 --> 00:01:46.920]  你去探他
[00:01:46.920 --> 00:01:47.720]  他就告訴你
[00:01:47.720 --> 00:01:48.440]  我沒有信的
[00:01:48.440 --> 00:01:49.560]  我只是被人騙的
[00:01:49.560 --> 00:01:51.240]  或者我只是被逼的
[00:01:51.440 --> 00:01:53.040]  我看完這個我覺得很有趣
[00:01:53.040 --> 00:01:55.840]  為什麼我們會騙人
[00:01:55.840 --> 00:01:57.720]  會逼人信耶穌呢?
[00:01:57.720 --> 00:02:01.880]  你發現剛才我說
[00:02:01.880 --> 00:02:05.600]  榮牧師的教會
[00:02:05.600 --> 00:02:07.440]  你發現很不同
[00:02:07.440 --> 00:02:08.960]  榮牧師跟我說
[00:02:08.960 --> 00:02:10.280]  291個人受浸
[00:02:10.280 --> 00:02:12.960]  而且大部分留在教會
[00:02:12.960 --> 00:02:15.600]  而剛才我說的那個姐妹
[00:02:15.600 --> 00:02:16.160]  她說
[00:02:16.160 --> 00:02:17.800]  很多人
[00:02:17.800 --> 00:02:20.240]  所謂做了缺志祈禱
[00:02:20.520 --> 00:02:23.800]  大部分都不肯回教會
[00:02:23.800 --> 00:02:25.240]  她說有些人
[00:02:25.240 --> 00:02:28.280]  她寫的就是有些人甚至是很生氣
[00:02:28.280 --> 00:02:30.200]  不會回教會
[00:02:30.200 --> 00:02:31.800]  我覺得很奇怪
[00:02:31.800 --> 00:02:34.040]  為什麼會有這樣的情況出現
[00:02:34.040 --> 00:02:35.560]  為什麼分別這麼大呢?
[00:02:35.560 --> 00:02:37.600]  你發現分別就是
[00:02:37.600 --> 00:02:39.320]  有些人根本他沒有信
[00:02:39.320 --> 00:02:41.360]  但我們硬說他信
[00:02:41.360 --> 00:02:43.640]  有些人他真的信
[00:02:43.640 --> 00:02:45.320]  所以他會繼續信
[00:02:45.320 --> 00:02:46.720]  你聽不聽得到分別呢?
[00:02:46.720 --> 00:02:48.440]  有些人他沒有信
[00:02:48.440 --> 00:02:49.720]  你硬說他信
[00:02:50.000 --> 00:02:51.600]  你不要說你辛苦
[00:02:51.600 --> 00:02:52.920]  他也很辛苦的
[00:02:52.920 --> 00:02:54.920]  有些人如果他信了
[00:02:54.920 --> 00:02:55.880]  他真的信了
[00:02:55.880 --> 00:02:57.200]  他也不會辛苦
[00:02:57.200 --> 00:02:58.400]  你也不會辛苦的
[00:02:58.400 --> 00:02:59.800]  我家裡呢
[00:02:59.800 --> 00:03:02.320]  家裡有一些裝飾
[00:03:02.320 --> 00:03:04.040]  有真有假的
[00:03:04.040 --> 00:03:06.560]  有些盆栽
[00:03:06.560 --> 00:03:07.560]  或者有些樹
[00:03:07.560 --> 00:03:11.600]  有些室內種植的東西是真的
[00:03:11.600 --> 00:03:13.240]  有些是假的
[00:03:13.240 --> 00:03:15.640]  在我電視機旁邊有一棵樹
[00:03:15.640 --> 00:03:16.680]  25年了
[00:03:16.680 --> 00:03:17.680]  也是這麼大而已
[00:03:17.680 --> 00:03:19.600]  葉子也不會掉的
[00:03:19.600 --> 00:03:20.640]  除非你剝掉它
[00:03:20.640 --> 00:03:22.720]  是永不磨損型來的
[00:03:22.720 --> 00:03:25.160]  那些樹你怎麼咬水
[00:03:25.160 --> 00:03:26.200]  怎麼撕肥
[00:03:26.200 --> 00:03:27.880]  都不會有改變的
[00:03:27.880 --> 00:03:30.960]  另外有些樹你就要悉心照顧
[00:03:30.960 --> 00:03:32.120]  它會開花的
[00:03:32.120 --> 00:03:33.280]  我很喜歡茉莉花
[00:03:33.280 --> 00:03:35.160]  它會開花的
[00:03:35.160 --> 00:03:37.080]  它到時候就會開花的
[00:03:37.080 --> 00:03:38.480]  會有改變的
[00:03:38.480 --> 00:03:40.080]  會有生命的氣息的
[00:03:40.080 --> 00:03:41.640]  我有一棵蘭藤
[00:03:41.640 --> 00:03:43.360]  是生得很快的
[00:03:43.360 --> 00:03:45.040]  要經常修剪的
[00:03:45.040 --> 00:03:46.800]  如果有人問為什麼呢?
[00:03:46.800 --> 00:03:48.040]  因為它有生命嘛
[00:03:48.600 --> 00:03:51.200]  人最重要就是有生命和沒有生命
[00:03:51.200 --> 00:03:52.680]  沒有生命的時候
[00:03:52.680 --> 00:03:54.000]  你不要當它有生命
[00:03:54.000 --> 00:03:55.320]  有生命的時候
[00:03:55.320 --> 00:03:56.480]  你不要沒有生命
[00:03:56.480 --> 00:03:58.120]  我再說
[00:03:58.120 --> 00:03:59.200]  沒有生命
[00:03:59.200 --> 00:04:00.640]  你不要當它有生命
[00:04:00.640 --> 00:04:01.760]  有生命
[00:04:01.760 --> 00:04:03.000]  你不要沒有生命
[00:04:03.000 --> 00:04:04.680]  有些人有生命的
[00:04:04.680 --> 00:04:05.960]  它就沒有生命的表現
[00:04:05.960 --> 00:04:07.400]  左看右看
[00:04:07.400 --> 00:04:09.280]  都不知道它是生還是死的
[00:04:09.280 --> 00:04:12.040]  有些人真的有生命的
[00:04:12.040 --> 00:04:13.440]  拜託你有生命的表現
[00:04:13.440 --> 00:04:14.920]  有些人沒有生命的
[00:04:14.920 --> 00:04:16.160]  你就不要當它有生命
[00:04:16.160 --> 00:04:17.720]  又淋水又撕肥
[00:04:18.600 --> 00:04:20.720]  我們英文有個詞叫做follow up
[00:04:20.720 --> 00:04:22.440]  就是跟進
[00:04:22.440 --> 00:04:25.000]  有些人真的沒有信耶穌的
[00:04:25.000 --> 00:04:26.200]  你跟著跟著
[00:04:26.200 --> 00:04:27.720]  你是follow不到up的
[00:04:27.720 --> 00:04:29.200]  你只會follow down的
[00:04:29.200 --> 00:04:30.920]  down的是你自己的
[00:04:30.920 --> 00:04:31.560]  你知不知道?
[00:04:31.560 --> 00:04:33.800]  為什麼跟著它都不動呢?
[00:04:33.800 --> 00:04:35.680]  為什麼反應會這樣呢?
[00:04:35.680 --> 00:04:37.080]  因為它沒有生命嘛
[00:04:37.080 --> 00:04:40.000]  我今天跟大家說進閘門
[00:04:40.000 --> 00:04:42.120]  為什麼這麼重要呢?
[00:04:42.120 --> 00:04:44.040]  真的進閘門的
[00:04:44.040 --> 00:04:45.680]  先自有永生
[00:04:46.440 --> 00:04:48.280]  耶穌在說登山寶訓
[00:04:48.280 --> 00:04:49.480]  第五章第一節
[00:04:49.480 --> 00:04:51.560]  一路說到七章十二節
[00:04:51.560 --> 00:04:52.880]  提了很多東西
[00:04:52.880 --> 00:04:54.000]  有伯福
[00:04:54.000 --> 00:04:55.480]  有光與炎
