
[00:00:00.000 --> 00:00:08.400]  今天我們會再次回到《約爾書》的第一章
[00:00:08.400 --> 00:00:14.120]  今天我們會一起同心看第一章的第八節至第十節
[00:00:14.120 --> 00:00:19.920]  今天所講的題目就是《復甦臣使們的第二擊》
[00:00:19.920 --> 00:00:23.400]  《約爾書》的第一章第八節至第十節
[00:00:23.400 --> 00:00:51.760]  (英文)
[00:00:51.760 --> 00:00:57.680]  英語中有一個字眼叫做Cardio Pneumonary Resuscitation
[00:00:57.680 --> 00:01:00.600]  簡稱CPR
[00:01:00.600 --> 00:01:05.600]  中文翻譯為心肺復甦法
[00:01:05.600 --> 00:01:13.200]  通常是指一些醫生經常來做急救的時候的統稱
[00:01:13.200 --> 00:01:17.520]  其中一個行動叫做心外壓
[00:01:17.520 --> 00:01:22.440]  我相信大家看《英師妹》有時看電視、電影
[00:01:22.440 --> 00:01:26.000]  甚至你自己也曾經上過一些訓練班
[00:01:26.000 --> 00:01:30.080]  學習如何做這個CPR心肺復甦法
[00:01:30.080 --> 00:01:33.440]  其中一個環節就是做心外壓
[00:01:33.440 --> 00:01:38.960]  我也認識不少我的舊同學、師兄、師姐
[00:01:38.960 --> 00:01:44.640]  他們都是做醫生或是做急救醫護的工作
[00:01:44.640 --> 00:01:48.480]  有一次我們就聊天問到
[00:01:48.480 --> 00:01:53.920]  究竟這些CPR是如何做的呢?
[00:01:53.920 --> 00:01:55.760]  他們就這樣分享
[00:01:55.760 --> 00:02:01.480]  他說原來有時候當這些緊急情況的時候
[00:02:01.480 --> 00:02:04.160]  他要實踐這個急救的方法
[00:02:04.160 --> 00:02:07.440]  最有效的方法是怎樣的?
[00:02:07.440 --> 00:02:11.560]  有時甚至不只是像我們所說的做心外壓
[00:02:11.560 --> 00:02:18.040]  在心臟中間或胸口中間做一些按壓
[00:02:18.040 --> 00:02:24.280]  而是要很粗暴地壓下去病人的胸口
[00:02:24.280 --> 00:02:28.720]  他說最有效的至少要壓的時候
[00:02:28.720 --> 00:02:32.520]  是要壓低兩吋的位置左右
