
[00:00:00.000 --> 00:00:08.640]  今天跟大家一起思想的題目是出自於馬太福音第23章第1至12節
[00:00:08.640 --> 00:00:13.440]  23章很長的 所以我分開幾次跟大家去講
[00:00:13.440 --> 00:00:16.880]  而且23章是不容易解釋的一段聖經
[00:00:16.880 --> 00:00:20.480]  因為很多地方通常我們都明白聽過
[00:00:20.480 --> 00:00:24.000]  不過究竟裡面實際上講什麼呢
[00:00:24.000 --> 00:00:29.920]  我們缺乏了內文背景可能就會很容易斷章取義
[00:00:29.920 --> 00:00:36.320]  今天給大家分享主流基督教醜陋運作的一面
[00:00:36.320 --> 00:00:39.920]  讓我們去看看這段經文講什麼
[00:00:39.920 --> 00:00:44.800]  首先在我自己這麼多年的日子裡
[00:00:44.800 --> 00:00:51.120]  其實有不少人主動認真問我什麼問題
[00:00:51.120 --> 00:00:57.760]  黃牧師有沒有好的教會可以介紹我去參加聚會
[00:00:57.760 --> 00:01:00.720]  最近我和湯全道聊天的時候
[00:01:00.720 --> 00:01:03.520]  他和我也有留意到一點
[00:01:03.520 --> 00:01:08.160]  他說你有沒有留意到上帝帶領你去侍奉的時候
[00:01:08.160 --> 00:01:13.600]  有一個特色就是往往是對於一些曾經在教會裡面受過傷的
[00:01:13.600 --> 00:01:18.960]  或者在教會裡面不能夠滿足明白上帝道理的人
[00:01:18.960 --> 00:01:22.880]  你就會接觸得到他
[00:01:22.880 --> 00:01:25.840]  很簡單的例子
[00:01:25.840 --> 00:01:29.280]  我事隔了二十多年
[00:01:29.280 --> 00:01:36.640]  在這麼多年來教會裡有很多人
[00:01:36.640 --> 00:01:40.000]  有些是過客來旅行的
[00:01:40.000 --> 00:01:46.560]  有些是因為某種原因在本地的教會轉來轉去
[00:01:46.560 --> 00:01:49.440]  後來又離開去了別的地方
[00:01:49.440 --> 00:01:51.680]  所以又去了別的教會
[00:01:51.680 --> 00:01:57.440]  他們也會問我黃牧師有沒有好的教會可以介紹
[00:01:57.440 --> 00:02:00.000]  其實這個問題不是他們問的
[00:02:00.000 --> 00:02:02.560]  湯全道和我也經常去問的
[00:02:02.560 --> 00:02:10.880]  特別是我們在本地旅行的時候
[00:02:10.880 --> 00:02:14.080]  我也會去找找有什麼教會可以去參加
[00:02:14.080 --> 00:02:17.600]  比如我回香港探望家人的時候
[00:02:17.600 --> 00:02:22.400]  也有人問我黃牧師有沒有好的教會可以介紹
[00:02:22.400 --> 00:02:24.720]  我也想找一個好的教會
[00:02:24.720 --> 00:02:29.120]  什麼叫做好的教會呢
[00:02:29.120 --> 00:02:34.240]  事實上這個問題也是你和我會去問的問題
[00:02:34.240 --> 00:02:37.840]  因為今天的教會實在是五花八門
[00:02:37.840 --> 00:02:44.240]  很容易令不信主的人已經不知道怎麼去選擇
[00:02:44.240 --> 00:02:48.560]  信了主的人也不知道去哪個教會
[00:02:48.560 --> 00:02:51.680]  因為這種情況的混亂
[00:02:51.680 --> 00:02:53.520]  導致到今天我們發現
[00:02:53.520 --> 00:02:58.640]  即使我們只是依靠一些中派的招牌
[00:02:58.640 --> 00:03:04.720]  也變得開始不能斷定教會的信仰是怎麼樣的
[00:03:04.720 --> 00:03:09.760]  不要說我們自己是浸信會
[00:03:09.760 --> 00:03:15.840]  你會留意到近年來很多教會很喜歡改名
[00:03:15.840 --> 00:03:18.240]  把名字改到沒有中派
[00:03:18.240 --> 00:03:22.560]  例如浸信會改到沒有浸信會這個字眼
[00:03:22.560 --> 00:03:26.400]  宣道會改到沒有宣道會這個字眼
[00:03:26.400 --> 00:03:32.160]  改到一些平民化的社區中心的介紹
[00:03:32.160 --> 00:03:37.920]  例如以前我們認識的社區教會
[00:03:37.920 --> 00:03:41.520]  兼修並出任何人都可以加入
[00:03:41.520 --> 00:03:45.600]  因為中派會導致有些人會覺得
[00:03:45.600 --> 00:03:48.400]  教會只是信某些東西
[00:03:48.400 --> 00:03:51.360]  這個中派是分黨
[00:03:51.360 --> 00:03:54.080]  甚至有些基督徒不了解中派的出現
[00:03:54.080 --> 00:03:57.600]  還說不同的中派只是分裂教會
[00:03:57.600 --> 00:04:04.000]  這些其實都是一些對於信教會的歷史不明白
[00:04:04.000 --> 00:04:06.080]  所導致的錯誤
[00:04:06.080 --> 00:04:09.360]  以前如果大家明白到我在教會
[00:04:09.360 --> 00:04:14.080]  通常過一段時間會說新舊約蓋覽
[00:04:14.080 --> 00:04:16.640]  過一段時間會說教會歷史的事
[00:04:16.640 --> 00:04:18.160]  為什麼要這樣做呢
[00:04:18.160 --> 00:04:20.400]  這樣做可以幫助大英姐妹明白
[00:04:20.400 --> 00:04:23.760]  我們的背景是怎樣來到今天
[00:04:23.760 --> 00:04:27.520]  如果我們不明白為什麼今天會有浸信會
[00:04:27.520 --> 00:04:29.360]  不明白為什麼會有宣道會
[00:04:29.360 --> 00:04:31.600]  不明白為什麼會有聖公會
[00:04:31.600 --> 00:04:34.880]  甚至有些教會沒有中派
[00:04:34.880 --> 00:04:36.160]  教會超中派
[00:04:36.160 --> 00:04:37.680]  其實沒有超中派
[00:04:37.680 --> 00:04:39.920]  超中派差不多就是沒有原則
[00:04:39.920 --> 00:04:42.800]  在這樣的狀態下
[00:04:42.800 --> 00:04:48.000]  教會究竟怎樣才能栽培信徒呢
[00:04:48.000 --> 00:04:52.480]  今天教會會不會只是帶你去一個
[00:04:52.480 --> 00:04:55.760]  沒有方向的狀態
[00:04:55.760 --> 00:05:01.040]  而成為一個以為信徒的信仰群體呢
[00:05:01.040 --> 00:05:03.600]  今天這段聖經是最好的例子
[00:05:03.600 --> 00:05:05.120]  因為從這段聖經裏面
[00:05:05.120 --> 00:05:06.560]  可以幫助到我們
[00:05:06.560 --> 00:05:09.040]  特別我們作為一個真正的屬神的子民
[00:05:09.040 --> 00:05:12.560]  或者簡單來說主裏面的弟兄姊妹
