
[00:00:00.000 --> 00:00:06.240]  大家聽完剛才那段聖經有什麼感受?
[00:00:06.240 --> 00:00:09.240]  一千個男人找到一個
[00:00:09.240 --> 00:00:11.240]  女人一個都沒有
[00:00:11.240 --> 00:00:13.240]  性別歧視
[00:00:13.240 --> 00:00:16.240]  所羅門王是不是性別歧視?
[00:00:16.240 --> 00:00:22.740]  我們試試求神讓我們智慧能夠明白神的話語
[00:00:22.740 --> 00:00:24.740]  天父再一次同心我們同祈禱
[00:00:24.740 --> 00:00:26.240]  天父再一次感謝祢
[00:00:26.240 --> 00:00:28.740]  讓祢寶貴的話語作為我們生命的指引
[00:00:28.740 --> 00:00:30.740]  提醒我們
[00:00:30.740 --> 00:00:32.740]  勸勉教導
[00:00:32.740 --> 00:00:34.740]  督責改變我們
[00:00:34.740 --> 00:00:36.740]  奉耶穌基督命求
[00:00:36.740 --> 00:00:38.740]  阿們
[00:00:38.740 --> 00:00:42.740]  我記得讀中學的時候讀過兩篇古文
[00:00:42.740 --> 00:00:44.740]  一篇叫《竹之舞》
[00:00:44.740 --> 00:00:46.740]  《退秦詩》
[00:00:46.740 --> 00:00:49.740]  第二篇叫《進拜秦詩醫療》
[00:00:49.740 --> 00:00:52.740]  有幾個人看過這兩篇文章
[00:00:52.740 --> 00:00:54.740]  像我這個年紀
[00:00:54.740 --> 00:00:58.740]  我記得我們中學的時候讀過
[00:00:58.740 --> 00:01:04.740]  兩篇文章都出自左丘明的左傳
[00:01:04.740 --> 00:01:06.740]  很美的文章
[00:01:06.740 --> 00:01:10.740]  大家不妨上google看一看這兩篇文章
[00:01:10.740 --> 00:01:13.740]  《竹之舞》《退秦詩》
[00:01:13.740 --> 00:01:15.740]  《進拜秦詩醫療》
[00:01:15.740 --> 00:01:17.740]  故事是這樣的
[00:01:17.740 --> 00:01:19.740]  在公元前630年
[00:01:19.740 --> 00:01:22.740]  當時晉國和秦國
[00:01:22.740 --> 00:01:24.740]  在春秋時代
[00:01:24.740 --> 00:01:29.740]  晉國和秦國聯軍攻佔世國
[00:01:29.740 --> 00:01:31.740]  這個叫鄭國
[00:01:31.740 --> 00:01:33.740]  當時鄭國岌岌可危
[00:01:33.740 --> 00:01:36.740]  鄭國的大夫叫日之胡
[00:01:36.740 --> 00:01:39.740]  對皇帝鄭文公說
[00:01:39.740 --> 00:01:41.740]  國危矣
[00:01:41.740 --> 00:01:43.740]  若派竹之舞去見秦軍
[00:01:43.740 --> 00:01:45.740]  秦師必退
[00:01:45.740 --> 00:01:47.740]  我們現在國家危險
[00:01:47.740 --> 00:01:49.740]  凍過水了
[00:01:49.740 --> 00:01:51.740]  唯一一個機會
