
[00:00:00.000 --> 00:00:05.620]  各位親愛的姐妹 讓我們在聆聽主的說話之前
[00:00:05.620 --> 00:00:08.100]  讓我們一起同心低頭禱告
[00:00:08.100 --> 00:00:12.380]  創造天地萬物的主 我們的父神
[00:00:12.380 --> 00:00:16.740]  我們再次多謝祢 讓我們有生命氣息來到祢的根前
[00:00:16.740 --> 00:00:23.380]  好讓我們再次在祢的啟示當中明白創造的意義
[00:00:23.380 --> 00:00:28.340]  並且明白今天我們活在地上為人
[00:00:28.340 --> 00:00:32.420]  最重要的生命的目的是什麼
[00:00:32.420 --> 00:00:34.980]  我們為此再次將我們的心靈
[00:00:34.980 --> 00:00:38.940]  再次求主祢的聖靈帶領我們
[00:00:38.940 --> 00:00:42.500]  進入到上帝祢啟示的當中
[00:00:42.500 --> 00:00:49.780]  明白主祢真正讓人脫罪的那份善意
[00:00:49.780 --> 00:00:54.140]  好使每一個能夠認罪悔改的人
[00:00:54.140 --> 00:00:57.580]  都能夠在主祢的真道上
[00:00:57.580 --> 00:01:00.860]  能夠得著永生的盼望
[00:01:00.860 --> 00:01:04.140]  我們為此再次獻上禱告
[00:01:04.140 --> 00:01:07.980]  讓每一個無論是先上先下
[00:01:07.980 --> 00:01:10.980]  實體崇拜的每一個弟兄姐妹
[00:01:10.980 --> 00:01:16.180]  我們都能夠同樣在上帝祢的啟示當中
[00:01:16.180 --> 00:01:18.980]  蒙最大的福氣
[00:01:18.980 --> 00:01:24.780]  禱告奉靠主耶穌基督得勝的明智而求 阿們
[00:01:24.780 --> 00:01:27.780]  在這個世界上
[00:01:27.780 --> 00:01:32.780]  信主的人和不信主的人最大的分別就是
[00:01:32.780 --> 00:01:40.780]  信主的人會去參透其他在聖靈引導下所見到的世事
[00:01:40.780 --> 00:01:44.780]  而不信主的人往往在這個世界裡
[00:01:44.780 --> 00:01:50.780]  卻是只看自己的看法為絕對的真理
[00:01:50.780 --> 00:01:54.380]  換言之說得比較世俗的說話就是說
[00:01:54.380 --> 00:01:57.980]  一個人只認為自己最適合的人
[00:01:57.980 --> 00:02:02.580]  那些就很肯定是一個不信主的人
[00:02:02.580 --> 00:02:06.180]  而不信主的人其實在這個世界的上面
[00:02:06.180 --> 00:02:09.180]  其實是最大損失的人
[00:02:09.180 --> 00:02:12.780]  他們以為自己是已經樣樣東西都得著
[00:02:12.780 --> 00:02:20.180]  但卻是原來活在一個將會失去一切的狀態
[00:02:20.180 --> 00:02:25.180]  今天我們再次回到哥羅西書第二章裡
[00:02:25.180 --> 00:02:30.180]  在前面我們從第六節到第八節裡
[00:02:30.180 --> 00:02:33.180]  我們看到一個現象
[00:02:33.180 --> 00:02:36.180]  就是在這個世界當中
[00:02:36.180 --> 00:02:40.580]  很多人很會說很多話來討好你
[00:02:40.580 --> 00:02:44.580]  你喜歡聽的東西他就會提供給你聽
[00:02:44.580 --> 00:02:47.780]  甚至你不想投入的事情
