
[00:00:00.000 --> 00:00:10.000]  很難得我們仍然可以在主的殿裏面一齊來敬拜他
[00:00:10.000 --> 00:00:17.000]  剛才聽謝麗蓉資深護士跟我們分享
[00:00:17.000 --> 00:00:21.000]  我覺得其實我是可以脫口罩的
[00:00:21.000 --> 00:00:24.000]  不過我就不會脫了
[00:00:24.000 --> 00:00:31.000]  在今天來思想這個啟示錄十五十六章
[00:00:31.000 --> 00:00:35.000]  七碗裏面的七災
[00:00:35.000 --> 00:00:41.000]  在這個Anti-Riot的書竟然間
[00:00:41.000 --> 00:00:46.000]  他所寫的標題是說
[00:00:46.000 --> 00:00:54.000]  為最後的瘟疫作好準備
[00:00:54.000 --> 00:00:56.000]  是不是很特別
[00:00:56.000 --> 00:01:00.000]  因為我交港題的時候
[00:01:00.000 --> 00:01:03.000]  疫情都不是這樣的
[00:01:03.000 --> 00:01:05.000]  是一月十五號
[00:01:05.000 --> 00:01:07.000]  應該是一月二十一月二十三
[00:01:07.000 --> 00:01:09.000]  那時候才出來
[00:01:09.000 --> 00:01:13.000]  那竟然我們今天坐在這裏
[00:01:13.000 --> 00:01:17.000]  拿著口罩來聽這個
[00:01:17.000 --> 00:01:24.000]  為最後的瘟疫來作好準備
[00:01:24.000 --> 00:01:27.000]  其實真的需要作準備
[00:01:27.000 --> 00:01:29.000]  是不能比的
[00:01:29.000 --> 00:01:34.000]  今天的信息也是一個很重要的信息
[00:01:34.000 --> 00:01:42.000]  因為人在平時就不是很理上帝
[00:01:42.000 --> 00:01:45.000]  是有艱難有困苦的時候
[00:01:45.000 --> 00:01:50.000]  上帝就顯得很重要
[00:01:50.000 --> 00:01:52.000]  對有信心的人來說
[00:01:52.000 --> 00:01:55.000]  上帝永遠是我們的避難所
[00:01:55.000 --> 00:01:57.000]  是我們的盾牌
[00:01:57.000 --> 00:01:59.000]  是我們的高台
[00:01:59.000 --> 00:02:03.000]  我覺得這個真的很重要
[00:02:03.000 --> 00:02:05.000]  如果你叫我講福音
[00:02:05.000 --> 00:02:07.000]  我要告訴你
