
[00:00:00.000 --> 00:00:06.000]  特別歡迎第一次來到我們教會的朋友
[00:00:06.000 --> 00:00:08.000]  有多少人是第一次來我們教會的?
[00:00:08.000 --> 00:00:10.000]  我們熱烈的掌聲歡迎他們
[00:00:10.000 --> 00:00:12.000]  請坐
[00:00:12.000 --> 00:00:16.000]  開始的時候我們一起祈禱
[00:00:16.000 --> 00:00:18.000]  天父我們再次感謝你
[00:00:18.000 --> 00:00:22.000]  讓我們在聖誕節的時候有機會來敬拜你
[00:00:22.000 --> 00:00:24.000]  也聽你的福音
[00:00:24.000 --> 00:00:28.000]  求你藉著你的話語去安慰我們
[00:00:28.000 --> 00:00:30.000]  提醒我們改變我們
[00:00:30.000 --> 00:00:32.000]  奉耶穌基督命求
[00:00:32.000 --> 00:00:34.000]  阿們
[00:00:34.000 --> 00:00:38.000]  有一年的聖誕節我和我太太就去田德龍區探望一個家庭
[00:00:38.000 --> 00:00:42.000]  他們移民來美國大概兩年左右
[00:00:42.000 --> 00:00:44.000]  在一個散房
[00:00:44.000 --> 00:00:46.000]  一個丈夫一個太太
[00:00:46.000 --> 00:00:48.000]  有一個女兒三個人
[00:00:48.000 --> 00:00:50.000]  家具很簡單
[00:00:50.000 --> 00:00:52.000]  有一個大的電視機
[00:00:52.000 --> 00:00:54.000]  有一個DVD機
[00:00:54.000 --> 00:00:58.000]  大家聊天的時候
[00:00:58.000 --> 00:01:00.000]  丈夫是做衣服行的
[00:01:00.000 --> 00:01:02.000]  熟了之後就開始講故事給我們聽
[00:01:02.000 --> 00:01:06.000]  兩年前
[00:01:06.000 --> 00:01:10.000]  一個來了美國二十多年的哥哥
[00:01:10.000 --> 00:01:14.000]  申請他們一家來到美國
[00:01:14.000 --> 00:01:18.000]  當然批准了的時候他們很開心
[00:01:18.000 --> 00:01:20.000]  能夠金山
[00:01:20.000 --> 00:01:22.000]  來到金山夢
[00:01:22.000 --> 00:01:24.000]  誰知道離開中國的時候
[00:01:24.000 --> 00:01:26.000]  他的養父養母就說
[00:01:26.000 --> 00:01:28.000]  不行
[00:01:28.000 --> 00:01:30.000]  你的兒子
[00:01:30.000 --> 00:01:32.000]  原來他不單止有個女兒還有個兒子
[00:01:32.000 --> 00:01:34.000]  八歲大
[00:01:34.000 --> 00:01:36.000]  你兒子要留在中國
[00:01:36.000 --> 00:01:38.000]  因為你人生路不熟
[00:01:38.000 --> 00:01:40.000]  去到美國又要顧著他長大又要顧著他小
[00:01:40.000 --> 00:01:42.000]  又要做工
[00:01:42.000 --> 00:01:44.000]  可能不夠時間
[00:01:44.000 --> 00:01:46.000]  所以不如我和你抽你兒子
[00:01:46.000 --> 00:01:48.000]  你每個月寄錢回來就行了
[00:01:48.000 --> 00:01:50.000]  他本來很不想
[00:01:50.000 --> 00:01:52.000]  但沒辦法
[00:01:52.000 --> 00:01:54.000]  養父養母養大他
[00:01:54.000 --> 00:01:56.000]  就扣留了兒子在中國
[00:01:56.000 --> 00:01:58.000]  其實
[00:01:58.000 --> 00:02:00.000]  名義上就說
[00:02:00.000 --> 00:02:02.000]  等你好做功夫
[00:02:02.000 --> 00:02:04.000]  其實
[00:02:04.000 --> 00:02:06.000]  就要確保他每個月寄錢回來
[00:02:06.000 --> 00:02:08.000]  他一家三口
[00:02:08.000 --> 00:02:10.000]  一踏入美國境
[00:02:10.000 --> 00:02:12.000]  一出機場的時候
[00:02:12.000 --> 00:02:14.000]  他哥哥來接機
[00:02:14.000 --> 00:02:16.000]  他哥哥第一件事給他的
[00:02:16.000 --> 00:02:18.000]  就給了一張DVD機
[00:02:18.000 --> 00:02:20.000]  他哥哥第一件事給他的
[00:02:20.000 --> 00:02:22.000]  就給了一張借據給他
[00:02:22.000 --> 00:02:24.000]  他說
[00:02:24.000 --> 00:02:26.000]  我申請你們一家來
[00:02:26.000 --> 00:02:28.000]  是要花律師費
[00:02:28.000 --> 00:02:30.000]  花很多的雜費
[00:02:30.000 --> 00:02:32.000]  總共5000元
[00:02:32.000 --> 00:02:36.000]  他嚇了一跳
[00:02:36.000 --> 00:02:40.000]  你沒告訴我
[00:02:40.000 --> 00:02:42.000]  這麼多錢我怎麼還
[00:02:42.000 --> 00:02:44.000]  我沒借過給你
[00:02:44.000 --> 00:02:46.000]  這筆錢我和你用
[00:02:46.000 --> 00:02:48.000]  所以你來到
[00:02:48.000 --> 00:02:50.000]  我知道你沒錢
[00:02:50.000 --> 00:02:52.000]  你在我餐館做功
[00:02:52.000 --> 00:02:54.000]  你太太在我家打理家務
[00:02:54.000 --> 00:02:56.000]  我就在你薪水裡每個月扣
[00:02:56.000 --> 00:03:00.000]  扣到加息為止
[00:03:00.000 --> 00:03:02.000]  5000元
[00:03:02.000 --> 00:03:04.000]  他嚇了一跳
[00:03:04.000 --> 00:03:06.000]  但沒辦法
[00:03:06.000 --> 00:03:08.000]  從此之後他就去他哥哥的家
[00:03:08.000 --> 00:03:10.000]  In-Law Apartment住
[00:03:10.000 --> 00:03:12.000]  他自己就在
[00:03:12.000 --> 00:03:14.000]  哥哥的餐館
[00:03:14.000 --> 00:03:16.000]  打工
[00:03:16.000 --> 00:03:18.000]  太太就在他家裡做
[00:03:18.000 --> 00:03:20.000]  他告訴我
[00:03:20.000 --> 00:03:22.000]  他在中國最辛苦的時候
[00:03:22.000 --> 00:03:24.000]  他都咬著牙根
[00:03:24.000 --> 00:03:26.000]  沒哭過一次
[00:03:26.000 --> 00:03:28.000]  但來了美國之後
[00:03:28.000 --> 00:03:30.000]  他和他太太
[00:03:30.000 --> 00:03:32.000]  每天都幾乎
[00:03:32.000 --> 00:03:34.000]  相見無異
[00:03:34.000 --> 00:03:36.000]  唯有淚千行
[00:03:36.000 --> 00:03:38.000]  男人老狗
[00:03:38.000 --> 00:03:40.000]  天天在哭
[00:03:40.000 --> 00:03:42.000]  他熬了半年
[00:03:42.000 --> 00:03:44.000]  終於受不了
[00:03:44.000 --> 00:03:48.000]  有一天他去到Gary街的中國領事館
[00:03:48.000 --> 00:03:50.000]  他就問那些人
[00:03:50.000 --> 00:03:52.000]  可不可以借錢給我回中國
[00:03:52.000 --> 00:03:54.000]  我不想在這裡
[00:03:54.000 --> 00:03:56.000]  當然了
[00:03:56.000 --> 00:03:58.000]  沒人會借錢給他
[00:03:58.000 --> 00:04:00.000]  中國領事館也不會給他
[00:04:00.000 --> 00:04:02.000]  他回到家裡的時候
[00:04:02.000 --> 00:04:04.000]  他就下定決心帶他太太和女兒離開
[00:04:04.000 --> 00:04:06.000]  他認識了一個同鄉
[00:04:06.000 --> 00:04:08.000]  在田德龍區租了一個散房
[00:04:08.000 --> 00:04:10.000]  一家就搬到那裡住
[00:04:10.000 --> 00:04:12.000]  他找到一份
[00:04:12.000 --> 00:04:14.000]  三行的工作
[00:04:14.000 --> 00:04:16.000]  就開始上班
[00:04:16.000 --> 00:04:18.000]  他說
[00:04:18.000 --> 00:04:20.000]  經過了一段時間
[00:04:20.000 --> 00:04:22.000]  我開始穩定一點
[00:04:22.000 --> 00:04:24.000]  我開始申請
[00:04:24.000 --> 00:04:26.000]  我兒子回來
[00:04:26.000 --> 00:04:28.000]  他開始覺得
[00:04:28.000 --> 00:04:30.000]  可能是開心一點
[00:04:30.000 --> 00:04:32.000]  但眼裡
[00:04:32.000 --> 00:04:34.000]  充滿了眼淚
[00:04:34.000 --> 00:04:36.000]  又轉過頭來說
[00:04:36.000 --> 00:04:38.000]  原來
[00:04:38.000 --> 00:04:40.000]  移民是一個噩夢
[00:04:40.000 --> 00:04:42.000]  其實
[00:04:42.000 --> 00:04:44.000]  對我們很多人
[00:04:44.000 --> 00:04:46.000]  第一代移民來到美國
[00:04:46.000 --> 00:04:48.000]  聽到這些辛酸的故事
[00:04:48.000 --> 00:04:50.000]  你會說
[00:04:50.000 --> 00:04:52.000]  這可能是個別的個案
