
[00:00:00.000 --> 00:00:07.000]  今日會繼續同大家講民訴記
[00:00:07.000 --> 00:00:11.500]  我們講到第七第八章
[00:00:11.500 --> 00:00:15.500]  民訴記不是一部古老十八代的書
[00:00:15.500 --> 00:00:20.000]  不是一部很遙遠和我們完全沒有瓜葛
[00:00:20.000 --> 00:00:21.500]  完全沒有關係
[00:00:21.500 --> 00:00:25.500]  相反地民訴記和我們息息相關
[00:00:25.500 --> 00:00:31.500]  我們講過一至四章
[00:00:31.500 --> 00:00:35.500]  神要以色列人成為他的徵兵
[00:00:35.500 --> 00:00:39.500]  要數點人民成為他的徵兵
[00:00:39.500 --> 00:00:42.500]  這是歷史事跡
[00:00:42.500 --> 00:00:44.500]  亦是一些外在的表現
[00:00:44.500 --> 00:00:48.500]  我們知道行軍安營是外在的
[00:00:48.500 --> 00:00:54.500]  上一次和大家講民訴記五和六章
[00:00:54.500 --> 00:00:57.500]  我們講到有五件很奇怪的事
[00:00:57.500 --> 00:01:00.500]  看起來好像無來頭
[00:01:00.500 --> 00:01:03.500]  完全是沒有關係的五件事
[00:01:03.500 --> 00:01:08.500]  但當我們用分別為勝的眼光來看這五件事的時候
[00:01:08.500 --> 00:01:12.500]  我們見到是有連串的關係
[00:01:12.500 --> 00:01:14.500]  所以很明顯
[00:01:14.500 --> 00:01:18.500]  神是透過這五件事告訴以色列人
[00:01:18.500 --> 00:01:22.500]  要他們分別為勝為主所用
[00:01:22.500 --> 00:01:27.500]  這是律法內在的表現
[00:01:27.500 --> 00:01:30.500]  分別為勝是內在的表現
[00:01:30.500 --> 00:01:35.500]  今天講七至八章又是一個怎樣的訊息呢
[00:01:35.500 --> 00:01:37.500]  又是講歷史事跡
[00:01:37.500 --> 00:01:41.500]  是講到十二支派的領袖來獻祭
[00:01:41.500 --> 00:01:45.500]  講到利美人的領袖就是阿倫去點燈
[00:01:45.500 --> 00:01:48.500]  又是歷史事跡
[00:01:48.500 --> 00:01:53.500]  我們給他一個主題叫做「燃點為主」
[00:01:53.500 --> 00:01:56.500]  就是根據剛才讀的四字經文
[00:01:56.500 --> 00:01:58.500]  阿倫點燈
[00:01:58.500 --> 00:02:01.500]  我們每一個人都要為主而燃點
[00:02:01.500 --> 00:02:03.500]  為主而發光
[00:02:03.500 --> 00:02:05.500]  這就是我們今天的訊息
[00:02:05.500 --> 00:02:08.500]  是一個又一次是外在的表現
