
[00:00:00.000 --> 00:00:04.520]  各位大家 平安
[00:00:04.520 --> 00:00:07.560]  我們再一次進入創世記
[00:00:07.560 --> 00:00:11.080]  來探討一切萬物
[00:00:11.080 --> 00:00:14.520]  然後人類 家庭等等的開始
[00:00:14.520 --> 00:00:16.800]  上一講我們說到
[00:00:16.800 --> 00:00:20.800]  亞當夏娃是因為眼目的情慾
[00:00:20.800 --> 00:00:22.040]  肉體的情慾
[00:00:22.040 --> 00:00:23.560]  今生的驕傲
[00:00:23.560 --> 00:00:25.520]  是因為這樣的緣故
[00:00:25.520 --> 00:00:29.600]  是做了一些神吩咐她絕對不可以做的事
[00:00:29.600 --> 00:00:34.400]  就是吃了分別善惡樹上的果子
[00:00:34.400 --> 00:00:37.760]  即是說他們要取代神的角色
[00:00:37.760 --> 00:00:42.080]  由自己來定什麼是善什麼是惡
[00:00:42.080 --> 00:00:43.520]  帶來的結果
[00:00:43.520 --> 00:00:46.240]  罪就進入了這個世界
[00:00:46.240 --> 00:00:49.840]  罪到底帶來的結果是怎樣呢?
[00:00:49.840 --> 00:00:54.240]  我們從上一講很清楚的看到
[00:00:54.240 --> 00:00:56.560]  罪帶來的結果
[00:00:56.560 --> 00:01:00.400]  就是人與神的關係破裂了
[00:01:00.400 --> 00:01:02.400]  這就叫做隔絕
[00:01:02.400 --> 00:01:05.840]  你吃的日子你必定死
[00:01:05.840 --> 00:01:09.920]  第一個隔絕就是人與神關係的隔絕
[00:01:09.920 --> 00:01:11.760]  第二重的隔絕
[00:01:11.760 --> 00:01:16.080]  我們看到就是人與自己的隔絕
[00:01:16.080 --> 00:01:19.840]  他們開始用無花果葉遮蓋自己
[00:01:19.840 --> 00:01:21.400]  換句話來說
[00:01:21.400 --> 00:01:24.520]  他們根本不能面對自己
[00:01:24.520 --> 00:01:26.920]  很多事情是掩掩藏藏的
[00:01:26.920 --> 00:01:29.640]  然後神出現的時候
[00:01:29.640 --> 00:01:31.960]  他要躲在樹裡面
[00:01:31.960 --> 00:01:37.160]  我們看到這種方法逃避
[00:01:37.160 --> 00:01:39.560]  也看到今天一般的人
[00:01:39.560 --> 00:01:41.080]  有了罪之後
[00:01:41.080 --> 00:01:44.200]  他們的逃避完全一式一樣
[00:01:44.200 --> 00:01:48.120]  第三是人與人關係的隔絕
[00:01:48.120 --> 00:01:50.520]  本來是骨中的骨肉中的肉
[00:01:50.520 --> 00:01:53.720]  突然間看得到
[00:01:53.720 --> 00:01:57.320]  就是丈夫要管轄他
[00:01:57.320 --> 00:01:59.960]  他就要死纏著丈夫
[00:01:59.960 --> 00:02:04.280]  夏娃與亞當的關係破裂了
[00:02:04.280 --> 00:02:07.080]  纏也就是差不多要控制
[00:02:07.080 --> 00:02:10.520]  但是丈夫要駕馭他
[00:02:10.520 --> 00:02:15.720]  就好像法老王要駕馭以色列人一樣
[00:02:15.720 --> 00:02:17.080]  是路花
[00:02:17.080 --> 00:02:18.360]  是要他聽話
[00:02:18.360 --> 00:02:21.560]  什麼都是要滿足自己的慾望
[00:02:21.560 --> 00:02:23.240]  帶來的結果
[00:02:23.240 --> 00:02:25.000]  大家都知道
[00:02:25.000 --> 00:02:27.720]  是絕對沒有幸福可言的
[00:02:27.720 --> 00:02:29.000]  因為這樣的緣故
[00:02:29.000 --> 00:02:30.280]  我們又看得見
[00:02:30.280 --> 00:02:32.520]  神就將他們逐出伊甸園
[00:02:32.520 --> 00:02:37.960]  他們與伊甸園的境況隔絕
[00:02:37.960 --> 00:02:44.680]  與伊甸園的處境的幸福隔絕
[00:02:44.680 --> 00:02:47.000]  現在我們就開始來看一看
[00:02:47.000 --> 00:02:49.480]  他們的下一代又如何呢?
[00:02:49.480 --> 00:02:51.720]  我們記得上一次說的時候
[00:02:51.720 --> 00:02:54.600]  亞當與夏娃始終沒有認罪
[00:02:54.600 --> 00:02:57.320]  反而將這個罪推卸給神
[00:02:57.320 --> 00:02:59.640]  推卸給對方
[00:02:59.640 --> 00:03:03.640]  中國人有一句說話
[00:03:03.640 --> 00:03:07.400]  就是要修身齊家
[00:03:07.400 --> 00:03:11.720]  然後才可以治國平天下
[00:03:11.720 --> 00:03:14.360]  一個人要修身
[00:03:14.360 --> 00:03:18.680]  他就需要誠意
[00:03:18.680 --> 00:03:20.600]  我們看得見
[00:03:20.600 --> 00:03:25.400]  在各種不同的關係當中
[00:03:25.400 --> 00:03:26.760]  你會發覺到
[00:03:26.760 --> 00:03:29.800]  一個人原生家庭的影響
[00:03:29.800 --> 00:03:32.760]  是直接影響到他
[00:03:32.760 --> 00:03:34.360]  長大之後
[00:03:34.360 --> 00:03:38.040]  充滿著仇恨和報復
[00:03:38.040 --> 00:03:39.240]  接二連三
[00:03:39.240 --> 00:03:41.720]  美國的槍擊案
[00:03:41.720 --> 00:03:45.560]  小學又殺死21人
[00:03:45.560 --> 00:03:49.080]  然後教會又有人走進去
[00:03:49.080 --> 00:03:50.600]  鎖上門
[00:03:50.600 --> 00:03:51.640]  然後開槍
[00:03:51.640 --> 00:03:54.440]  要射殺其他人
[00:03:54.440 --> 00:03:55.720]  中學又是這樣
[00:03:55.720 --> 00:03:57.080]  大學又是這樣
[00:03:57.080 --> 00:03:58.920]  超級市場又是這樣
[00:03:58.920 --> 00:04:03.640]  到處都是人用他們的自由意志
[00:04:03.640 --> 00:04:07.000]  來發洩他們自己的情慾
[00:04:07.000 --> 00:04:08.040]  今天
[00:04:08.040 --> 00:04:10.600]  我就很想和大家一起看一看
[00:04:10.600 --> 00:04:14.200]  我們每個人都很想有一個幸福的家庭
[00:04:14.200 --> 00:04:16.440]  但是幸福的家庭
[00:04:16.440 --> 00:04:18.200]  是如何才得到
[00:04:18.200 --> 00:04:20.760]  如何破壞到呢?
[00:04:20.760 --> 00:04:25.480]  這就是我們今天要和大家分享的
[00:04:25.480 --> 00:04:27.400]  自從阿當夏威犯罪
[00:04:27.400 --> 00:04:29.000]  以至到他們骨中的骨
[00:04:29.000 --> 00:04:29.800]  肉中的肉
[00:04:29.800 --> 00:04:31.480]  這種愛的關係
[00:04:31.480 --> 00:04:33.560]  互相保護的關係
[00:04:33.560 --> 00:04:35.400]  破裂之後
[00:04:35.400 --> 00:04:38.280]  接下來我們馬上看到的
[00:04:38.280 --> 00:04:39.480]  就是這個人
