
[00:00:00.000 --> 00:00:05.000]  多謝帶領敬拜的弟兄姊妹
[00:00:05.000 --> 00:00:10.000]  讓我聽了我全部不懂唱的歌
[00:00:10.000 --> 00:00:15.000]  大開眼界 也明白沙宣
[00:00:15.000 --> 00:00:20.000]  長江後浪推前浪
[00:00:20.000 --> 00:00:25.000]  這是很感恩的事 大家有沒有看到40週年
[00:00:25.000 --> 00:00:30.000]  感恩特刊一定要看
[00:00:30.000 --> 00:00:35.000]  編輯得非常有心思 也記錄
[00:00:35.000 --> 00:00:40.000]  見證了上帝在我們中間
[00:00:40.000 --> 00:00:45.000]  所成就的事情 《瑪拉基書》
[00:00:45.000 --> 00:00:50.000]  一共四章的經文
[00:00:50.000 --> 00:00:55.000]  很短 但可以分開六段落
[00:00:55.000 --> 00:01:00.000]  這是經文本身教我們去分的
[00:01:00.000 --> 00:01:10.000]  最後一段壓軸高潮總結
[00:01:10.000 --> 00:01:16.000]  不止 總結我們中文聖經的舊約39卷
[00:01:16.000 --> 00:01:21.000]  最後一段 到底說什麼呢
[00:01:21.000 --> 00:01:26.000]  今天我們來到最後一段
[00:01:26.000 --> 00:01:32.000]  《瑪拉基書》三章十三節開始
[00:01:32.000 --> 00:01:41.000]  我改變了主意 如果大家在網上看過翻譯
[00:01:41.000 --> 00:01:53.000]  我決定這部分段落應該到最後第四章第六節
[00:01:53.000 --> 00:02:00.000]  一來內容是一氣呵成
[00:02:00.000 --> 00:02:06.000]  或者廣東話說直踩到底 不可以停
[00:02:06.000 --> 00:02:13.000]  但也有唐靖希伯來文聖經的抄本
[00:02:13.000 --> 00:02:16.000]  他們沒有分第四章
[00:02:16.000 --> 00:02:20.000]  他們是三章十八節之後
[00:02:20.000 --> 00:02:24.000]  一直到三章二十四節
[00:02:24.000 --> 00:02:26.000]  這些不是重要
[00:02:26.000 --> 00:02:32.000]  我想指出的就是這部分二十四節的經文
[00:02:32.000 --> 00:02:36.000]  七個小段落不要把它們分開
[00:02:36.000 --> 00:02:43.000]  因為上帝正在回答我們心中的提問
[00:02:43.000 --> 00:02:47.000]  上帝回答的 祂不是在耍我們
[00:02:47.000 --> 00:02:50.000]  所以你聽完整段
[00:02:50.000 --> 00:02:55.000]  你就明白 到底祂怎樣用英文說
[00:02:55.000 --> 00:03:04.000]  address我們心中的關鍵
[00:03:04.000 --> 00:03:13.000]  這部分經文主要是用四句詩歌成為一個小段落
[00:03:13.000 --> 00:03:18.000]  你看到有五個四句的小段落
[00:03:18.000 --> 00:03:21.000]  中間有兩隻眼
[00:03:21.000 --> 00:03:25.000]  兩句就一個小段落
[00:03:25.000 --> 00:03:28.000]  「什麼來的?」我太太開始提醒我
[00:03:28.000 --> 00:03:31.000]  不要說那麼多結構了 沒人明白
[00:03:31.000 --> 00:03:35.000]  重要的 因為這些重點
[00:03:35.000 --> 00:03:38.000]  你看到眼睛很重要
[00:03:38.000 --> 00:03:42.000]  讀的時候讀到三章十六節
[00:03:42.000 --> 00:03:46.000]  和四章第四節的時候
[00:03:46.000 --> 00:03:49.000]  你不妨留心
[00:03:49.000 --> 00:03:55.000]  我們一起讀完這段經文
[00:03:55.000 --> 00:03:58.000]  和合本的翻譯是
[00:03:58.000 --> 00:04:03.000]  「你們用話頂撞我」
[00:04:03.000 --> 00:04:06.000]  這個翻譯是正確的
[00:04:06.000 --> 00:04:09.000]  但是困難的地方是
[00:04:09.000 --> 00:04:16.000]  「說話」和「討論」或「談論」
[00:04:16.000 --> 00:04:21.000]  其實是同一個字 是連貫的
[00:04:21.000 --> 00:04:30.000]  第二「頂撞」就有點大件事
[00:04:30.000 --> 00:04:35.000]  我們中文一百年前可能都是這樣的意思
[00:04:35.000 --> 00:04:39.000]  但希伯來文的重點
[00:04:39.000 --> 00:04:45.000]  是這些「說話」本身的性質
[00:04:45.000 --> 00:04:49.000]  我將它翻譯為「猛烈」
[00:04:49.000 --> 00:04:51.000]  未必是最好 我還在考慮
[00:04:51.000 --> 00:04:55.000]  所以可能到出版的時候會有更改
[00:04:55.000 --> 00:05:01.000]  我們一起讀第一段四句的經文
[00:05:01.000 --> 00:05:06.000]  「針對我 你們的討論很猛烈」
[00:05:06.000 --> 00:05:07.000]  上主說
[00:05:07.000 --> 00:05:13.000]  「你們卻說我們討論什麼針對你」
[00:05:13.000 --> 00:05:17.000]  「你們說服侍神毫無意義」
[00:05:17.000 --> 00:05:22.000]  「我們持守他的守則有何好處」
[00:05:22.000 --> 00:05:25.000]  「還要我們刻苦遵行」
[00:05:25.000 --> 00:05:29.000]  「在天庭的上主面前」
[00:05:29.000 --> 00:05:34.000]  「現在我們稱無法無天的人有福」
[00:05:34.000 --> 00:05:39.000]  「其實無惡不作的人返島安穩」
[00:05:39.000 --> 00:05:45.000]  「其實他們試探神 仍可脫身」
[00:05:45.000 --> 00:05:47.000]  要注意眼睛 小心讀
[00:05:47.000 --> 00:05:52.000]  「那時敬畏上主的人討論」
[00:05:52.000 --> 00:05:55.000]  「每人和他的朋友」
[00:05:55.000 --> 00:05:58.000]  「上主留意聆聽」
[00:05:58.000 --> 00:06:02.000]  「有紀念冊在他面前記錄」
[00:06:02.000 --> 00:06:09.000]  「為那些敬畏上主尊重他名的人」
[00:06:09.000 --> 00:06:11.000]  第三段
[00:06:11.000 --> 00:06:15.000]  「他們屬我 天庭的上主說」
[00:06:15.000 --> 00:06:20.000]  「為我正預備的也日是屬自己的」
[00:06:20.000 --> 00:06:23.000]  「我要施恩給他們」
[00:06:23.000 --> 00:06:27.000]  「將人施恩給他的兒子」
[00:06:27.000 --> 00:06:29.000]  「那服侍他的」
[00:06:29.000 --> 00:06:31.000]  「你們要迴轉」
[00:06:31.000 --> 00:06:33.000]  「你們也要分辨」
[00:06:33.000 --> 00:06:38.000]  「那正直的並那邪惡的」
[00:06:38.000 --> 00:06:44.000]  「那服侍神的並那不是服侍他的」
[00:06:44.000 --> 00:06:48.000]  「因為看那那日正來臨」
[00:06:48.000 --> 00:06:51.000]  「燃燒著如紅爐」
[00:06:51.000 --> 00:06:56.000]  「他們也要成為所有無法無天」
[00:06:56.000 --> 00:07:01.000]  「並所有無惡不作的乾草」
[00:07:01.000 --> 00:07:03.000]  「來臨的那日」
[00:07:03.000 --> 00:07:07.000]  「要燃著他們天庭的上主說」
[00:07:07.000 --> 00:07:14.000]  「並不會為他們留下根底或枝幹」
