
[00:00:00.000 --> 00:00:08.320]  弟兄姊妹平安 網上的弟兄姊妹平安
[00:00:08.320 --> 00:00:11.240]  我有一個不是很好的習慣
[00:00:11.240 --> 00:00:15.560]  就是不喜歡戴口罩 不過我會戴
[00:00:15.560 --> 00:00:21.280]  但是我也很想你看一看我真實的樣子是怎樣的
[00:00:21.280 --> 00:00:24.160]  我會先不吐氣的
[00:00:24.160 --> 00:00:26.920]  今天是教育主日
[00:00:26.920 --> 00:00:32.760]  為這個區會這麼多年在香港作育英才
[00:00:32.760 --> 00:00:35.920]  我們真是要感恩的
[00:00:35.920 --> 00:00:40.920]  我想今天我們也需要為仍然在這個崗位上
[00:00:40.920 --> 00:00:49.280]  勞苦的童工打氣 獻上禱告
[00:00:49.280 --> 00:00:51.640]  我想在三方面很簡單的
[00:00:51.640 --> 00:00:56.160]  來跟大家分享這個教育主日的信息
[00:00:56.160 --> 00:00:59.920]  第一就是一個教育者的禱告
[00:00:59.920 --> 00:01:04.240]  第二就是教育者的使命
[00:01:04.240 --> 00:01:08.280]  最後就是我們這個生死教育
[00:01:08.280 --> 00:01:14.720]  這個教育的真諦的本質
[00:01:14.720 --> 00:01:17.920]  如果一個人要做一個教導者
[00:01:17.920 --> 00:01:21.080]  其實他最先需要的是什麼呢?
[00:01:21.080 --> 00:01:25.040]  當然你會知道就是他要受教
[00:01:25.040 --> 00:01:29.320]  一個不學無術的 不肯受教的
[00:01:29.320 --> 00:01:32.120]  不肯繼續開放的
[00:01:32.120 --> 00:01:39.480]  其實就真的沒有真正的接受到教導
[00:01:39.480 --> 00:01:44.680]  以蔡亞書第50章那裡有一個很好的禱告
[00:01:44.680 --> 00:01:52.840]  就是主啊 求祢賜給我受教者的舌頭
[00:01:52.840 --> 00:01:59.160]  教導是需要用言語的 是需要運用這個舌頭的
[00:01:59.160 --> 00:02:03.560]  但是到底那個舌頭是一種怎樣的舌頭?
[00:02:03.560 --> 00:02:06.080]  原來這樣的一個祈禱
[00:02:06.080 --> 00:02:13.360]  祂說 求祢教我怎樣用言語輔助被罰的人
[00:02:13.360 --> 00:02:18.680]  Educate 其實很重要的是Educate
[00:02:18.680 --> 00:02:23.560]  我想你和我都有些不好的記憶吧
[00:02:23.560 --> 00:02:30.400]  就是一個將你貶低 將你傷害的教導者
[00:02:30.400 --> 00:02:33.400]  無論那個教導者在哪個環境裡面的人
[00:02:33.400 --> 00:02:37.680]  你都差不多一輩子不會忘記他
[00:02:37.680 --> 00:02:46.080]  好的教導者能夠包紮、前果、安慰、輔助
[00:02:46.080 --> 00:02:51.640]  主每早晨提醒我的耳朵 使我能聽
[00:02:51.640 --> 00:02:55.720]  而這個是持續不斷的去聽
[00:02:55.720 --> 00:03:02.200]  以致能夠知道有開通的耳朵
[00:03:02.200 --> 00:03:07.880]  是將正確的真理傳遞
[00:03:07.880 --> 00:03:10.120]  然後這段經文也是很特別的
[00:03:10.120 --> 00:03:16.000]  在這個禱告之後 它差不多有一種宣告
[00:03:16.000 --> 00:03:22.560]  有一種宣言 就是我怎樣都不會反悔
[00:03:22.560 --> 00:03:25.560]  我怎樣都不會畏縮
[00:03:25.560 --> 00:03:29.960]  因為我知道誰是站在我旁邊
[00:03:29.960 --> 00:03:34.120]  誰是幫助我 如果上主是幫助我
[00:03:34.120 --> 00:03:37.640]  人能把我怎麼樣呢?
[00:03:37.640 --> 00:03:41.040]  很簡單來說 這一段的禱告就是說
[00:03:41.040 --> 00:03:45.960]  我們開口之前 我們首先要聆聽
[00:03:45.960 --> 00:03:49.720]  而我們說出來的言語
[00:03:49.720 --> 00:03:56.680]  在責備人、在否定人的時候要很小心
[00:03:56.680 --> 00:04:01.000]  千萬不要苛刻 要能夠有人情
[00:04:01.000 --> 00:04:04.200]  在我們教導之先 我們要受教
[00:04:04.200 --> 00:04:11.080]  然後就要帶著勇氣去教導
[00:04:11.080 --> 00:04:17.480]  第二個就是教導的召命 教育的權柄
[00:04:17.480 --> 00:04:19.800]  我想大家意想不到我用的經文
[00:04:19.800 --> 00:04:23.000]  竟然間會是這個大使命
[00:04:23.000 --> 00:04:24.920]  耶穌進前來對他們說
[00:04:24.920 --> 00:04:28.600]  天上地下所有的權柄已經賜給我了
[00:04:28.600 --> 00:04:30.840]  所以你們要往表天下去
[00:04:30.840 --> 00:04:33.520]  使萬民作我的門徒
[00:04:33.520 --> 00:04:37.920]  奉父子聖靈的名給他們施洗
[00:04:37.920 --> 00:04:43.040]  凡我所吩咐你們的 都教訓他們遵守
[00:04:43.040 --> 00:04:46.120]  我就常與你們同在
[00:04:46.120 --> 00:04:48.040]  原來文字有「看呀」
[00:04:48.040 --> 00:04:52.000]  我就常與你們同在 直到世界的門
[00:04:52.000 --> 00:04:57.880]  我們習慣了用這個叫做福音使命 大使命
[00:04:57.880 --> 00:05:01.760]  但我懷疑有時候我們習慣了一些東西
[00:05:01.760 --> 00:05:06.400]  不知不覺扭曲了一些東西
[00:05:06.400 --> 00:05:08.320]  將耶穌基督的召命
[00:05:08.320 --> 00:05:10.960]  將耶穌基督叫我們做教導的東西
[00:05:10.960 --> 00:05:15.280]  是矮化了 濃縮了
[00:05:15.280 --> 00:05:19.600]  簡單到 對不起 用這些例子來說
[00:05:19.600 --> 00:05:25.600]  只是說四律 只是說三福 甚至只是啟發
[00:05:25.600 --> 00:05:28.000]  但是真正的教導
[00:05:28.000 --> 00:05:31.040]  其實要讓宇宙的君王
[00:05:31.040 --> 00:05:33.320]  他配得的榮耀
[00:05:33.320 --> 00:05:36.760]  這個宇宙的君王 真理的源頭
[00:05:36.760 --> 00:05:41.920]  應有的每一個的內容
[00:05:41.920 --> 00:05:46.600]  都應該全面的 無拘無束 沒有阻礙的
[00:05:46.600 --> 00:05:50.520]  是不是啊?天上地下所有權柄 是不是啊?
[00:05:50.520 --> 00:05:54.200]  萬民 是不是啊?我所有的東西
[00:05:54.200 --> 00:05:56.440]  然後所要求的是什麼?
[00:05:56.440 --> 00:06:02.640]  能夠叫他做門徒 然後他能夠是實踐
[00:06:02.640 --> 00:06:06.000]  教育如果沒有實踐
[00:06:06.000 --> 00:06:09.920]  其實是浪費心機 浪費時間
[00:06:09.920 --> 00:06:13.200]  我們在教會裏面所領受的
[00:06:13.200 --> 00:06:15.760]  如果其實我們聽了幾十年
[00:06:15.760 --> 00:06:18.080]  我們都沒有真正的改變
[00:06:18.080 --> 00:06:21.400]  我們都是浪費心機
[00:06:21.400 --> 00:06:24.120]  我來到這把年紀 我覺得
[00:06:24.120 --> 00:06:26.960]  有什麼我沒有聽過
[00:06:26.960 --> 00:06:29.640]  但是當我去反省自己
[00:06:29.640 --> 00:06:33.280]  反省我們群體的時候
[00:06:33.280 --> 00:06:36.640]  發覺我們的問題真是多得不得了
[00:06:36.640 --> 00:06:39.040]  你覺不覺得?
[00:06:39.040 --> 00:06:42.640]  就是在教會裏面
[00:06:42.640 --> 00:06:46.440]  人際關係 品格
[00:06:46.440 --> 00:06:52.160]  什麼都仍然是千瘡百孔的 是不是啊?
[00:06:52.160 --> 00:06:55.080]  就是啊 要不然就不用教了
[00:06:55.080 --> 00:06:58.000]  但是與此同時我們更加需要反省
[00:06:58.000 --> 00:07:01.600]  為什麼教極了都教不出來
[00:07:01.600 --> 00:07:04.800]  到底是教的人本身都沒有實踐到
[00:07:04.800 --> 00:07:06.800]  他所說的話
[00:07:06.800 --> 00:07:13.120]  還是教聽的人聽了之後就這樣過去?
[00:07:13.120 --> 00:07:17.600]  我相信主耶穌基督給我們這個大使命
[00:07:17.600 --> 00:07:21.920]  如果我們將它化為教育的使命
[00:07:21.920 --> 00:07:25.720]  用這個馬太福音最後的這段經文
[00:07:25.720 --> 00:07:30.120]  來重整我們的所謂教育哲學
[00:07:30.120 --> 00:07:33.120]  不知道會是怎麼樣的呢?
[00:07:33.120 --> 00:07:35.440]  但是我今天最主要的都是想
[00:07:35.440 --> 00:07:38.440]  用這個楊福音這一段經文
[00:07:38.440 --> 00:07:41.640]  來彼此勉勵
[00:07:41.640 --> 00:07:44.400]  勉勵我們怎麼生活
[00:07:44.400 --> 00:07:47.680]  我們是受主的教育去生活
