
[00:00:00.000 --> 00:00:03.000]  字幕由Amara.org社區提供
[00:00:30.000 --> 00:00:32.000]  一同祈禱
[00:00:32.000 --> 00:00:34.000]  慈悲人 我的天父 我們滿心感謝你
[00:00:34.000 --> 00:00:36.000]  雖然這個世界亂亂亂
[00:00:36.000 --> 00:00:41.000]  但我們知道你仍然掌管整個世界
[00:00:41.000 --> 00:00:43.000]  我們知道
[00:00:43.000 --> 00:00:47.000]  雖然我們在地上有苦難
[00:00:47.000 --> 00:00:50.000]  但在你裏面我們有平安
[00:00:50.000 --> 00:00:52.000]  求你藉着你的話語
[00:00:52.000 --> 00:00:57.000]  去提醒 預免 教導 安慰 督扎我們
[00:00:57.000 --> 00:00:59.000]  我們今日祈禱
[00:00:59.000 --> 00:01:01.000]  奉耶穌基督明教 阿滿
[00:01:01.000 --> 00:01:03.000]  今年是馬年
[00:01:03.000 --> 00:01:06.000]  我又想到在中國成語裏面
[00:01:06.000 --> 00:01:09.000]  和馬有關係的有兩個
[00:01:09.000 --> 00:01:11.000]  第一個叫兵荒馬亂
[00:01:11.000 --> 00:01:13.000]  兵荒馬亂這個成語是形容
[00:01:13.000 --> 00:01:18.000]  戰爭所造成的那種動盪不安的混亂景象
[00:01:18.000 --> 00:01:23.000]  所謂荒和亂就指混亂的景象
[00:01:23.000 --> 00:01:27.000]  荒可以是恐慌的一個假詞
[00:01:27.000 --> 00:01:31.000]  所以兵荒馬亂的荒字是一個恐慌的意思
[00:01:31.000 --> 00:01:36.000]  戰亂的時候兵士慌忙 戰馬雜亂
[00:01:36.000 --> 00:01:41.000]  另外這個荒字也解作凶多吉少的兇字
[00:01:41.000 --> 00:01:43.000]  比如饑荒 兵荒
[00:01:43.000 --> 00:01:48.000]  可以解釋作爲戰爭所造成的災害
[00:01:48.000 --> 00:01:51.000]  你想一想在俄烏的戰爭裏面
[00:01:51.000 --> 00:01:53.000]  每個月都死了一萬多人
[00:01:53.000 --> 00:01:55.000]  真是可怕
[00:01:55.000 --> 00:01:57.000]  第二個就是蔡翁失馬
[00:01:57.000 --> 00:01:59.000]  故事是這樣的
[00:01:59.000 --> 00:02:01.000]  以前在北邊這個邊塞地方
[00:02:01.000 --> 00:02:03.000]  有一個人養馬的
[00:02:03.000 --> 00:02:05.000]  大家叫做蔡翁
[00:02:05.000 --> 00:02:07.000]  有一天蔡翁的馬
[00:02:07.000 --> 00:02:09.000]  有一隻馬不見了
[00:02:09.000 --> 00:02:11.000]  原來他越過邊境
[00:02:11.000 --> 00:02:14.000]  一直跑到他婦人聚居之地
[00:02:14.000 --> 00:02:17.000]  那些鄰居知道這個消息
[00:02:17.000 --> 00:02:19.000]  就說是安慰蔡翁了
[00:02:19.000 --> 00:02:21.000]  不用太難過了
[00:02:21.000 --> 00:02:23.000]  誰知道蔡翁一點也不難過
[00:02:23.000 --> 00:02:25.000]  反而笑口說
[00:02:25.000 --> 00:02:27.000]  我的馬雖然走了
[00:02:27.000 --> 00:02:30.000]  但是未必不是一件好事
[00:02:30.000 --> 00:02:32.000]  果然過了幾個月之後
[00:02:32.000 --> 00:02:34.000]  這匹馬自己又回來了
[00:02:34.000 --> 00:02:36.000]  而且不僅自己來
[00:02:36.000 --> 00:02:39.000]  還帶了另外一隻湖地的駿馬來
[00:02:39.000 --> 00:02:41.000]  那些鄰居聽到這個事情之後
[00:02:41.000 --> 00:02:44.000]  紛紛跑來蔡翁那裏道賀
[00:02:44.000 --> 00:02:46.000]  哇 好東西 好東西
[00:02:46.000 --> 00:02:50.000]  你又多拿了一隻馬 白白多一隻馬
[00:02:50.000 --> 00:02:53.000]  蔡翁皺起眉頭對大家說
[00:02:53.000 --> 00:02:56.000]  白白得來這匹駿馬
[00:02:56.000 --> 00:02:59.000]  恐怕不是一件好事
[00:02:59.000 --> 00:03:01.000]  蔡翁有個兒子很喜歡騎馬
[00:03:01.000 --> 00:03:05.000]  有一天他騎着一隻從湖地而來的駿馬
[00:03:05.000 --> 00:03:06.000]  出外遊玩
[00:03:06.000 --> 00:03:08.000]  結果一不小心
[00:03:08.000 --> 00:03:10.000]  馬背掉下來
[00:03:10.000 --> 00:03:11.000]  跌斷了腳
[00:03:11.000 --> 00:03:13.000]  鄰居知道之後
[00:03:13.000 --> 00:03:16.000]  趕來到蔡翁那裏
[00:03:16.000 --> 00:03:18.000]  不要太傷心了
[00:03:18.000 --> 00:03:21.000]  誰知道蔡翁對大家說
[00:03:21.000 --> 00:03:24.000]  我兒子雖然跌斷了腳
[00:03:24.000 --> 00:03:27.000]  你不知道 可能是一件好事
[00:03:27.000 --> 00:03:29.000]  鄰居個個莫名其妙
[00:03:29.000 --> 00:03:32.000]  兒子跌斷了腳怎麼會是好事呢
[00:03:32.000 --> 00:03:36.000]  認爲蔡翁肯定是傷心過頭 糊塗了
[00:03:36.000 --> 00:03:39.000]  沒多久 湖人大舉入侵
[00:03:39.000 --> 00:03:44.000]  所有青年男子都被徵調入軍中
[00:03:44.000 --> 00:03:47.000]  因爲湖人非常緩慢
[00:03:47.000 --> 00:03:50.000]  大部分年輕的男子都戰死沙場
[00:03:50.000 --> 00:03:53.000]  蔡翁的兒子因爲跌斷了腳
[00:03:53.000 --> 00:03:54.000]  不用當兵
[00:03:54.000 --> 00:03:57.000]  反而因此保住了生命
[00:03:57.000 --> 00:04:00.000]  這時候鄰居纔看不到
[00:04:00.000 --> 00:04:04.000]  蔡翁所講的真是很有道理
[00:04:04.000 --> 00:04:06.000]  很有智慧
[00:04:06.000 --> 00:04:08.000]  兩個故事都是和戰爭有關係的
[00:04:08.000 --> 00:04:12.000]  兵荒馬亂是形容戰爭的恐怖
[00:04:12.000 --> 00:04:15.000]  人心惶惶 兵荒馬亂
[00:04:15.000 --> 00:04:19.000]  2019年臺灣人算上亂這個字來形容這個世界局勢
[00:04:19.000 --> 00:04:23.000]  其實怎麼止是2019年呢
[00:04:23.000 --> 00:04:26.000]  自從2019年之後世界真是亂七八糟
[00:04:26.000 --> 00:04:32.000]  經濟戰 俄烏戰 以巴戰 國有國戰 又有內戰
[00:04:32.000 --> 00:04:34.000]  令人都不想再看新聞
[00:04:34.000 --> 00:04:36.000]  以免心裏失去平靜
[00:04:36.000 --> 00:04:38.000]  但蔡翁失馬的故事
[00:04:38.000 --> 00:04:42.000]  讓我們用另一副眼鏡來看看一個這樣的亂局
[00:04:42.000 --> 00:04:45.000]  究竟這是阿Q精神 自我安慰
[00:04:45.000 --> 00:04:48.000]  還是真的可以做到呢
[00:04:48.000 --> 00:04:50.000]  就讓我們在馬年的時候
[00:04:50.000 --> 00:04:54.000]  去討論這個重要的問題
[00:04:54.000 --> 00:04:59.000]  講完了中國人兩個和馬有關係的成語之後
[00:04:59.000 --> 00:05:03.000]  我們又看了兩部電影給我們的啓迪
[00:05:03.000 --> 00:05:05.000]  第一部是《亂》
[00:05:05.000 --> 00:05:07.000]  其實兩部電影都和亂有關
[00:05:07.000 --> 00:05:11.000]  第一部就是日本名道院《黑雜民》的《亂》
[00:05:11.000 --> 00:05:14.000]  這部電影描繪一民自受苦
[00:05:14.000 --> 00:05:16.000]  顯黑一時的諸侯
[00:05:16.000 --> 00:05:19.000]  但他已經七十多歲了
[00:05:19.000 --> 00:05:21.000]  一民自家就有三個兒子
[00:05:21.000 --> 00:05:22.000]  受苦有一日
[00:05:22.000 --> 00:05:25.000]  發了個噩夢 驚醒起來
[00:05:25.000 --> 00:05:27.000]  覺得自己已經衰老了
[00:05:27.000 --> 00:05:32.000]  他就覺得應該將國家交給大兒子太郎孝甫
[00:05:32.000 --> 00:05:35.000]  自己就不要城池
[00:05:35.000 --> 00:05:36.000]  每個就有一個城池
[00:05:36.000 --> 00:05:38.000]  緊帶着三十個隨從
[00:05:38.000 --> 00:05:39.000]  隨心所欲
[00:05:39.000 --> 00:05:43.000]  是三個兒子住完一度又一度
[00:05:43.000 --> 00:05:47.000]  從此就安養天年了
[00:05:47.000 --> 00:05:50.000]  他還拿出一支箭
[00:05:50.000 --> 00:05:52.000]  一截就截斷了
[00:05:52.000 --> 00:05:54.000]  然後他拿三支箭出來
[00:05:54.000 --> 00:05:55.000]  截不斷
[00:05:55.000 --> 00:05:56.000]  於是他就說了
[00:05:56.000 --> 00:05:58.000]  一支箭就很容易截斷
[00:05:58.000 --> 00:06:02.000]  三支箭就不是那麼容易截斷
[00:06:02.000 --> 00:06:06.000]  他就用這句話來叫這三個兒子團結
[00:06:06.000 --> 00:06:08.000]  誰知道說到這個時候
[00:06:08.000 --> 00:06:12.000]  三郎孝甫就反對
[00:06:12.000 --> 00:06:16.000]  然後就用力將三支箭一截斷了
[00:06:16.000 --> 00:06:18.000]  不給爸爸的面子
[00:06:18.000 --> 00:06:21.000]  然後就抨擊大哥有異心
[00:06:21.000 --> 00:06:25.000]  真的好像養老鼠咬布袋一樣
[00:06:25.000 --> 00:06:27.000]  於是當時就緊張起來了
[00:06:27.000 --> 00:06:29.000]  大家就爭執了
[00:06:29.000 --> 00:06:31.000]  平時不是怎麼出聲的
[00:06:31.000 --> 00:06:32.000]  第二個兒子
[00:06:32.000 --> 00:06:34.000]  次郎鄭甫
[00:06:34.000 --> 00:06:36.000]  突然間就站在那裏說
[00:06:36.000 --> 00:06:38.000]  大哥厲害的
[00:06:38.000 --> 00:06:39.000]  我聽大哥說
[00:06:39.000 --> 00:06:42.000]  弟弟你想奪權嘛
[00:06:42.000 --> 00:06:43.000]  在爭執當中
[00:06:43.000 --> 00:06:46.000]  三郎鄭甫出言不遜
[00:06:46.000 --> 00:06:49.000]  直接罵一民自受苦
[00:06:49.000 --> 00:06:50.000]  是因爲一場噩夢
[00:06:50.000 --> 00:06:53.000]  將國家搞得亂了
[00:06:53.000 --> 00:06:54.000]  一民受苦
[00:06:54.000 --> 00:06:58.000]  老先生這個時候玻璃心全碎了
[00:06:58.000 --> 00:07:01.000]  於是拿了三子次郎
[00:07:01.000 --> 00:07:05.000]  三民治城的城主的身份
[00:07:05.000 --> 00:07:08.000]  然後將他流放在外地
[00:07:08.000 --> 00:07:09.000]  一民自受苦
[00:07:09.000 --> 00:07:12.000]  很久就走去大兒子那裏
[00:07:12.000 --> 00:07:13.000]  就被大兒子壓迫
[00:07:13.000 --> 00:07:16.000]  要他離開一民治城
[00:07:16.000 --> 00:07:18.000]  於是他就很不開心
[00:07:18.000 --> 00:07:19.000]  很不喜歡
[00:07:19.000 --> 00:07:23.000]  就走去第二個兒子的二民治城那裏
[00:07:23.000 --> 00:07:24.000]  二民治城主
[00:07:24.000 --> 00:07:28.000]  二子次郎就收到哥哥的來信
[00:07:28.000 --> 00:07:31.000]  拒絕他爸爸受苦和他的隨從
[00:07:31.000 --> 00:07:33.000]  進入二民治城
[00:07:33.000 --> 00:07:35.000]  受苦一氣之農
[00:07:35.000 --> 00:07:38.000]  就帶着妻子和妾離開二民治城
[00:07:38.000 --> 00:07:40.000]  留年在外
[00:07:40.000 --> 00:07:42.000]  這個時候受苦有一名老臣子
[00:07:42.000 --> 00:07:44.000]  叫做新驅
