
[00:00:00.000 --> 00:00:06.000]  提問:上帝用當代文化啟示天秤上主的觀念
[00:00:06.000 --> 00:00:09.400]  我想說回萬鈞之耶和華那一堂的內容
[00:00:09.400 --> 00:00:13.600]  所用的文化是寓意
[00:00:13.600 --> 00:00:16.200]  terrible 我想意思是寓言
[00:00:16.200 --> 00:00:19.200]  象徵還是真確而止呢?
[00:00:19.200 --> 00:00:20.400]  我最喜歡的就是這句
[00:00:20.400 --> 00:00:25.000]  上帝是否就像中國人神話裡的玉皇大帝一樣呢?
[00:00:25.000 --> 00:00:32.600]  你看到玉皇大帝大概能捉到天秤神話的背景是怎樣的
[00:00:32.600 --> 00:00:33.800]  要回答這個問題
[00:00:33.800 --> 00:00:35.800]  我想我們用一個今天
[00:00:35.800 --> 00:00:38.400]  你和我都接受的文化觀念
[00:00:38.400 --> 00:00:40.800]  大概可以做一個比較
[00:00:40.800 --> 00:00:43.000]  你相信有地獄的吧?
[00:00:43.000 --> 00:00:46.800]  你不會不噏頭吧?
[00:00:46.800 --> 00:00:51.000]  你知道地獄這個觀念從何而來的嗎?
[00:00:51.000 --> 00:00:54.000]  這是佛教的觀念
[00:00:54.000 --> 00:00:58.800]  這個詞彙根本是佛教的詞彙
[00:00:58.800 --> 00:01:01.600]  這個不是中國的觀念
[00:01:01.600 --> 00:01:04.200]  也不是聖經的觀念
[00:01:04.200 --> 00:01:07.400]  聖經裡的舊約只有陰間
[00:01:07.400 --> 00:01:08.800]  Sheol
[00:01:08.800 --> 00:01:10.000]  希伯來文是Sheol
[00:01:10.000 --> 00:01:11.800]  Sheol不是一個監獄
[00:01:11.800 --> 00:01:13.600]  也不是在地底下的
[00:01:13.600 --> 00:01:16.000]  陰間就是指人死了之後
[00:01:16.000 --> 00:01:20.400]  他的生命沒有力量的
[00:01:20.400 --> 00:01:21.800]  好像陰雲一樣
[00:01:21.800 --> 00:01:23.600]  是很軟弱的
[00:01:23.600 --> 00:01:25.000]  這個稱為Sheol
[00:01:25.000 --> 00:01:27.400]  新約在福音書裡
[00:01:27.400 --> 00:01:30.600]  耶穌提到地獄
[00:01:30.600 --> 00:01:32.600]  特別是馬太福音福音書裡提到
[00:01:32.600 --> 00:01:35.200]  在希臘文裡說
[00:01:35.200 --> 00:01:37.800]  其實是一個垃圾堆
[00:01:37.800 --> 00:01:40.200]  一個在耶路撒冷城外面
[00:01:40.200 --> 00:01:43.200]  超垃圾的地方
[00:01:43.200 --> 00:01:46.600]  《時代》雜誌在
[00:01:46.600 --> 00:01:48.000]  我想應該是去年
[00:01:48.000 --> 00:01:49.000]  如果我沒有記錯
[00:01:49.000 --> 00:01:51.400]  訪問過Milligram
[00:01:51.400 --> 00:01:54.600]  他問葛培里牧師
[00:01:54.600 --> 00:01:56.000]  問到地獄的問題
[00:01:56.000 --> 00:01:58.400]  Milligram給了一個
[00:01:58.400 --> 00:02:00.400]  可能很意想不到的
[00:02:00.400 --> 00:02:03.600]  大家也不期望他原來是這麼自由的
[00:02:03.600 --> 00:02:06.800]  他說我對於地獄
[00:02:06.800 --> 00:02:08.400]  我唯一可以肯定的就是
[00:02:08.400 --> 00:02:12.000]  那裡是沒有神的地方
[00:02:12.000 --> 00:02:13.400]  除此之外我不知道
[00:02:13.400 --> 00:02:16.600]  連有沒有火我都不知道
[00:02:16.600 --> 00:02:18.800]  我希望你們可以試試比較一下
[00:02:18.800 --> 00:02:20.600]  一個你很熟悉的觀念
[00:02:20.600 --> 00:02:24.400]  你認為這個是聖經真理的一部分
[00:02:24.400 --> 00:02:26.400]  但是你發覺無論舊約新約
[00:02:26.400 --> 00:02:28.600]  到今天我們用的字眼
[00:02:28.600 --> 00:02:32.400]  其實是用一個文化的觀念去承載
[00:02:32.400 --> 00:02:36.000]  那個核心可能就真的好像葛培里所說的
[00:02:36.000 --> 00:02:38.400]  那個是一個沒有上帝的地方
[00:02:38.400 --> 00:02:39.800]  就這麼多了
[00:02:39.800 --> 00:02:45.400]  蟲、火、魔鬼、監獄、地底
[00:02:45.400 --> 00:02:48.600]  這些全部是文化的外衣
[00:02:48.600 --> 00:02:52.200]  你說天庭的神學或神話的背景
[00:02:52.200 --> 00:02:53.800]  傳遞一個什麼信息呢?
[00:02:53.800 --> 00:02:56.000]  我們希望那一堂的結論的時候
[00:02:56.000 --> 00:02:56.800]  我們已經提過了
[00:02:56.800 --> 00:02:58.000]  我就不在這裡重複了
[00:02:58.000 --> 00:02:59.800]  至於其他的部分
[00:02:59.800 --> 00:03:01.400]  例如上帝和撒旦的對話
[00:03:01.400 --> 00:03:02.400]  是不是經常都是這樣?
[00:03:02.400 --> 00:03:04.600]  你和那女孩來
[00:03:04.600 --> 00:03:09.000]  那些似乎就是火、蟲
[00:03:09.000 --> 00:03:11.800]  我希望你能夠辨別得到
[00:03:11.800 --> 00:03:14.000]  其實我們用很多這樣的觀念
[00:03:14.000 --> 00:03:16.600]  今天你祈禱你會抬起頭來
[00:03:16.600 --> 00:03:18.400]  舉目望天
[00:03:18.400 --> 00:03:20.600]  地球是圓的
[00:03:20.600 --> 00:03:21.800]  是不是?
[00:03:21.800 --> 00:03:23.200]  如果上帝真的在天上
[00:03:23.200 --> 00:03:25.000]  可能是在下面
[00:03:25.000 --> 00:03:29.600]  那個宇宙的觀念
